@relation pressed_keys

@attribute pressed_key numeric
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
113,20,2,22,2
113,19,1,21,2
113,20,1,21,2
113,21,1,19,2
113,21,2,21,2
113,20,2,21,1
113,20,2,22,2
113,19,1,22,3
113,19,2,21,3
113,18,1,20,2
113,20,1,23,1
113,19,3,21,2
113,20,3,21,2
113,19,2,21,2
113,20,2,21,2
113,20,2,23,1
113,20,2,22,2
113,20,3,22,2
113,21,3,21,3
113,20,3,24,2
113,20,1,20,2
113,20,2,20,2
113,20,1,21,2
113,20,3,21,2
113,20,2,22,2
113,20,2,21,1
113,19,1,22,1
113,20,2,21,1
113,20,2,22,2
113,20,2,21,2
113,20,2,22,1
113,20,2,22,1
113,20,2,21,2
113,20,2,20,2
113,20,2,21,1
113,21,2,21,1
113,20,2,22,2
113,21,2,22,2
119,19,2,22,2
119,20,2,21,2
119,19,2,21,2
119,20,3,21,1
119,20,2,20,2
119,20,3,21,1
119,20,2,20,2
119,20,3,20,2
119,20,2,20,1
119,19,3,22,3
119,20,2,20,2
119,20,2,20,2
119,19,2,21,2
119,19,2,20,2
119,19,2,20,2
119,19,2,19,2
119,19,2,22,2
119,20,2,20,2
119,21,2,21,3
119,20,2,21,1
119,21,2,21,3
119,20,3,20,3
119,20,3,21,3
119,19,3,21,1
119,20,2,20,2
119,20,2,20,1
119,20,2,20,2
119,19,2,21,2
119,19,2,20,2
119,21,2,21,2
119,21,2,22,2
119,19,2,20,2
119,20,2,19,1
119,20,2,22,2
119,19,2,20,1
119,20,2,22,2
119,20,2,21,2
119,20,2,21,2
119,20,2,22,2
119,20,2,21,2
101,22,3,22,2
101,22,3,22,1
101,21,2,21,3
101,23,4,22,2
101,22,2,21,1
101,22,2,21,1
101,21,2,21,2
101,22,3,23,2
101,22,2,21,2
101,22,3,21,3
101,21,2,21,2
101,20,2,20,3
101,22,3,22,2
101,21,3,23,2
101,21,2,21,2
101,22,2,21,3
101,23,3,21,1
101,23,2,22,1
101,23,2,21,1
101,21,2,21,2
101,23,3,22,2
101,23,2,22,1
101,23,3,22,2
101,22,2,22,2
101,22,2,20,2
101,22,2,21,1
101,23,2,20,2
101,22,2,22,1
101,22,2,20,1
101,22,3,21,1
101,23,3,21,2
101,23,2,21,1
101,23,2,23,1
101,22,3,22,2
101,22,3,22,1
101,22,2,20,1
101,22,2,20,1
101,22,3,21,1
101,22,3,21,2
114,23,1,20,1
114,23,2,20,1
114,22,2,19,1
114,22,3,21,1
114,24,2,22,1
114,22,1,19,2
114,22,2,21,1
114,22,3,21,1
114,21,2,19,1
114,22,2,20,2
114,23,2,21,1
114,22,2,22,1
114,23,2,20,0
114,22,2,19,1
114,22,3,19,2
114,23,2,19,0
114,22,2,20,1
114,23,3,20,0
114,22,3,20,1
114,23,3,20,1
114,23,3,19,1
114,23,3,20,1
114,22,3,20,1
114,21,2,19,2
114,23,3,19,2
114,22,2,19,1
114,22,3,20,1
114,22,3,21,1
114,20,2,19,1
114,19,2,19,1
114,21,2,19,1
114,23,2,19,1
114,23,2,20,0
114,23,3,19,1
114,22,1,22,1
114,21,2,20,1
114,23,3,21,1
114,23,3,19,1
114,21,3,20,1
116,20,3,21,2
116,20,3,21,1
116,19,2,19,2
116,20,3,20,2
116,20,3,20,2
116,20,2,19,2
116,21,2,20,2
116,19,2,20,2
116,20,2,21,2
116,21,4,21,2
116,20,2,19,3
116,19,2,20,3
116,21,3,20,1
116,19,3,19,2
116,21,2,19,2
116,20,2,19,2
116,21,2,20,2
116,21,2,20,2
116,21,3,21,1
116,20,2,21,1
116,20,2,20,2
116,20,2,19,2
116,21,2,20,2
116,22,2,20,2
116,21,2,21,1
116,20,3,20,1
116,20,3,20,1
116,21,1,19,2
116,20,3,20,2
116,21,2,20,1
116,21,2,18,1
116,20,2,20,1
116,21,2,20,2
116,20,2,19,2
116,22,2,19,2
116,21,2,19,1
116,20,2,20,1
116,22,2,20,1
116,22,2,19,1
116,21,3,20,1
121,20,2,19,1
121,20,2,18,2
121,19,2,18,2
121,21,2,19,2
121,20,3,19,1
121,19,2,18,1
121,19,2,19,2
121,21,2,18,2
121,20,2,19,2
121,19,2,18,2
121,21,2,18,2
121,21,2,19,2
121,20,1,18,2
121,17,1,18,3
121,19,2,19,2
121,19,3,19,1
121,20,2,19,1
121,19,2,19,2
121,19,3,18,2
121,20,2,18,2
121,20,2,19,1
121,20,2,19,3
121,18,2,18,2
121,18,3,19,2
121,19,2,19,2
121,20,1,18,2
121,20,1,19,2
121,19,2,18,1
121,20,2,18,2
121,19,2,18,2
121,19,2,19,2
121,18,3,19,2
121,19,3,18,2
121,20,3,19,1
121,20,2,18,1
121,19,2,19,1
121,23,2,19,2
121,21,2,17,2
121,21,3,19,2
121,19,3,19,1
121,20,2,19,1
121,20,2,18,2
121,21,3,18,1
117,18,2,18,2
117,19,3,19,2
117,19,2,18,1
117,19,3,19,1
117,17,2,18,2
117,19,2,18,2
117,20,3,18,2
117,19,2,18,2
117,17,2,19,1
117,19,3,18,1
117,21,3,18,2
117,19,2,18,1
117,20,2,17,2
117,19,3,17,1
117,20,2,18,1
117,18,3,18,2
117,20,3,19,1
117,22,3,17,2
117,20,3,19,1
117,20,3,18,2
117,20,3,17,2
117,17,2,16,3
117,19,3,18,1
117,20,3,18,2
117,19,3,18,1
117,17,2,17,2
117,20,2,18,2
117,20,2,17,2
117,20,3,19,1
117,20,3,18,2
117,19,2,18,1
117,17,1,18,2
117,19,2,18,1
117,20,3,17,2
117,20,2,18,1
117,18,2,18,3
105,18,2,18,1
105,18,2,19,1
105,18,2,18,2
105,20,3,18,2
105,17,3,18,2
105,17,3,17,1
105,19,3,17,2
105,18,2,18,1
105,19,3,18,1
105,18,3,18,2
105,18,3,18,1
105,18,3,19,1
105,18,3,19,1
105,19,3,19,1
105,18,3,18,1
105,18,3,19,1
105,19,2,18,1
105,18,3,18,2
105,17,3,19,2
105,17,3,18,1
105,17,3,18,2
105,19,3,19,1
105,17,3,18,1
105,17,3,18,2
105,18,2,19,2
105,19,3,18,2
105,19,3,18,1
105,19,3,18,2
105,18,2,18,2
105,16,3,18,2
105,18,3,18,2
105,16,3,19,1
105,18,3,18,3
105,18,3,18,2
105,16,2,18,1
105,18,2,19,3
105,19,3,17,2
105,19,2,19,1
105,17,3,17,1
111,17,3,18,1
111,19,3,17,1
111,14,3,17,2
111,16,2,17,2
111,18,3,17,2
111,16,3,18,2
111,17,3,17,2
111,17,3,18,2
111,16,3,18,2
111,17,3,17,2
111,17,3,18,1
111,17,2,18,1
111,17,3,18,2
111,16,3,17,2
111,16,3,17,2
111,18,3,18,2
111,18,3,17,2
111,18,2,18,2
111,17,3,16,2
111,16,2,18,1
111,18,2,18,1
111,17,2,17,2
111,17,3,18,2
111,17,3,18,2
111,17,3,18,1
111,17,3,18,2
111,16,2,17,2
111,18,3,18,1
111,17,3,18,2
111,17,3,17,1
111,16,3,17,3
111,19,2,17,2
111,15,2,17,2
111,17,3,17,2
111,17,4,19,2
111,16,3,17,2
112,18,3,17,3
112,17,4,17,2
112,17,3,16,3
112,18,4,17,2
112,17,3,15,3
112,18,3,16,2
112,18,4,16,2
112,17,4,15,2
112,17,3,16,2
112,18,3,16,2
112,16,3,15,2
112,17,3,16,3
112,19,3,17,2
112,18,4,17,2
112,17,4,16,2
112,17,3,17,2
112,17,3,15,2
112,18,4,17,3
112,17,3,16,2
112,17,3,15,3
112,16,3,16,2
112,18,4,15,2
112,17,3,16,2
112,18,4,15,2
112,18,4,16,2
112,16,3,17,3
112,18,4,15,2
112,17,4,16,2
112,18,4,18,3
112,18,3,15,1
112,17,3,17,3
97,20,3,20,2
97,19,3,20,3
97,22,3,20,4
97,21,3,21,2
97,21,4,21,4
97,19,2,20,3
97,20,4,22,3
97,19,2,22,2
97,20,3,19,2
97,20,3,22,2
97,21,2,21,2
97,20,3,21,4
97,20,3,21,2
97,20,3,21,3
97,21,2,21,4
97,21,4,21,2
97,20,2,22,2
97,21,4,21,3
97,20,4,21,4
97,20,2,22,2
97,20,2,20,3
97,20,3,21,3
97,21,3,21,4
97,21,2,22,2
97,20,3,20,3
97,20,3,21,3
97,20,3,21,4
97,20,3,20,4
97,20,4,21,3
97,21,3,20,4
115,19,4,21,3
115,19,2,19,3
115,20,4,20,3
115,19,3,20,3
115,18,3,20,4
115,20,3,21,3
115,21,3,19,3
115,20,3,20,3
115,18,4,20,3
115,20,2,20,4
115,20,3,20,4
115,18,2,19,3
115,20,2,18,4
115,20,2,20,4
115,19,3,20,3
115,20,3,20,3
115,18,3,19,4
115,21,2,20,3
115,21,2,19,3
115,19,3,20,3
115,20,4,20,4
115,19,2,18,2
115,17,2,18,2
115,20,2,19,4
115,18,3,19,2
115,18,2,19,3
115,19,2,20,3
115,19,2,19,3
