@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
113,23,1,23,2
113,22,3,23,3
113,24,3,21,2
113,24,3,22,3
113,23,2,24,4
113,22,3,22,3
113,24,2,25,2
113,23,2,25,3
113,22,1,22,3
113,23,2,22,3
113,23,2,22,2
113,23,2,24,2
113,24,2,23,2
113,23,1,23,3
113,23,2,23,3
113,25,3,23,2
113,22,2,24,3
113,24,3,23,3
113,22,2,24,3
113,22,2,21,3
113,23,2,23,2
113,21,2,22,3
113,23,2,23,3
113,23,1,25,2
113,24,3,23,4
113,23,3,25,3
113,24,1,21,3
113,22,3,23,3
113,24,3,21,3
113,24,2,22,2
113,24,2,22,2
113,22,1,23,3
113,22,2,24,2
113,22,2,25,2
113,23,2,23,2
113,23,2,22,3
113,24,2,23,3
113,23,3,24,3
113,22,2,22,2
113,23,3,21,2
113,24,2,22,3
113,23,2,22,1
113,23,2,21,2
113,22,2,20,3
113,25,2,22,1
113,24,2,22,3
113,24,2,22,2
113,22,1,22,3
113,23,1,21,3
113,22,1,21,3
113,22,1,21,2
113,22,1,21,3
113,21,1,22,3
113,20,0,22,3
113,22,0,21,3
113,20,0,21,2
113,20,0,21,2
113,20,0,21,4
113,20,0,22,2
113,20,0,21,2
113,24,2,21,3
113,21,1,20,2
113,22,1,21,2
113,22,2,23,1
113,24,2,25,1
113,23,2,23,1
113,23,2,23,1
113,25,2,22,1
113,24,1,26,1
113,24,2,25,1
113,24,2,24,1
113,24,3,23,2
113,24,2,22,1
113,23,2,24,1
113,23,1,23,1
113,25,2,22,2
113,23,1,22,3
113,22,1,22,4
113,20,1,24,3
113,20,1,23,4
113,21,1,24,3
113,20,2,23,4
113,22,1,23,4
113,21,2,23,4
113,23,1,23,3
113,20,1,23,3
113,21,1,24,4
113,23,1,22,4
113,21,1,23,3
113,21,1,23,3
113,23,2,23,4
113,22,1,22,4
113,22,1,24,3
113,22,2,22,4
113,23,2,23,4
113,23,2,22,5
113,22,1,22,5
113,22,2,22,3
113,22,2,23,4
113,23,2,22,4
113,22,2,23,4
113,24,2,22,5
113,21,2,23,3
113,22,3,23,3
113,21,2,22,4
113,23,1,21,4
113,22,2,23,4
113,23,2,23,4
113,22,1,22,4
113,21,1,22,4
113,24,2,23,4
113,22,1,23,4
113,22,2,22,4
113,23,1,22,4
113,22,3,23,3
113,23,2,22,4
113,22,1,23,3
119,21,2,22,4
119,22,1,21,3
119,23,2,21,4
119,21,2,22,4
119,20,1,22,4
119,20,1,22,4
119,21,2,22,5
119,21,2,22,4
119,21,1,22,3
119,20,2,22,3
119,22,2,22,4
119,21,1,22,4
119,21,2,23,3
119,21,2,22,3
119,22,3,22,4
119,21,2,23,4
119,21,2,22,4
119,22,2,23,4
119,20,2,22,4
119,20,2,22,3
119,21,1,22,4
119,21,1,22,4
119,21,2,22,3
119,21,1,22,4
119,20,2,22,3
119,21,1,22,4
119,20,1,24,2
119,20,1,23,3
119,22,2,22,3
119,20,1,24,3
119,21,1,23,3
119,21,1,23,2
119,21,2,22,4
119,20,1,22,3
119,23,2,23,3
119,21,2,22,4
119,22,2,22,4
119,23,2,21,4
119,22,2,21,3
119,21,3,23,2
119,22,2,22,4
119,21,2,23,3
119,23,2,23,4
119,22,2,23,4
119,21,2,22,3
119,20,3,21,3
119,22,2,22,3
119,22,2,22,3
119,22,1,21,3
119,19,1,23,3
119,22,2,22,4
119,20,1,22,3
119,20,1,23,4
119,21,1,21,3
119,20,1,23,2
119,22,2,23,3
119,20,1,23,3
119,23,2,23,3
119,21,1,22,3
119,21,2,23,3
119,22,1,22,3
119,22,1,23,3
119,21,2,22,3
119,19,1,23,3
119,21,2,22,2
119,22,2,22,4
119,22,2,23,4
101,18,1,23,3
101,23,2,22,3
101,21,2,22,3
101,21,2,20,4
101,21,2,22,3
101,19,2,23,3
101,21,2,22,3
101,22,2,22,3
101,21,2,22,2
101,22,2,22,3
101,21,3,23,3
101,20,2,23,2
101,22,2,22,4
101,19,2,22,3
101,21,2,22,3
101,22,2,23,3
101,23,2,21,3
101,21,3,22,3
101,22,2,22,2
101,22,3,21,3
101,22,3,22,3
101,22,3,22,3
101,22,3,22,2
101,22,2,22,2
101,21,2,22,2
101,21,2,21,3
101,22,4,22,3
101,21,2,21,2
101,20,2,22,2
101,22,2,22,3
101,23,3,22,2
101,22,4,22,3
101,23,2,22,1
101,21,2,22,2
101,22,2,22,1
101,22,2,21,2
101,21,3,20,2
101,22,3,22,1
101,22,3,22,1
101,22,2,21,1
101,21,1,21,1
101,21,2,21,2
101,22,2,21,2
101,21,2,22,2
101,20,2,22,1
101,21,2,22,1
101,20,2,21,3
101,21,2,22,1
101,22,2,21,1
101,21,2,21,1
101,21,2,22,2
101,21,1,21,3
101,21,2,22,2
101,21,2,21,2
101,21,2,21,2
101,21,2,21,2
101,21,1,22,2
101,21,2,22,1
101,21,2,22,2
101,22,3,21,3
101,20,2,21,2
101,21,2,21,2
101,20,2,22,2
101,20,2,22,2
101,21,2,22,2
114,20,2,22,2
114,18,3,20,3
114,21,2,22,3
114,22,3,21,3
114,22,3,21,3
114,21,2,22,3
114,19,2,21,3
114,21,2,21,3
114,19,3,21,3
114,20,3,22,2
114,21,3,21,2
114,20,3,21,3
114,19,3,21,2
114,16,3,22,3
114,?,?,21,3
114,19,3,21,3
114,19,3,22,2
114,19,2,22,2
114,21,3,21,2
114,17,3,22,3
114,19,3,21,3
114,19,2,21,3
114,21,2,22,3
114,20,2,20,2
114,22,4,22,2
114,18,3,23,2
114,21,2,22,3
114,21,2,21,2
114,19,4,21,3
114,23,2,22,3
114,21,4,22,3
114,20,4,21,3
114,19,4,22,3
114,19,4,22,3
114,20,3,23,2
114,20,4,23,3
114,19,4,22,3
114,20,3,22,2
114,18,3,21,2
114,20,4,23,2
114,20,3,22,2
114,20,5,23,2
114,19,3,23,2
114,20,4,23,2
114,20,3,22,2
114,19,4,22,2
114,20,4,23,3
114,20,4,22,2
114,19,4,23,3
114,19,3,22,3
114,19,3,23,3
114,18,3,22,3
114,20,3,22,3
114,19,4,23,3
114,20,3,22,3
114,18,4,23,3
114,19,3,22,2
114,20,4,23,2
114,20,3,23,3
114,19,3,23,2
114,19,3,22,2
114,20,4,21,2
114,18,3,23,3
114,19,2,23,1
114,19,3,23,3
114,19,4,23,2
114,20,3,22,2
