@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,48,49,50,51,52,53,54,55,56,57,186}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
186,10,2,17,2,334,205,-2.47
186,16,2,17,2,337,202,-1.98
186,11,2,17,2,337,202,-3
186,15,2,17,2,337,203,-3.49
186,14,2,17,3,342,203,-1.96
186,14,1,16,3,349,204,-0.5
186,12,1,17,2,356,205,-0.5
186,12,1,13,2,398,212,7.76
186,16,1,14,2,408,213,10.18
186,12,1,16,3,400,212,8.19
186,11,2,17,3,358,207,1.01
186,11,2,18,3,339,208,-0.49
186,10,3,18,2,317,206,-3.33
186,10,4,19,1,275,210,-7.72
186,9,4,19,1,265,211,-8.27
186,9,4,20,1,259,212,-9.79
186,8,4,19,0,263,211,-9.7
186,9,4,21,1,268,210,-9.14
186,9,3,17,1,285,205,-6.29
186,11,3,19,1,293,198,-6.23
186,11,2,17,2,308,191,-4.94
186,14,2,16,2,330,186,-3.02
186,11,2,15,3,353,191,-1.5
186,13,1,15,3,367,199,2.56
186,14,1,15,2,387,216,8.6
186,16,0,18,2,358,217,3.89
186,9,2,19,2,341,216,1.45
186,8,3,21,2,313,213,-2.88
186,10,3,20,2,311,211,0
186,12,2,19,4,338,208,5.87
186,12,0,19,4,351,206,7.88
186,16,2,19,4,364,205,14.29
186,16,1,20,7,361,205,21.38
186,15,1,20,7,360,206,21.19
186,14,1,20,4,353,205,13.57
186,13,1,19,2,346,204,5.39
186,9,3,17,1,330,206,-5.43
186,9,4,17,2,319,205,-10.74
186,7,5,17,1,309,206,-17.49
186,9,4,16,1,307,207,-19
186,8,5,17,1,306,208,-17.94
186,8,4,18,1,315,207,-10.74
186,9,4,17,2,320,206,-5.86
186,9,3,18,2,322,205,-4.36
186,8,2,17,2,330,206,-2.52
186,14,2,17,2,332,206,-1.48
49,13,2,18,2,331,206,-2.47
49,11,2,16,2,332,206,-2.02
32,7,3,24,3,328,206,-1.96
49,6,2,19,2,330,206,-0.49
49,9,2,16,2,335,205,-2.47
49,14,2,17,3,340,205,-0.99
49,12,2,16,2,358,206,2.01
49,12,1,18,4,366,206,3.54
49,10,1,16,3,377,207,8.69
49,15,1,18,6,389,209,15.65
49,14,2,16,5,397,212,16.44
49,15,2,18,5,395,211,15.65
49,11,1,18,4,365,207,7.04
49,11,2,20,3,344,205,0.99
49,8,4,19,1,307,207,-8.27
49,7,5,18,0,277,210,-13.56
49,9,4,20,1,270,210,-14.48
49,7,4,19,0,269,211,-12.75
49,8,5,20,1,274,212,-12.16
49,8,4,19,1,292,217,-5.33
49,9,4,19,1,301,220,-3.33
49,8,2,18,2,319,227,0
49,12,0,16,2,346,227,7.32
49,10,0,15,2,355,225,9.41
49,17,2,15,3,374,219,16.6
49,15,2,15,4,385,217,20.25
49,17,4,18,8,392,214,26.94
49,17,4,17,7,396,213,28.81
49,16,4,17,7,392,211,27.56
49,16,3,18,5,378,204,22
49,11,1,18,4,341,193,9.5
49,9,3,17,2,311,195,-8.51
49,7,5,17,2,301,197,-14.41
49,7,5,16,1,287,198,-21.12
49,6,6,16,1,285,199,-21.76
49,9,5,17,0,292,200,-18.1
49,8,4,17,1,297,200,-14.28
49,8,4,16,2,314,204,-10.37
49,8,3,17,1,323,205,-7.45
49,8,3,16,2,337,206,-4.58
49,8,3,17,2,345,207,-4.53
49,8,2,17,2,374,211,-2.02
49,13,2,16,2,387,212,-1
49,8,2,17,2,405,217,1.01
49,9,2,16,2,407,217,2.01
49,8,1,17,2,394,215,0
49,8,2,16,2,386,215,-0.99
