@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,44,46,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,121,122,225,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
114,15,3,23,3,293,189,0
101,15,3,24,3,287,188,0.36
116,14,2,24,2,284,189,0
105,15,3,24,3,282,189,-1.08
114,16,3,23,3,283,188,0.37
97,16,3,23,3,287,190,0.37
115,16,4,23,4,284,188,-0.36
101,17,4,23,4,281,188,0
32,15,5,23,3,284,185,-0.72
100,17,3,25,3,298,196,0
101,18,4,24,3,295,194,-0.34
32,17,4,22,4,293,192,1.05
108,16,3,24,3,291,192,-0.35
97,16,3,24,3,293,192,-0.69
32,15,3,24,3,290,190,-0.35
118,16,4,24,3,288,192,-0.7
101,16,4,25,3,289,191,-0.35
110,17,4,23,3,290,190,-1.05
116,17,4,24,3,292,189,-0.35
97,15,3,23,3,292,189,0.36
110,15,4,24,3,288,189,-1.08
97,15,4,24,3,287,187,-1.08
32,17,5,23,4,286,185,-1.06
44,16,2,23,3,298,189,0.71
32,14,5,19,3,303,183,1.82
113,17,3,24,3,307,190,1.81
117,17,3,23,3,305,189,1.44
101,15,3,23,2,305,187,1.81
32,15,5,18,4,307,179,1.46
101,17,3,23,3,312,184,2.54
108,16,4,22,3,309,183,1.1
32,13,5,16,3,324,173,-0.37
118,16,3,22,3,314,187,1.09
105,15,3,23,3,313,187,2.93
101,17,3,23,3,311,187,1.82
110,16,3,23,4,312,187,1.46
116,15,4,23,3,311,187,1.1
111,16,3,23,3,310,187,1.48
32,16,3,22,3,306,188,0
98,15,3,23,3,304,188,0
97,17,3,23,3,302,185,0
116,16,4,24,3,301,184,-0.36
101,13,4,22,3,299,181,-0.75
32,13,5,18,3,299,181,-1.49
108,16,3,24,3,299,185,-0.36
111,15,2,24,2,302,185,0
99,16,3,24,3,302,184,-0.36
97,16,3,23,3,304,185,0
109,16,3,22,3,304,184,-1.08
101,16,3,24,3,304,185,1.45
110,15,3,23,3,305,185,1.46
116,13,5,18,3,304,181,0
101,13,5,16,3,301,182,-0.36
32,11,4,15,3,300,182,0
99,16,3,24,3,300,186,0.72
111,15,3,25,2,296,185,0.72
110,16,3,23,3,297,186,1.07
32,15,3,25,2,299,186,1.1
117,15,3,23,3,299,185,1.09
110,12,5,15,3,298,184,1.47
32,12,4,18,3,299,183,1.49
102,17,3,23,3,301,187,1.76
114,17,3,24,3,301,185,0.71
97,16,3,23,3,302,184,1.44
99,17,4,24,4,299,179,0
97,17,5,24,4,298,179,-0.35
115,16,4,19,3,299,177,0
111,17,4,21,4,298,177,-0.72
32,12,5,15,4,294,177,0
100,17,3,24,3,302,186,0.71
101,18,4,26,3,299,186,-0.7
32,18,3,26,3,299,187,0.35
99,17,4,26,3,298,184,0
114,16,3,25,3,297,181,0.71
105,15,3,24,3,296,181,0.72
115,17,3,25,3,298,181,1.08
116,17,3,24,3,292,180,-0.35
97,14,3,24,3,293,180,0.37
108,11,4,15,3,287,177,-0.37
101,12,5,15,3,283,176,0
115,11,5,15,3,284,176,-0.36
44,12,5,13,3,286,176,0.37
32,12,5,14,3,291,179,-0.72
121,16,3,24,3,308,186,1.43
32,16,3,24,3,309,185,1.79
101,11,4,13,3,305,181,2.58
110,11,5,13,4,298,179,1.83
116,12,5,13,4,307,186,0.71
101,12,5,13,3,306,186,1.75
110,12,5,15,4,301,184,1.06
101,11,5,12,3,301,184,0.36
98,11,6,13,4,294,190,0.35
114,12,5,13,4,295,191,0
101,12,6,14,4,297,192,0
99,18,3,24,3,304,194,1.36
105,18,3,23,3,304,193,1.72
100,18,4,24,3,304,195,0
111,17,3,21,2,298,193,0.35
32,12,6,14,4,284,188,-1.06
114,18,4,23,3,300,190,-0.34
101,17,5,24,4,297,187,-0.71
99,17,5,22,3,296,185,-0.35
111,17,3,25,4,300,191,-0.34
114,18,4,26,3,307,187,1.38
114,17,3,25,4,307,186,0.7
101,16,5,20,3,306,182,1.46
32,16,4,23,3,305,181,1.43
108,16,5,21,3,306,182,0.72
97,16,5,24,4,304,182,0.36
32,16,4,21,3,303,180,0.72
