@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,44,45,46,59,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,116,117,118,120,121,122,180,225,233,237,243}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
97,18,1,?,?,331,274,6.84
115,12,1,?,?,326,271,4.72
237,17,3,18,3,330,272,6.21
32,15,2,17,1,349,267,6.89
99,16,3,29,4,357,266,9.08
111,13,2,18,3,360,262,7.96
110,14,2,24,3,361,263,9.08
99,14,2,34,4,360,263,9.45
101,13,3,29,3,359,264,8.71
98,17,2,33,4,357,263,8.27
105,14,3,32,3,357,265,8.34
100,16,2,29,3,354,265,7.96
111,14,3,14,1,350,264,6.79
44,19,4,19,3,339,262,6.89
32,18,4,20,3,337,263,6.61
101,16,2,29,2,347,268,6.71
115,17,3,20,3,346,267,6.32
116,15,2,20,3,346,266,5.58
101,17,3,21,2,350,264,7.55
32,13,2,19,2,347,264,6.76
109,12,2,20,3,344,264,6.66
117,13,3,17,3,340,263,6.37
110,16,4,18,3,339,259,5.97
100,17,4,18,3,339,258,5.5
111,16,4,18,3,339,260,5.54
32,17,3,19,3,339,261,5.5
101,14,2,19,3,353,264,8.52
114,17,1,20,2,352,264,8.84
97,14,5,18,3,339,255,6.56
32,14,4,18,3,337,257,5.84
101,15,4,18,3,336,259,6.23
108,18,5,17,3,335,259,6.23
32,16,4,18,3,332,261,4.32
100,15,3,17,3,334,261,5.11
101,16,4,17,3,335,261,5.07
32,13,3,14,3,338,264,5.93
108,12,2,16,2,344,265,5.18
107,13,1,15,1,345,265,7.32
111,14,2,18,2,347,266,7.82
115,13,1,16,1,344,267,6.61
32,12,1,22,2,343,266,6.02
109,14,1,18,2,344,265,5.58
105,15,2,23,3,342,266,6.23
115,15,2,17,2,337,267,6.61
116,13,1,14,0,342,266,4.79
101,12,1,19,2,338,267,5.54
114,14,2,15,2,329,261,4.75
105,15,3,18,2,324,257,4.72
111,13,3,17,2,318,257,3.2
115,14,4,17,3,311,257,3.57
32,13,3,17,3,310,258,3.17
121,14,1,14,0,339,267,5.88
32,14,2,28,3,348,265,7.38
108,14,2,15,0,341,265,5.93
97,15,2,13,0,337,267,7.1
115,18,2,23,2,333,267,5.88
32,15,1,23,2,331,267,5.03
108,15,2,20,2,332,267,5.45
101,15,2,22,2,332,268,5.84
121,13,1,21,2,337,267,5.58
101,15,2,27,3,344,265,6.66
110,15,3,17,3,342,264,6.32
100,14,4,17,2,335,260,5.88
97,13,4,17,3,323,257,3.93
