@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,44,45,46,59,97,98,99,100,101,102,103,104,105,108,109,110,111,112,113,114,115,116,117,118,120,121,122,225,233,237,243}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
97,19,2,21,2,316,252,6.31
115,18,2,22,3,324,247,4.86
237,19,2,23,4,332,246,6.99
44,20,2,21,4,336,247,7.88
32,21,3,22,4,337,246,8.26
99,19,3,23,3,345,251,7.15
111,22,4,21,5,352,253,9.35
110,23,4,21,4,359,251,10.41
99,23,4,19,4,360,252,10.49
101,21,4,21,3,357,251,10.49
98,21,4,23,3,355,249,10.7
105,22,3,22,4,357,247,10.26
100,20,3,21,4,356,246,9.89
111,21,4,22,4,355,244,9.89
44,20,3,22,4,343,257,10.18
32,20,2,20,4,344,256,9.49
101,19,3,22,4,348,256,9.8
115,20,3,22,4,349,255,9.03
116,20,3,22,4,349,253,9.1
101,21,3,22,4,354,252,9.42
32,19,3,21,4,355,250,9.88
109,19,2,23,4,349,251,9.03
117,21,2,22,4,347,251,10.49
110,22,2,21,3,342,251,8.97
100,20,2,24,4,342,248,8.97
111,19,3,21,3,338,247,8.2
32,17,3,21,4,336,247,7.43
101,20,4,23,3,333,253,7.1
114,20,2,21,4,341,252,9.03
97,19,2,22,4,340,251,9.35
32,20,2,23,3,341,251,9.03
101,17,3,21,4,341,249,9.03
108,17,4,21,4,336,247,9.42
32,17,4,20,5,335,247,7.82
100,18,3,21,4,336,249,8.52
101,17,4,21,4,336,249,8.58
32,17,4,21,4,340,252,8.78
108,20,3,21,4,347,252,10.78
111,20,3,22,4,350,252,8.97
115,19,3,22,4,354,251,9.8
32,20,3,24,4,353,252,9.73
109,21,4,21,4,353,252,9.73
105,22,3,23,4,352,251,9.35
115,21,4,22,4,349,251,8.58
116,22,3,24,3,351,251,8.9
101,20,3,23,4,347,249,10.11
114,17,4,21,4,338,247,8.26
105,16,4,20,4,336,246,8.33
111,15,3,20,4,333,249,7.88
115,16,4,21,4,335,252,8.26
32,16,3,20,4,337,253,8.72
121,21,3,23,4,360,253,9.8
32,21,4,22,4,363,253,10.56
108,20,3,20,4,370,251,12.26
97,21,3,22,4,362,253,11.24
115,21,4,20,4,356,254,10.18
32,20,3,23,3,348,252,9.66
108,21,3,21,4,349,251,10.03
101,21,3,22,4,348,252,10.41
121,22,3,22,4,346,251,9.28
101,22,3,21,4,348,250,9.66
110,22,3,22,4,353,247,9.89
100,15,3,22,3,349,243,9.28
97,15,3,21,4,345,242,9.28
115,15,3,21,4,334,245,8.26
32,15,3,21,4,330,246,7.88
121,20,4,20,5,365,254,12.45
32,22,3,21,4,366,254,12.82
115,20,4,19,4,360,256,12.08
101,21,4,21,4,354,256,10.56
32,20,3,22,4,352,256,10.64
99,21,3,21,4,348,254,9.35
111,21,3,21,4,351,254,9.66
110,20,3,21,4,352,254,9.8
118,20,4,21,4,358,254,10.78
101,22,3,21,3,359,253,10.78
114,22,4,20,3,363,254,11.61
116,21,3,23,4,354,256,10.03
237,14,2,22,3,326,254,6.87
97,15,4,20,4,329,251,7.21
32,14,4,20,4,330,250,7.55
101,13,4,20,4,343,255,10.26
110,?,?,?,?,178,198,-20.02
32,21,3,19,4,368,256,12.08
109,20,3,20,4,369,256,13.47
117,21,4,21,4,366,256,12.45
110,21,4,20,5,363,256,11.7
100,22,4,20,4,365,255,12.45
111,20,4,21,4,362,256,11.53
32,20,2,22,4,359,255,10.49
116,21,4,20,4,357,256,11.16
111,19,4,20,4,350,253,8.52
108,20,2,21,4,353,254,8.77
243,20,3,22,4,354,257,10.11
103,21,4,20,5,360,257,10.78
105,20,3,21,4,360,256,11.16
99,21,4,20,5,359,256,11.9
111,20,4,21,4,356,257,10.33
45,15,2,21,3,329,256,7.88
101,22,4,21,4,363,259,12.73
115,21,4,21,4,365,259,12.36
99,22,4,19,4,364,259,12.36
111,22,4,21,5,358,258,11.36
108,20,3,20,5,353,259,10.33
225,19,3,21,4,347,259,9.42
115,21,3,21,4,348,258,8.52
116,20,3,21,4,355,258,10.26
105,20,4,22,4,354,252,10.64
99,21,4,22,4,355,250,10.18
111,21,4,21,4,357,252,10.11
32,18,3,21,4,353,255,9.42
101,21,4,22,5,352,255,8.58
110,17,3,21,4,353,255,10.26
32,20,4,21,4,354,254,9.88
109,19,4,21,5,356,256,10.18
97,20,3,20,4,356,256,10.49
110,21,4,20,4,356,256,10.78
111,18,3,21,5,357,254,10.78
115,18,5,21,5,357,253,10.56
32,18,4,21,5,357,254,10.11
100,19,4,21,5,352,255,10.18
101,17,4,22,4,347,254,10.18
32,21,4,22,5,344,254,10.49
108,17,3,21,5,341,255,9.42
111,19,4,21,5,340,255,9.8
115,19,5,22,4,344,258,8.85
32,22,3,22,3,350,257,10.03
100,21,4,21,4,351,255,9.73
111,21,3,21,4,350,255,9.73
99,19,2,21,4,346,253,10.03
116,21,3,21,4,345,253,9.59
111,20,3,21,4,336,252,7.65
115,18,2,21,3,334,253,6.94
46,19,3,22,3,336,255,7.38
32,21,2,22,3,337,252,7.82
100,20,4,20,3,351,257,10.11
97,21,4,21,4,349,258,9.66
110,20,3,22,4,354,258,9.73
116,18,2,22,4,349,257,9.17
101,17,4,21,4,339,255,9.03
32,21,6,23,4,347,258,9.73
108,20,4,20,4,346,257,9.52
111,21,3,20,4,345,258,11
32,21,3,21,4,346,254,9.89
104,21,2,21,3,342,255,8.84
97,21,3,21,4,343,255,9.21
32,22,3,22,4,348,255,11
114,20,4,21,4,348,255,9.96
101,19,2,20,4,344,252,8.84
97,20,3,22,4,338,250,8.84
108,19,3,22,3,333,251,8.84
105,17,3,21,4,331,251,7.27
122,18,3,21,4,334,252,7.38
97,17,4,21,4,335,253,7.76
100,16,4,21,4,336,254,8.52
111,16,4,20,4,332,252,8.08
32,16,3,21,4,333,252,8.14
8,19,3,21,3,341,258,8.52
44,21,3,20,3,347,258,8.4
32,20,4,21,4,350,258,8.4
108,21,3,22,3,351,258,9.08
111,21,3,22,4,352,258,9.21
32,21,3,22,4,351,257,9.14
104,19,2,21,4,347,256,9.59
97,21,3,20,4,349,256,10.26
32,19,3,22,4,345,255,8.9
104,15,3,20,4,339,253,8.58
101,16,3,20,4,336,252,8.2
99,16,3,20,3,331,251,7.43
104,19,3,21,4,330,251,7.27
111,23,3,22,3,330,251,6.94
32,22,3,23,3,328,250,6.56
101,22,4,21,3,333,258,8.77
120,20,2,20,4,345,257,10.26
105,21,4,20,4,348,257,10.48
115,22,3,22,4,351,258,9.75
116,21,3,22,4,353,256,10.18
105,17,3,21,4,341,250,9.45
114,16,3,20,4,331,250,8.46
32,16,3,20,4,323,252,8.02
101,15,3,21,4,318,254,6.56
110,15,3,21,4,325,255,7.7
32,24,4,21,4,350,257,10.63
101,23,4,20,4,350,257,11.08
108,23,4,21,5,349,258,10.63
32,22,4,21,4,356,260,11.36
97,22,3,21,4,357,260,10.92
114,22,3,20,4,357,260,11.45
116,21,4,21,4,351,258,10.26
101,16,1,22,4,341,251,8.84
59,20,3,22,3,306,260,5.03
104,22,3,20,5,366,252,12.99
97,25,3,21,6,370,252,12.55
32,24,4,21,5,373,251,13.26
99,22,3,22,5,369,253,13.35
114,22,3,22,5,366,253,12.73
101,24,4,23,4,360,252,11.48
97,24,4,23,4,354,253,10.48
100,21,3,22,4,345,253,9.45
111,15,2,24,4,339,251,8.46
32,14,3,20,4,325,250,7.7
101,23,4,23,3,352,257,10.92
115,24,5,22,4,355,256,11.28
97,23,4,22,4,358,252,10.92
32,22,3,22,4,357,252,11.16
110,22,3,23,4,355,251,10.63
97,23,3,22,4,353,250,10.26
116,23,4,22,4,353,252,9.96
117,21,4,23,4,348,249,9.89
114,23,3,23,4,347,248,9.28
97,22,3,24,4,345,248,9.59
108,21,3,24,5,341,249,8.77
101,23,3,21,5,349,253,11.16
122,23,3,22,4,347,252,8.97
97,21,3,23,4,351,254,9.03
32,19,3,22,3,344,251,9.03
121,22,3,21,5,343,254,10.7
32,23,4,22,4,358,255,10.26
101,24,4,20,5,363,256,12.09
115,23,4,22,4,360,256,11.73
101,23,4,22,5,359,255,11.36
32,22,3,21,4,355,256,9.96
104,22,3,21,4,357,256,9.96
105,23,4,21,4,359,255,10.7
109,21,4,21,4,361,256,10.7
