@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,33,34,40,44,46,58,59,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,116,117,118,120,121,161,225,233,237,241,243}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
101,12,2,19,1,391,296,-3.32
108,10,2,13,2,383,295,1.21
32,13,2,?,?,382,296,0.41
97,13,2,?,?,382,297,0.4
98,12,1,14,1,379,298,1.21
117,18,4,25,1,377,295,0.8
101,18,4,23,2,378,292,0.79
108,15,4,20,1,378,290,1.18
111,19,5,23,1,375,292,0.78
32,19,5,21,2,371,294,0
101,16,2,18,2,373,295,-1.57
115,13,2,13,3,369,296,4.36
112,12,1,11,2,368,294,3.17
97,11,3,10,2,372,291,3.54
241,13,3,15,2,373,292,3.15
111,14,2,15,3,374,289,1.97
108,16,3,20,1,374,287,1.17
32,17,3,23,1,375,289,2.33
100,17,3,21,0,372,289,1.94
101,17,5,22,1,371,290,2.33
32,13,2,14,1,369,292,0.81
98,16,1,17,1,369,292,0
97,19,3,18,3,371,290,1.18
114,14,2,16,2,368,289,0
98,14,2,19,1,371,286,0.79
97,15,3,?,?,368,282,0.39
32,15,3,?,?,367,283,0.77
98,14,2,14,1,359,288,2.4
108,15,1,15,2,358,287,0
97,14,2,13,1,363,287,1.19
110,16,2,?,?,362,282,2.33
99,19,4,19,3,360,281,0.77
97,15,3,?,?,360,283,1.56
32,14,3,24,2,359,285,0.78
109,14,4,?,?,360,285,1.16
101,15,3,15,1,361,285,0.77
32,15,3,13,1,363,285,0.77
115,14,3,14,0,362,284,0.39
101,14,2,13,1,362,289,0.79
108,15,2,12,1,365,290,1.19
8,14,2,10,1,371,288,1.58
241,14,2,14,2,372,287,1.18
97,14,1,13,2,375,287,0.79
108,20,4,23,1,378,284,1.53
97,19,5,23,2,376,283,1.54
32,16,3,18,6,373,282,1.91
117,16,2,13,1,355,289,0
110,14,2,14,2,356,288,0
97,21,2,19,2,361,287,1.19
32,21,2,17,2,364,287,0.79
115,14,3,?,?,358,283,1.56
101,14,4,14,1,349,281,2.68
114,16,4,15,2,346,281,1.93
105,16,4,17,1,344,281,1.17
101,17,5,17,1,343,281,1.16
32,16,5,16,2,345,280,0.78
100,16,4,15,3,344,282,1.15
101,17,2,16,2,350,286,0.4
32,17,2,19,2,354,285,0
101,15,2,18,2,361,282,1.99
114,15,2,17,2,360,282,2.38
116,18,3,15,4,355,280,2.72
114,15,3,16,2,347,281,2.37
97,19,5,17,0,345,281,1.99
114,22,4,23,2,349,280,0
8,23,4,25,3,359,281,1.52
8,23,5,24,2,359,284,2.28
8,23,5,25,3,359,285,2.68
8,22,5,25,2,360,285,2.66
8,22,4,25,1,357,286,2.31
8,23,4,25,2,354,287,1.16
114,22,5,23,2,355,286,1.53
101,22,5,26,2,355,285,0.39
116,20,2,19,2,363,288,0.79
114,19,2,18,1,365,286,0.4
97,20,2,18,1,368,283,0
116,18,2,18,1,372,284,1.19
111,10,1,?,?,365,274,4.68
115,18,4,17,2,354,270,3.87
32,17,3,16,2,349,270,3.87
105,18,2,17,2,347,289,0.79
108,18,3,15,3,353,287,1.17
105,17,2,18,1,366,289,3.9
8,17,3,19,2,368,284,1.91
117,15,2,18,2,368,291,3.1
115,18,2,19,2,370,288,1.53
116,17,2,20,2,373,287,1.17
114,17,1,?,?,371,285,0
101,18,4,18,4,370,281,1.16
115,15,4,17,3,369,278,1.93
59,17,3,16,1,342,289,1.96
32,23,2,20,3,379,288,-1.14
34,10,1,18,0,379,280,-4.38
34,11,2,14,3,361,274,1.21
101,21,3,21,1,366,281,-0.77
8,14,2,16,2,358,284,1.18
8,21,4,21,4,359,281,-0.38
101,13,4,17,3,355,280,0.78
115,14,1,18,1,370,283,0
116,17,4,17,3,358,276,0.77
101,9,4,17,4,351,274,2.72
44,17,2,16,1,347,283,0
32,13,2,16,1,357,283,0.8
109,14,2,19,1,355,281,0.8
101,15,1,19,1,355,282,0.8
32,15,2,18,1,355,280,1.58
100,16,2,17,1,350,281,1.59
105,10,2,16,3,343,275,0.4
99,10,3,13,3,338,273,1.17
101,10,3,15,4,338,274,3.52
32,12,1,14,3,337,276,1.56
113,11,2,15,3,337,276,1.19
8,13,2,15,4,337,275,1.17
101,11,2,16,3,337,276,1.56
115,8,2,14,3,338,275,2.33
32,9,3,15,4,337,275,1.15
101,12,3,14,3,337,277,0.39
32,15,2,19,2,357,281,0.79
103,14,2,20,1,366,279,0.79
114,21,4,20,3,372,278,0
97,19,4,?,?,363,280,0.77
110,22,4,22,3,363,280,-0.38
32,16,1,19,2,362,283,0
100,15,2,20,2,360,280,-0.76
110,21,4,26,1,354,281,0.38
32,22,5,24,2,359,283,-2.59
109,18,1,16,2,356,289,1.14
105,15,2,18,2,362,285,1.15
103,15,2,15,2,365,282,1.9
117,14,3,17,2,363,282,1.52
101,16,2,17,1,362,283,1.52
108,17,2,17,1,364,285,0.76
32,20,3,?,?,363,281,0
100,20,5,21,3,361,281,-0.37
101,19,5,22,2,361,282,0
32,19,5,22,3,362,282,-1.5
99,16,2,21,2,371,286,-2.67
101,14,2,20,3,373,284,-1.53
114,14,1,18,1,370,282,-1.16
118,14,1,15,2,368,280,0
97,13,1,17,1,364,279,-0.78
110,14,1,17,1,365,283,-1.93
116,12,2,15,1,360,281,0.79
101,18,4,18,3,355,277,-0.77
115,18,4,20,3,356,276,0
32,20,5,21,4,355,282,0.76
115,23,2,21,4,371,291,-0.37
97,24,2,20,3,375,289,-0.38
97,15,1,17,3,376,289,-0.37
118,18,5,18,2,360,286,0.76
101,20,5,20,2,357,287,0
100,22,2,20,2,355,294,-0.38
114,18,2,?,?,354,291,0
97,17,5,17,2,351,288,-0.75
44,22,3,17,2,357,294,-1.51
32,22,3,19,3,359,293,-0.37
103,19,3,18,2,356,294,-0.38
101,18,5,18,2,353,289,-0.37
110,19,6,18,2,353,286,-0.37
105,18,5,20,1,351,290,0.38
111,19,4,17,3,349,293,-0.37
32,17,3,17,3,353,290,0
121,?,?,?,?,354,293,0
32,3,2,?,?,354,296,-0.37
109,2,1,18,3,361,292,0.38
97,1,0,?,?,361,294,0
110,17,4,18,2,358,289,1.12
99,19,5,18,4,352,286,1.86
111,17,5,17,2,353,287,1.13
59,23,2,18,2,348,296,0.38
32,17,5,18,5,353,289,2.95
233,14,2,17,2,356,290,2.26
115,17,6,17,4,351,287,2.6
116,19,5,20,4,344,290,1.5
101,18,5,19,4,347,288,1.13
32,18,6,18,4,355,289,2.23
101,19,5,19,4,356,288,2.56
115,18,5,18,5,355,291,2.56
32,23,2,19,3,358,294,1.89
108,16,2,15,2,360,296,0
111,14,1,15,2,364,295,1.13
112,22,2,18,2,366,294,1.13
101,22,2,20,5,368,291,1.87
32,16,5,15,1,363,286,1.49
100,17,6,18,5,358,285,1.11
101,13,5,15,3,355,287,1.87
32,16,5,16,3,356,286,1.12
118,21,4,19,3,371,295,1.13
101,16,2,20,3,377,285,-0.37
103,14,2,17,2,388,282,0
97,11,2,16,2,393,285,-0.75
32,18,4,16,4,354,273,1.12
8,15,4,17,4,353,291,1.12
46,14,2,17,2,358,294,0.76
8,24,5,22,4,360,291,0.37
44,24,5,26,3,365,289,1.11
32,25,5,26,2,365,290,1.1
233,25,2,21,3,358,293,1.13
115,23,3,20,2,360,293,1.49
116,21,2,20,1,361,293,0.76
101,20,2,20,2,362,294,0
32,22,2,22,4,367,291,0.75
101,21,1,20,3,369,291,0
115,24,3,21,2,366,291,0
32,26,2,20,2,365,292,-1.48
103,16,2,18,2,362,293,0.38
97,18,1,21,2,368,289,0
114,16,2,18,3,367,287,0.76
99,14,2,17,2,362,290,1.89
105,15,2,18,1,361,291,2.25
8,17,4,20,4,354,286,3.61
117,23,5,23,2,359,287,1.09
8,15,2,17,2,358,290,1.51
105,17,2,19,2,361,288,2.23
108,19,3,?,?,371,285,1.86
97,24,6,26,1,371,285,1.45
115,22,5,23,1,373,284,1.46
111,21,5,24,1,371,284,1.1
32,21,4,21,1,367,282,-0.73
44,14,2,16,2,348,286,0.38
32,13,4,16,4,349,281,1.1
233,17,2,18,2,367,290,-0.37
115,20,1,19,2,364,289,-0.37
116,15,5,17,4,346,284,1.51
101,12,5,16,4,347,283,2.23
32,14,5,16,4,342,284,1.49
113,12,2,16,2,369,291,-0.37
117,12,2,17,3,373,292,1.49
105,20,4,?,?,370,288,1.89
110,22,6,23,2,370,285,1.47
116,23,6,24,2,363,289,0.74
97,23,5,26,2,365,288,0
116,24,5,24,2,366,289,0.37
97,22,5,23,3,365,289,1.11
8,24,5,25,2,366,289,0.37
8,23,6,25,2,366,287,1.11
110,22,5,25,1,366,286,-0.36
97,23,5,25,2,364,286,0.37
34,32,2,24,3,371,293,-0.36
46,14,1,15,1,359,291,-1.13
32,19,4,20,1,360,286,-0.37
121,14,2,15,4,377,293,0.73
111,14,3,15,4,373,286,0.38
32,13,2,16,3,371,287,0.76
108,13,2,18,3,373,285,-0.37
101,17,1,17,2,368,288,1.13
32,19,5,19,3,362,283,1.11
112,20,5,22,2,359,285,1.48
114,20,5,22,3,362,285,0
101,21,5,22,3,360,287,0.38
103,14,2,14,2,366,292,1.11
117,16,2,17,2,366,292,0.75
110,13,3,18,2,369,289,0
116,14,2,19,2,371,290,0.76
111,11,2,?,?,371,288,1.51
32,19,5,21,2,367,284,-0.36
112,19,4,20,2,368,287,1.09
111,19,5,19,1,367,287,0.73
114,19,4,20,2,371,285,-0.36
32,19,5,22,4,374,281,0.37
101,19,4,23,3,370,284,0.37
108,19,5,20,3,366,283,-0.36
32,20,5,20,3,364,282,1.09
110,20,5,21,1,361,284,-0.36
111,22,5,24,2,363,285,-0.73
109,22,4,23,3,368,282,-1.09
110,22,4,21,3,369,282,-1.09
114,23,6,23,4,366,282,-1.09
101,21,5,22,3,365,283,-1.1
32,22,4,23,4,365,281,-0.73
8,21,5,22,4,367,281,-0.36
110,13,2,17,1,372,287,0.75
8,23,4,23,3,370,283,-0.71
103,4,2,?,?,387,299,0
114,3,1,?,?,395,301,0
97,1,1,?,?,399,303,0
99,6,2,39,2,401,300,3.56
105,16,4,13,2,389,293,2.54
225,15,2,16,3,376,290,3.68
110,?,?,?,?,376,286,2.91
44,4,0,16,1,362,292,0.74
32,18,4,16,1,363,289,1.45
112,18,5,19,1,363,291,2.17
111,21,4,22,2,361,290,0.37
114,22,4,24,0,362,289,0.74
32,22,5,26,1,367,285,-0.73
116,16,2,?,?,376,285,-0.76
101,17,2,20,3,376,285,0.38
114,16,1,20,2,374,279,0.39
101,20,2,18,2,368,282,1.52
115,18,3,21,1,346,276,-0.37
97,17,3,16,1,342,277,-0.37
32,14,3,16,2,354,286,-0.74
108,15,2,16,2,360,288,1.11
97,16,2,23,2,368,288,0.38
32,16,2,21,2,373,289,0
115,24,3,23,3,371,290,0
97,13,2,16,2,371,290,0
110,14,2,18,2,373,290,0
116,9,1,15,0,365,288,0.39
97,16,3,17,3,352,282,0.77
32,16,4,16,3,349,279,0.39
112,19,2,22,2,350,292,0.38
111,17,2,19,2,360,289,0.37
114,14,2,16,2,364,288,0.73
32,14,2,15,2,366,290,2.18
101,25,3,20,2,364,293,2.17
108,15,2,18,3,362,291,1.45
32,14,4,17,3,358,288,2.18
98,16,5,16,4,356,287,3.22
114,16,2,20,2,377,289,0.74
97,16,2,20,3,378,288,-1.11
118,14,2,17,3,371,291,1.09
111,14,1,16,2,367,289,1.83
32,3,2,20,3,375,292,1.08
103,3,2,19,4,374,293,0.71
243,14,2,18,2,362,291,2.54
110,14,2,16,2,367,288,1.47
103,17,2,18,4,364,289,0.37
111,16,3,18,3,364,291,0.73
114,18,2,20,3,358,287,0.37
97,16,5,17,4,355,278,2.17
32,17,5,17,4,353,279,1.82
121,16,2,18,2,376,288,1.83
32,13,3,15,2,377,285,2.2
101,14,3,17,2,378,283,2.95
32,13,2,15,2,374,289,2.21
8,13,4,17,4,355,287,3.66
101,17,2,20,2,361,290,0.38
108,13,2,16,2,363,289,1.49
32,14,2,17,2,364,288,1.1
109,15,2,17,2,363,291,1.86
225,15,4,17,4,360,286,3.27
115,11,5,15,5,359,286,2.93
32,13,5,16,5,355,285,2.54
102,15,2,17,1,365,290,2.56
117,16,2,21,1,360,290,1.13
101,17,2,20,1,359,290,1.86
114,16,1,18,2,358,289,0.38
116,7,2,15,2,351,283,2.68
101,14,4,15,4,349,281,2.25
32,11,4,16,4,351,281,3.74
100,11,4,14,4,349,282,4.08
101,23,5,22,3,351,283,1.11
32,23,5,23,4,356,282,1.48
116,23,5,25,2,360,287,1.47
111,23,4,23,3,358,287,1.1
102,23,5,23,3,355,286,0
111,23,5,25,3,357,286,-1.08
8,22,5,22,4,365,283,-1.09
8,22,5,22,4,367,281,-1.46
100,24,5,23,5,365,282,-1.08
115,22,5,22,4,365,281,0
111,22,4,22,4,363,282,-1.46
8,22,4,21,4,372,281,-0.74
8,22,5,22,4,374,280,-1.11
111,13,2,17,2,371,280,0
115,22,4,23,3,370,279,-1.1
32,23,4,23,3,372,277,-0.72
100,13,2,18,1,370,289,-0.36
111,14,2,16,2,366,291,-0.36
32,15,1,19,2,365,291,-1.11
102,12,2,19,4,371,293,-2.55
114,1,2,?,?,374,295,-1.85
97,9,2,15,3,378,295,-1.85
110,13,3,18,3,384,293,-0.73
99,10,3,18,2,381,294,0
105,11,3,17,3,373,292,0.73
115,16,1,22,2,368,290,-2.2
99,12,2,16,2,364,288,-1.48
111,19,4,21,2,365,289,-0.37
32,20,4,22,1,355,289,-1.45
100,16,2,21,4,355,291,-2.2
101,15,1,22,1,358,291,-2.24
32,14,2,23,1,358,291,-2.96
113,17,1,26,2,369,294,-3
117,13,3,21,3,381,294,-0.37
101,14,2,23,2,377,292,0
118,17,1,22,2,373,294,1.51
97,13,2,24,2,369,292,0
8,15,2,23,2,360,289,-1.12
161,15,2,21,2,360,289,-1.51
101,16,3,25,2,361,286,-2.63
8,21,3,23,2,363,286,-0.37
8,22,5,23,3,370,288,0.73
101,22,5,24,4,375,289,1.45
100,17,3,21,3,373,293,0.37
111,14,2,15,2,371,293,0.37
32,14,2,15,3,373,294,0.37
121,13,2,17,2,375,295,2.2
32,17,2,21,3,377,291,-1.82
118,20,3,21,1,383,289,-0.72
8,24,5,25,2,363,293,-2.1
118,17,2,18,2,365,297,0
105,15,1,16,2,361,297,-0.72
108,17,4,15,2,363,292,0.36
108,18,5,19,4,361,285,-1.06
101,19,5,19,4,357,285,-1.41
103,15,2,20,2,377,291,-0.36
97,14,2,22,2,378,289,-1.1
115,1,2,?,?,374,286,0.38
32,16,3,19,3,369,283,0.74
46,16,2,20,2,351,291,-0.36
32,21,5,21,5,356,290,1.08
100,17,2,20,3,374,294,-2.19
101,15,2,21,2,372,290,-2.24
115,12,2,17,3,363,291,-0.72
112,12,2,16,2,345,295,-0.74
117,14,2,17,2,345,293,-1.12
233,13,2,14,2,355,290,2.54
115,18,6,19,5,356,285,2.15
32,19,6,19,4,350,288,2.14
101,26,3,22,2,361,298,0.35
120,23,4,18,3,362,295,1.06
99,12,3,16,2,374,298,0.36
108,14,2,16,2,371,294,3.2
97,13,2,16,3,369,295,2.15
109,19,5,15,2,364,293,1.77
111,18,5,16,3,358,293,1.79
58,4,1,16,2,349,297,2.18
32,18,5,18,5,356,291,2.85
161,30,3,25,4,385,297,1.76
115,27,3,22,3,385,295,0.37
104,?,?,?,?,380,296,2.53
101,18,5,16,1,370,293,3.22
8,24,4,27,1,358,294,3.2
97,24,4,30,1,360,297,3.18
107,33,3,?,?,355,302,1.7
101,30,4,?,?,356,301,1.37
115,5,1,?,?,354,301,1.36
112,18,2,13,1,351,300,1.75
101,32,3,?,?,351,302,1.4
97,15,3,16,2,353,294,2.12
114,15,2,15,3,352,295,2.12
101,25,6,25,5,351,289,1.43
33,15,2,16,2,364,285,-5.79
32,25,3,?,?,343,301,-0.37
161,13,1,16,3,353,297,-0.37
100,27,2,?,?,355,299,-1.5
97,24,3,17,3,351,297,-2.2
116,27,1,18,2,354,299,-0.37
8,19,5,19,3,342,294,1.46
110,23,5,25,1,343,293,0
116,23,5,25,0,346,294,-0.73
101,23,5,24,2,346,291,-0.36
33,?,?,?,?,368,301,-2.61
32,1,3,16,5,327,299,-3.78
161,29,2,25,3,344,304,-1.07
104,14,2,18,2,373,291,0
117,13,2,23,2,370,291,-0.37
102,11,3,17,2,356,286,0
8,15,2,18,2,348,294,0
103,14,2,16,1,344,291,1.15
111,14,3,17,1,343,289,1.13
33,11,2,18,1,366,287,-6.65
8,24,5,24,4,337,285,0
46,15,2,17,2,347,296,0.37
46,29,2,22,3,356,295,0.37
46,12,2,16,2,381,294,2.26
33,23,2,23,2,379,286,-2.36
32,21,2,19,2,333,288,-0.37
40,21,3,20,1,351,286,0.38
121,16,2,20,3,363,291,1.12
32,16,2,17,4,371,289,-1.1
101,14,2,15,4,375,290,1.83
110,17,2,16,2,370,292,2.62
32,12,3,17,2,362,288,2.25
109,16,2,19,3,363,289,2.25
105,11,2,13,2,360,289,4.11
32,23,5,26,2,356,285,1.46
116,1,0,21,3,379,297,0.37
105,7,1,16,5,379,294,3.94
101,21,5,?,?,375,297,4.68
114,18,2,?,?,367,292,2.21
114,19,4,19,2,364,288,2.6
97,21,4,22,3,360,284,1.48
59,11,1,15,2,365,297,1.48
32,22,5,24,1,375,292,1.08
109,14,2,16,3,369,303,1.06
105,18,2,17,3,370,303,0.72
32,25,2,?,?,369,302,0.72
113,9,2,?,?,366,303,1.39
117,14,4,?,?,361,302,0.35
101,26,3,?,?,354,300,0.36
114,17,2,18,3,348,299,-0.73
105,16,1,15,2,346,296,-0.73
100,22,4,?,?,352,295,0.38
97,21,5,21,0,354,292,0.74
44,9,1,15,1,369,296,0.37
32,29,3,19,4,374,295,-1.08
100,21,5,22,2,359,291,1.07
101,20,4,18,0,359,293,1.44
32,10,1,15,1,356,296,1.46
112,?,?,15,3,352,295,0.37
97,28,2,?,?,357,296,-1.46
114,28,3,20,4,358,295,-1.44
237,20,4,20,2,348,288,-0.73
97,24,5,26,3,356,285,0
115,23,4,26,2,359,286,-1.08
8,23,5,25,2,361,291,-0.73
8,22,5,25,2,360,291,-0.37
115,22,4,25,3,366,286,-0.37
46,23,5,25,1,373,293,0.72
34,20,2,20,2,394,289,-1.93
