@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,44,46,60,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,121,122,225,237,241,243}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
114,16,1,22,2,392,301,-1.18
101,16,2,20,1,393,298,-1.52
116,18,2,20,2,386,299,-0.37
237,19,2,22,2,377,304,0.75
114,18,2,19,1,381,302,0.74
101,19,2,20,2,383,301,1.11
115,19,2,22,1,379,302,0
101,19,2,23,2,379,303,0
32,19,1,20,1,383,301,0.37
100,20,3,26,3,386,305,0.72
101,21,3,25,3,387,304,0.35
32,19,2,21,2,387,303,-0.35
108,16,3,21,3,383,303,0.35
97,20,3,26,3,385,305,-0.34
32,19,3,26,4,383,305,-1.05
118,19,2,20,2,379,308,0.72
101,20,2,20,1,380,304,0.36
110,19,3,24,2,380,306,-1.07
116,14,3,12,3,380,308,0
97,16,2,22,2,379,304,0.73
110,19,3,22,1,379,306,0.73
97,11,3,18,1,379,304,1.45
44,11,4,12,3,374,304,1.41
32,21,5,22,4,373,302,2.46
113,19,3,22,2,374,306,2.09
117,20,2,27,3,374,307,1.39
101,20,3,21,3,375,305,1.73
32,19,4,21,3,372,305,2.07
101,21,3,25,2,367,307,2.39
108,22,3,23,3,370,306,1.71
32,21,3,20,3,371,307,1.36
118,20,2,25,1,372,309,2.73
105,21,3,27,3,377,305,1.71
101,21,3,22,4,382,306,0.68
110,21,3,28,3,381,309,2.38
116,21,3,23,2,380,310,3.07
111,14,4,19,4,376,301,4.21
32,20,6,19,4,370,303,3.39
98,20,3,29,1,379,313,1.71
97,19,4,33,3,389,314,1.66
116,19,5,28,7,392,312,-0.67
101,21,5,30,6,394,308,1.02
32,16,3,22,3,396,307,2.05
108,19,4,22,3,381,312,0.33
111,21,6,28,5,382,315,1.31
99,21,4,35,4,384,312,0
115,20,8,9,5,384,313,1.63
109,14,4,19,3,383,312,0.65
101,20,6,31,6,382,310,0
110,21,3,28,3,380,310,1
116,19,2,25,2,379,312,-1.32
101,21,3,29,2,378,309,0
32,18,6,18,5,369,291,2.7
99,21,3,24,2,381,299,2.39
111,21,3,22,2,384,302,2.73
110,21,4,25,2,386,301,2.33
32,21,4,25,2,388,300,2.66
117,22,3,29,2,387,303,1.99
110,5,12,?,?,386,302,2.25
32,24,5,22,7,393,302,2.96
102,22,5,14,5,386,302,1
114,21,3,20,2,394,298,3.68
101,20,3,25,2,398,298,5.11
99,22,4,17,3,395,298,5.08
117,23,3,24,2,393,293,4.02
101,22,4,21,3,393,296,3.75
110,22,3,24,2,397,290,3.02
116,15,6,20,5,392,290,5.18
101,19,6,20,5,387,288,5.52
8,29,7,28,5,393,281,3.68
8,30,7,27,5,406,287,5.85
8,28,7,27,5,409,277,5.28
8,28,7,27,5,408,274,3.99
8,28,7,26,4,410,275,4.29
8,28,7,27,5,408,277,4.29
8,28,7,27,5,410,279,2.96
97,22,4,24,2,428,294,2.61
99,21,4,28,3,430,290,3.29
97,20,4,25,3,431,289,4.07
115,20,4,23,3,424,288,4.35
111,14,6,16,5,406,280,6.04
32,21,2,26,3,399,289,3.78
100,22,2,26,2,402,288,2.72
101,21,2,26,3,406,286,3.07
32,22,3,22,3,411,287,4.38
99,21,3,23,3,412,287,4.07
114,22,4,22,4,415,289,6.86
105,21,4,24,3,417,291,6.25
115,21,4,21,4,423,292,4.53
116,22,4,29,5,426,296,4.86
97,23,4,30,4,425,294,4.27
108,22,4,22,3,419,294,4.92
101,16,6,12,6,413,289,6.22
115,13,7,16,5,396,281,6.08
44,41,4,7,3,396,292,3.44
32,21,3,23,3,400,293,5.11
121,22,3,25,2,414,292,3.99
32,19,3,17,3,414,287,6.08
101,14,7,15,7,357,284,4.52
110,14,7,16,6,354,285,3.78
114,14,8,16,6,336,285,2.77
101,14,7,15,6,334,285,2.77
8,22,3,22,2,370,293,1.34
8,23,2,24,2,376,290,2.96
116,22,4,29,3,383,290,2.92
101,21,3,23,3,382,290,1.99
110,23,4,25,2,383,290,2.29
101,22,2,24,2,384,289,2
98,22,4,23,3,385,289,2.65
114,21,3,23,3,388,287,3.42
101,21,3,23,2,392,287,3.35
99,22,3,27,3,400,291,3.61
105,21,3,23,3,391,290,3.02
100,28,8,28,5,364,281,3.03
111,28,7,27,5,364,280,2.35
32,21,3,25,3,379,283,3.78
114,22,3,26,2,371,288,2.72
101,21,2,23,2,365,287,1.36
99,21,3,23,2,359,287,1.37
111,21,2,22,2,354,286,2.05
114,22,2,27,2,362,285,2.07
114,22,2,24,2,364,284,2.39
101,22,5,23,3,365,282,2.7
32,24,6,25,4,377,287,2.03
108,21,4,22,3,382,294,2.32
97,21,3,30,2,390,296,2.03
32,22,3,33,3,390,296,2.63
97,22,3,18,4,385,297,3.61
110,21,3,22,3,382,297,3.29
116,22,3,29,3,382,297,2.66
101,22,3,30,4,384,296,2.3
115,22,5,34,7,381,300,2.58
97,20,4,22,2,379,299,3.24
108,24,5,1,4,380,298,2
97,22,3,32,3,369,296,2.38
32,22,3,29,3,405,300,2.63
100,22,3,30,4,407,298,2.65
101,22,3,30,2,404,296,2.96
32,21,3,22,2,399,296,2.61
117,22,6,18,6,385,300,2.26
110,22,5,21,6,386,300,3.54
111,24,10,5,6,390,304,4.11
32,27,12,1,9,397,304,0.63
97,22,4,37,3,400,304,1.91
32,28,12,1,10,398,303,2.46
111,22,4,23,4,385,304,2.55
116,22,3,34,3,385,303,1.59
114,23,7,30,9,387,302,1.9
111,20,4,18,4,383,304,1.64
32,26,9,8,8,380,303,2.25
116,22,4,31,4,384,304,1.31
101,22,4,31,6,378,302,0
115,22,4,32,7,383,301,-0.32
116,23,9,30,12,385,301,-0.63
101,21,4,43,5,390,304,0
114,23,3,31,5,390,300,1.93
111,20,4,23,5,380,299,3.2
46,22,3,20,4,363,301,0.34
32,22,3,38,3,370,302,0.66
108,25,9,15,9,368,301,0.98
97,22,4,35,3,377,302,-0.98
32,22,3,34,3,376,302,-1.65
118,21,3,22,3,372,301,0.98
105,21,3,16,2,375,301,0
101,21,3,23,2,382,300,-0.32
106,21,5,30,7,386,301,0.34
97,22,4,32,4,383,302,-0.32
32,15,7,12,7,381,304,1
8,22,5,21,2,370,302,3.18
44,23,4,13,2,378,305,2.55
32,26,10,30,13,383,304,2.19
121,24,4,22,6,385,304,1.59
32,23,4,30,6,394,301,2.88
101,21,10,8,8,397,307,5.3
108,25,11,8,8,383,304,3.5
32,22,5,2,3,381,305,2.85
98,21,4,9,3,379,308,0.65
117,21,4,10,2,380,307,1.29
102,28,10,10,8,370,310,0.65
237,28,10,9,7,366,309,1.88
8,27,6,27,5,384,302,4.16
243,28,10,13,8,378,306,3.87
110,24,9,29,13,381,305,3.09
32,30,7,28,5,383,301,4.86
104,22,4,22,5,381,304,0.64
97,31,13,4,12,388,299,0.93
98,24,5,1,4,393,299,1.26
97,22,4,17,3,380,302,1.89
108,30,10,4,9,367,300,1.25
110,23,4,31,4,375,301,0.32
100,23,4,34,3,377,302,1.29
111,15,7,16,6,373,297,4.92
32,23,3,30,4,373,298,1.6
113,24,4,30,4,386,301,1.56
117,24,3,31,3,376,299,2.55
101,23,3,30,2,373,296,0.33
100,23,3,30,3,367,295,1.62
111,23,3,24,5,357,301,-0.31
32,23,4,23,4,356,301,-0.62
121,24,5,30,8,358,304,-0.95
32,27,8,0,8,359,306,-1.62
115,26,9,9,6,364,305,1.3
117,28,9,9,8,363,310,1.28
115,26,10,1,9,367,306,0.94
116,27,10,7,6,369,306,2.22
8,28,10,13,8,363,302,1.6
112,28,11,9,9,362,306,2.2
8,28,7,26,5,380,303,4.48
112,20,5,18,4,377,308,2.19
105,23,5,22,4,379,307,3.18
114,24,7,33,8,386,302,3.73
97,24,5,13,5,389,305,3.4
110,22,6,27,8,388,303,3.15
116,19,5,19,5,383,300,3.89
101,24,6,24,5,377,296,4.29
115,23,3,24,3,366,295,1.63
44,21,2,24,2,370,294,1.71
32,22,2,25,2,377,295,1
98,22,2,24,2,372,294,2.72
97,13,7,14,6,367,287,4.38
106,13,8,15,7,364,287,4.4
97,13,7,15,6,365,288,4.35
110,30,7,29,5,386,294,4.92
32,13,7,15,7,365,287,4.68
97,13,8,14,7,362,288,4.74
32,29,7,28,5,370,288,2.98
102,22,4,25,2,374,303,2.5
114,23,4,31,4,390,299,2.52
97,22,3,21,4,392,301,0.33
110,22,4,32,4,408,299,2.87
113,35,12,4,5,411,294,3.96
117,22,4,18,3,406,299,3.5
