@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,33,44,45,46,58,59,62,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,121,122,161,225,233,237,241,243,250}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
62,28,7,19,10,311,246,-8.71
161,33,5,24,4,325,257,0.89
97,38,6,24,6,357,261,3.32
116,35,4,20,6,298,238,-2.41
114,34,6,23,7,287,238,-5.73
105,36,4,24,6,321,250,-3.31
100,37,4,24,6,321,250,-2.1
97,35,5,23,6,328,248,-1.22
33,30,7,19,10,294,238,-10.76
32,31,6,23,6,323,252,-0.93
99,31,6,23,5,350,248,-1.87
114,30,5,23,5,360,250,-1.22
101,33,5,23,5,335,252,-2.61
111,34,7,25,9,329,248,-4.24
32,30,6,21,8,320,244,-1.73
113,35,5,24,6,321,250,-0.88
117,35,5,25,6,321,250,-1.48
101,35,5,24,6,320,248,-2.99
32,34,5,25,6,318,249,-3.31
116,35,7,24,7,309,253,-5.31
101,35,6,25,6,315,255,-4.48
110,37,6,26,7,311,255,-4.64
100,35,6,25,7,310,253,-4.4
114,38,5,25,7,304,252,-6.34
101,34,4,26,7,293,251,-8.46
109,38,6,25,8,287,251,-7.35
111,37,6,24,8,285,250,-7.95
115,32,6,23,9,285,247,-7.67
32,28,7,22,9,291,246,-8.23
113,29,7,22,9,296,248,-7.52
117,37,7,25,8,303,252,-6.66
101,39,6,25,8,306,257,-6.91
32,38,5,25,8,308,256,-5.54
118,38,6,25,7,303,255,-6.34
111,36,6,26,6,299,254,-5.22
108,37,5,26,7,298,255,-6.91
118,38,5,26,7,301,256,-6.05
101,38,6,26,7,301,256,-6.94
114,31,6,21,9,294,252,-7.56
32,36,5,25,6,309,259,-5.93
97,33,5,25,6,314,259,-3.89
116,34,4,25,7,302,259,-8.27
114,32,4,26,6,281,260,-6.81
225,37,6,26,7,286,263,-6.94
115,36,4,26,7,310,260,-4.72
44,30,3,24,5,298,262,-6.56
32,34,5,26,6,311,261,-4.23
121,34,4,25,5,324,261,-2.14
101,35,4,25,6,329,264,-2.1
110,34,4,25,6,329,264,-3.29
100,34,6,26,6,324,265,0
111,31,3,24,4,324,264,0
32,27,5,21,8,308,256,-2.71
111,35,5,25,6,308,257,-4.18
116,34,5,26,6,306,256,-4.21
114,35,5,25,6,308,255,-3.91
97,36,5,25,6,310,253,-3.65
32,34,5,24,7,311,254,-5.53
118,35,5,24,6,312,253,-4.59
101,35,5,24,6,312,252,-5.23
122,36,6,25,6,313,252,-5.5
32,32,6,18,8,294,250,-6.22
101,34,4,24,6,303,251,-5.6
114,35,5,23,6,302,251,-6.18
114,35,5,24,6,303,254,-5.5
97,36,5,25,7,301,255,-6.11
110,36,5,24,7,301,258,-6.07
116,32,5,26,7,294,259,-8.21
101,36,7,25,7,286,260,-5.37
115,37,6,25,8,287,259,-6.26
44,31,5,23,7,279,255,-7.18
32,34,5,25,6,291,257,-5.29
115,38,5,23,6,287,257,-3.72
237,31,7,26,8,297,258,-2.74
32,19,5,18,8,307,255,-1.22
101,33,4,23,3,314,262,-0.93
115,34,4,24,5,308,264,-4.64
99,32,4,25,5,306,263,-3.37
97,31,4,25,6,305,262,-2.43
112,31,4,25,5,307,262,-2.46
97,33,4,24,5,307,262,-2.45
109,32,4,25,5,308,262,-1.52
111,32,6,25,7,308,262,-1.2
115,23,5,18,7,306,261,-0.6
32,28,6,18,8,298,258,-3.33
100,36,5,25,6,317,263,-1.53
101,32,4,23,4,315,262,-3.47
32,32,4,22,4,313,262,-0.62
108,29,4,25,5,312,262,-2.18
97,32,4,23,4,312,262,-2.79
32,31,4,23,5,311,263,-2.82
109,31,4,24,5,308,262,-4.07
117,31,4,24,5,306,262,-4.07
101,30,4,24,5,304,262,-4.41
114,33,4,25,6,302,261,-2.45
116,35,4,26,6,299,261,-4.26
101,34,6,24,6,300,258,-3.98
59,33,5,25,5,300,268,-0.9
32,30,4,24,4,313,267,2.52
112,31,5,25,5,311,268,1.86
117,32,5,25,6,324,265,2.17
101,35,5,25,5,330,261,0.92
115,33,4,24,4,331,260,2.8
32,34,4,25,4,329,259,0.61
115,31,5,24,4,325,259,0.93
105,32,7,22,8,316,254,-0.61
32,30,6,23,7,318,257,0.62
110,29,7,26,7,317,257,0.93
111,31,6,27,8,318,259,0.92
44,30,6,25,7,319,263,0.62
32,30,4,23,5,318,264,0.32
108,30,4,24,4,317,266,1.59
97,33,5,24,4,319,266,0.62
32,34,4,25,5,322,265,0.31
103,32,4,23,4,324,265,1.56
117,34,4,24,5,323,265,0.93
101,32,5,24,5,323,264,1.56
114,33,4,24,5,325,264,0.94
