@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,33,44,45,46,59,97,98,99,100,101,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,121,122,161,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
161,17,2,28,2,192,185,-10.75
97,20,4,23,3,316,160,-1.44
116,14,4,22,2,325,155,-0.73
114,19,5,21,3,316,153,-2.08
105,19,2,23,1,307,158,-2.17
100,22,3,25,3,312,155,-2.84
97,16,3,21,4,311,143,-3.28
33,23,4,25,3,314,152,-4.57
32,20,4,22,3,309,165,-4.2
99,17,3,23,3,312,165,-2.78
114,21,3,23,4,309,166,-3.77
101,14,5,18,2,305,164,-3.52
111,14,3,19,3,303,162,-4.08
32,?,?,?,?,302,168,-4.44
113,25,4,24,4,316,170,-3.09
117,17,3,22,4,313,172,-3.17
101,20,3,24,4,312,173,-3.15
32,18,1,21,2,309,172,-3.19
116,17,3,25,2,304,170,-5.35
101,21,4,23,3,314,153,-3.11
110,20,2,?,?,325,156,0
100,17,5,21,2,331,152,-3.31
114,20,5,22,4,313,165,-3.15
101,17,5,21,3,318,168,-1.74
109,16,6,20,3,313,168,-2.43
111,13,3,20,3,308,169,-1.76
115,20,4,24,4,309,171,-2.08
32,19,1,22,1,310,170,-3.17
113,17,4,23,3,323,177,-2.86
117,11,4,19,3,320,180,-3.98
101,22,5,27,5,311,180,-3.5
32,18,4,20,3,312,181,-4.83
118,19,4,23,3,307,179,-3.87
111,15,5,21,3,300,177,-4.61
108,19,3,23,5,302,178,-4.57
118,18,4,20,5,306,182,-5.17
101,18,3,23,4,307,169,-4.14
114,21,4,23,3,308,153,-6.67
32,19,6,23,3,310,153,-4.7
97,20,2,23,4,313,173,-2.14
116,19,4,22,3,331,171,-0.71
114,19,3,21,4,337,173,0.36
97,23,2,22,3,343,178,-3.43
115,24,1,21,3,343,177,-2.72
44,18,2,21,2,314,174,-2.53
32,17,3,22,3,308,171,-3.9
121,17,4,22,4,320,175,-2.5
101,18,3,22,4,322,177,-3.57
110,18,3,20,2,313,181,-3.47
100,20,3,22,3,314,184,-1.74
111,16,4,19,4,316,179,-3.55
32,25,3,22,4,318,180,-3.72
111,20,4,22,5,312,177,-3.93
116,20,5,23,5,309,179,-4.28
114,20,5,25,3,305,177,-4.61
97,19,4,22,5,319,177,-6.81
32,18,5,22,4,325,180,-4.31
118,15,4,21,3,320,181,-5.78
101,15,4,22,4,321,183,-5.31
122,18,3,22,4,323,182,-5.97
32,23,3,20,4,317,189,-2.67
101,23,3,23,3,320,188,-3.45
114,22,3,20,4,320,187,-4.42
114,15,4,21,5,320,184,-4.01
97,18,3,22,4,324,184,-4.54
110,21,4,20,4,319,187,-2.37
116,16,4,22,4,322,182,-3.85
101,20,4,22,6,326,178,-3.45
115,16,2,20,2,322,182,-3.17
