@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,44,46,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,120,121,122}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
114,11,3,14,3,316,172,-6.12
101,9,4,15,2,311,180,-3.84
116,10,3,16,2,311,180,-2.86
105,9,4,15,3,313,180,-2.83
114,9,3,15,2,319,183,-2.83
97,14,4,17,3,317,181,-1.84
115,15,4,18,4,314,181,-3.16
101,14,3,18,4,309,187,-4.06
32,14,4,16,3,309,190,-4.51
100,10,5,18,3,308,192,-4.17
101,9,5,16,2,306,191,-5.13
32,9,5,13,2,304,191,-4.63
108,9,4,16,2,304,191,-5.6
97,10,5,17,2,306,193,-5.6
32,10,5,17,3,309,194,-4.63
118,10,5,17,3,309,193,-4.2
101,9,5,17,3,308,194,-4.71
110,10,5,17,3,306,193,-5.13
116,10,5,17,2,304,193,-5.6
97,10,4,17,3,307,192,-6.06
110,11,5,17,3,307,193,-6.06
97,9,4,15,2,304,192,-6.06
44,9,4,16,2,298,195,-6.98
32,10,5,18,3,300,195,-6.52
113,9,5,16,3,300,194,-6.52
117,9,4,15,3,300,194,-5.6
101,9,5,16,3,299,194,-6.98
32,10,5,16,3,300,195,-7.31
101,10,4,18,2,300,195,-7.05
108,10,5,16,3,303,195,-7.11
32,12,4,16,2,302,195,-5.6
118,11,4,18,2,301,194,-6.06
105,10,5,17,4,299,196,-6.92
101,9,5,17,2,300,196,-7.38
110,11,4,16,5,297,194,-7.25
116,11,5,15,4,295,191,-6.24
111,10,4,15,4,293,192,-8.51
32,13,3,15,3,292,195,-8.44
98,11,4,13,3,294,196,-6.68
97,10,4,14,3,293,197,-7.5
116,11,6,18,4,296,197,-7.31
101,10,4,15,3,297,196,-7.83
32,11,6,17,4,298,195,-8.14
108,9,5,13,4,298,196,-5.95
111,13,4,17,3,300,196,-6.06
99,16,4,17,3,300,196,-6.06
60,16,5,17,3,302,196,-6.52
8,15,3,18,3,296,196,-7.56
97,10,5,13,3,299,198,-8.14
108,11,4,17,4,294,195,-7.56
109,10,4,14,3,292,199,-7.06
101,9,4,14,3,292,199,-7.12
