@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,44,46,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,121,122}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
114,22,3,19,2,352,170,4.03
101,19,3,18,3,345,169,1.59
116,22,3,19,3,329,171,1.23
105,16,2,20,1,305,180,-2.07
114,19,2,19,1,313,179,-2.06
97,19,2,19,1,318,175,-1.22
114,23,3,19,3,320,172,-0.81
115,23,3,19,3,320,169,-0.4
101,23,3,20,3,322,170,-1.2
32,23,3,19,3,319,173,-1.19
100,20,3,19,3,317,172,-0.8
101,23,3,19,3,314,171,-2.83
32,22,3,20,3,312,171,-2.43
108,22,2,20,3,308,174,-2.02
97,23,3,18,3,309,174,-2.43
32,23,4,19,4,310,174,-4.02
118,17,2,20,1,323,178,-0.81
101,16,2,19,1,321,180,-0.81
110,17,1,20,2,323,179,-0.81
116,14,1,18,1,325,179,-0.83
97,16,2,19,1,327,178,-1.23
110,17,2,18,1,324,179,-1.22
97,17,2,18,1,319,178,-2.43
44,18,3,20,3,311,173,-3.24
32,20,3,18,3,313,172,-3.21
113,17,2,17,2,319,180,-1.64
117,17,1,17,2,319,178,-2.45
101,20,3,17,3,318,175,-2.45
32,17,3,18,3,316,172,-2.01
101,17,3,18,4,314,174,-3.24
108,18,3,18,3,314,174,-3.21
32,18,3,18,3,315,174,-3.21
118,18,2,20,1,321,178,-2.47
105,18,2,19,2,322,179,-2.06
101,20,1,20,1,323,180,-3.7
110,19,2,18,3,321,175,-2.04
116,18,3,20,3,315,172,-4.05
111,22,3,20,3,309,173,-4.49
32,16,1,20,1,318,179,-0.82
98,18,1,20,1,325,176,-0.83
97,22,1,18,1,326,172,0
116,18,3,19,4,302,174,-4.02
101,16,3,18,3,302,174,-4.89
32,18,1,20,1,308,180,-4.14
108,18,1,19,2,310,179,-2.88
111,20,1,19,1,315,178,-3.7
99,18,1,17,1,318,177,-3.67
97,14,1,18,1,324,177,-1.24
108,19,1,20,1,323,177,-1.23
109,17,1,18,1,321,175,-1.23
101,18,3,17,3,315,170,-2.43
110,16,3,18,4,310,170,-4.45
116,14,3,18,3,308,172,-4.05
101,16,3,17,3,306,171,-5.3
32,15,2,18,3,305,172,-4.52
99,15,3,17,3,304,171,-4.93
111,13,3,18,3,303,171,-5.34
110,16,3,18,3,302,170,-5.34
32,16,3,17,3,304,170,-4.49
117,16,3,18,3,307,171,-3.73
110,15,3,17,4,309,170,-4.14
32,19,2,20,2,317,174,-1.69
102,15,1,19,2,324,171,-1.67
114,19,3,20,2,323,167,-2.06
97,22,3,20,4,323,167,-2.45
99,16,3,17,3,317,169,-2.86
97,15,3,18,3,310,167,-3.29
115,17,3,18,3,308,167,-5.34
111,15,3,18,3,304,167,-6.15
32,16,2,17,3,300,169,-5.79
100,11,3,18,3,300,171,-4.63
101,15,2,17,3,300,170,-5.38
32,16,3,17,3,300,171,-4.97
99,19,1,18,1,308,178,-4.56
114,17,1,19,1,309,177,-5.01
105,20,1,19,1,318,176,-2.93
115,20,2,19,1,326,175,-1.69
116,22,3,20,4,326,174,-1.22
