@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,48,49,50,51,52,53,54,55,56,57}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
50,16,1,24,2,349,184,5.18
48,18,2,24,3,337,183,2.57
32,21,2,25,2,342,183,2.88
49,18,2,25,2,374,180,6.22
50,19,2,25,2,382,178,7.6
51,20,2,26,2,389,178,7.65
52,21,2,26,2,384,180,7.55
53,21,2,25,2,370,179,4.89
54,19,2,28,2,353,180,3.54
55,18,1,25,2,334,181,0.33
56,19,1,26,2,313,181,-1.96
57,20,1,25,2,304,180,-4.18
48,17,1,21,2,324,185,0.67
32,24,2,27,2,353,178,4.29
49,20,2,25,2,359,167,4.52
50,18,2,22,2,363,168,3.81
51,19,2,25,2,366,172,3.44
52,19,2,24,2,363,174,3.37
53,17,2,24,2,359,176,3.35
54,18,2,24,3,348,176,2.98
55,19,2,25,2,333,175,0
56,21,2,27,2,314,177,-1.99
57,21,1,26,2,297,178,-5.33
48,22,1,25,2,288,177,-7.12
32,22,2,22,3,346,175,3.05
49,19,2,21,2,389,165,8.23
50,18,2,21,2,385,165,8.63
51,18,2,20,2,373,167,6.25
52,18,2,25,2,369,167,3.83
53,17,2,26,2,356,167,2.09
54,19,2,26,1,344,167,1.04
55,19,2,22,2,329,170,0.35
56,15,2,22,3,318,169,-3.17
57,16,1,21,3,312,169,-3.19
48,16,1,23,2,310,168,-4.61
32,20,1,25,2,328,168,-0.35
49,16,2,24,2,351,168,3.22
50,16,1,23,2,353,168,1.43
51,18,2,24,3,355,167,2.14
52,15,1,21,2,355,169,1.78
53,15,2,23,2,349,169,1.06
54,16,1,25,2,342,169,1.05
55,16,1,22,2,336,168,-1.05
56,17,2,23,4,326,167,-1.05
57,16,2,21,3,317,167,-3.19
48,15,1,22,3,314,168,-3.19
32,24,0,26,2,343,170,0
49,20,1,24,3,379,164,6.15
50,17,2,23,2,380,164,6.68
51,16,1,24,2,345,160,-0.35
52,18,2,23,2,350,160,1.06
53,16,1,25,2,350,161,1.06
54,16,1,23,2,336,161,-1.77
55,16,1,21,2,332,163,-3.55
56,18,2,23,2,329,163,-2.82
57,18,2,23,2,327,163,-3.55
48,16,1,23,2,323,165,-4.28
32,26,1,27,1,336,166,-2.1
49,17,2,24,2,342,163,-0.7
50,17,1,22,3,342,163,-0.35
51,18,1,23,2,342,162,0
52,17,1,23,2,348,162,-0.7
53,21,2,21,2,337,163,-1.42
54,19,1,22,2,316,159,-3.19
55,16,1,20,2,313,159,-3.19
56,19,2,20,2,298,160,-5.93
57,15,1,20,3,287,160,-7.81
48,17,1,18,2,295,163,-5.59
32,22,1,22,2,330,163,-2.08
49,22,2,20,2,345,162,0.35
50,22,2,20,3,345,162,0.7
51,17,2,22,3,335,163,-1.4
52,19,2,23,3,322,163,-2.48
53,20,2,21,2,312,162,-4.22
54,15,2,23,3,304,162,-4.64
55,16,2,23,4,294,163,-7.06
56,17,2,21,3,283,162,-7.87
57,14,1,22,1,276,163,-8.51
48,13,1,22,2,273,163,-8.63
32,18,2,23,2,288,162,-5.31
49,20,2,25,2,338,159,-0.72
50,17,2,21,2,339,161,0.72
51,17,2,22,3,328,159,-2.48
52,15,2,23,3,316,161,-1.77
53,21,2,25,3,305,162,-5.17
54,16,1,23,2,296,164,-5.03
55,17,1,24,2,286,165,-6.14
56,14,1,22,2,276,166,-6.54
57,13,2,20,2,264,167,-8.28
48,14,1,21,3,257,166,-9.11
32,19,1,22,2,356,168,2.15
49,16,1,25,1,360,168,2.89
50,18,1,22,2,362,166,2.17
51,16,1,21,2,360,166,1.82
52,14,1,20,1,352,165,0
53,14,1,24,2,348,165,-0.36
54,14,2,21,2,337,165,-1.8
55,15,1,24,2,329,166,-1.8
56,13,1,24,2,321,165,-2.5
57,14,1,18,2,312,167,-3.21
48,15,1,19,2,305,168,-3.9
32,15,1,23,2,319,171,-2.13
49,20,2,24,2,341,170,1.42
50,17,2,22,2,345,170,1.79
51,18,1,23,2,347,172,1.78
52,18,1,23,1,348,170,1.09
53,18,1,22,1,341,172,1.06
54,20,1,24,1,336,173,0
55,15,2,23,2,319,173,-2.8
56,19,2,22,2,314,173,-4.2
57,18,1,23,2,306,174,-5.85
48,15,1,22,3,308,173,-3.93
32,21,1,21,3,325,173,-1.77
49,18,1,24,2,344,171,1.44
50,22,1,25,1,347,171,1.06
51,16,2,24,1,349,170,2.81
52,18,1,23,2,346,172,1.06
53,18,1,24,3,337,170,-0.72
54,17,1,22,3,318,172,-5.31
55,17,1,21,3,318,172,-5.38
56,19,1,19,3,317,172,-4.89
57,16,1,21,4,313,174,-5.59
48,15,2,24,3,309,173,-4.96
32,13,1,25,1,348,177,1.07
49,19,1,25,1,356,177,1.81
50,13,1,22,3,356,173,1.09
51,18,2,23,2,362,171,2.51
52,17,1,24,2,364,172,2.54
53,16,2,24,2,334,175,-0.69
54,16,1,24,2,335,175,0
55,16,2,22,2,317,173,-2.45
56,19,2,24,2,309,171,-3.19
57,15,1,20,3,289,167,-7.92
48,17,2,20,3,282,166,-8.03
32,16,1,23,3,300,164,-4.57
49,17,1,21,2,347,162,1.07
50,20,2,22,2,342,162,1.44
51,19,2,21,2,319,166,-3.95
52,20,2,23,3,320,168,-3.52
53,17,1,24,3,317,172,-4.61
54,16,2,24,3,309,172,-5.31
55,17,1,21,3,291,172,-8.45
56,13,1,21,2,283,169,-8.16
57,16,1,20,3,270,167,-8.92
48,15,2,21,2,268,166,-9.97
32,21,1,25,1,304,164,-2.84
49,18,1,21,1,370,161,3.86
50,17,1,23,1,387,163,5.32
51,19,2,19,2,385,161,6.02
52,16,1,23,3,362,164,1.05
53,18,1,23,2,324,164,-2.11
54,19,2,22,3,319,163,-3.17
55,18,1,21,2,306,162,-5.2
56,14,2,22,2,291,161,-6.67
57,15,2,23,1,279,159,-6.41
48,18,1,21,1,279,162,-6.67
32,21,1,27,1,312,162,-3.13
49,22,2,23,2,341,158,0.71
50,21,1,22,2,354,160,2.11
51,19,2,25,2,352,160,2.09
52,17,1,24,1,347,160,1.41
53,18,2,24,1,317,161,-2.14
54,15,1,25,2,292,162,-5.93
55,17,2,23,2,274,161,-8.4
56,15,2,19,3,263,161,-8.34
57,14,2,19,3,255,161,-8.4
48,17,3,26,4,252,162,-8.86
32,17,1,23,1,345,162,3.25
49,21,2,23,2,354,160,3.2
50,23,1,23,2,355,160,4.23
51,19,2,23,1,336,159,1.06
52,16,1,23,1,314,161,-2.45
53,17,2,22,2,294,162,-4.57
54,16,2,23,2,282,161,-5.97
55,17,1,21,3,272,161,-7.41
56,14,2,22,2,266,152,-6.71
57,14,2,18,2,260,154,-7.51
48,17,2,20,2,257,153,-8.16
32,20,1,22,2,299,158,-3.19
49,18,1,23,2,331,156,-0.36
50,17,2,24,1,323,157,0.37
51,19,2,23,3,312,157,-1.77
52,16,1,24,2,304,159,-3.9
53,18,1,23,2,298,160,-2.84
54,16,2,24,2,292,159,-4.96
55,16,1,21,3,281,159,-6.81
56,17,2,20,2,270,162,-7.02
57,16,2,24,2,260,162,-7.62
48,16,3,23,4,255,164,-8.16
32,17,1,23,1,283,161,-4.64
49,20,2,25,2,333,159,-0.72
50,21,1,23,1,328,160,-1.77
51,26,2,25,2,315,160,-0.69
52,21,2,23,1,302,161,-1.75
53,20,2,25,2,286,163,-3.5
54,21,1,24,1,272,160,-5.62
55,19,2,18,2,263,165,-7.41
56,15,1,20,2,265,163,-8.51
57,17,2,21,2,262,160,-7.71
48,15,2,24,1,261,157,-8.05
32,21,2,25,1,285,161,-2.72
49,22,1,24,2,335,159,0.71
50,15,1,25,2,349,158,3.58
51,15,2,21,2,353,157,2.49
52,17,2,24,2,334,157,0
53,18,1,23,2,310,158,-2.76
54,17,1,24,2,286,157,-5.55
55,15,2,23,2,273,160,-8.68
56,18,1,20,2,264,162,-9.42
57,15,2,20,2,254,160,-9.14
48,15,1,20,2,252,161,-9.36
32,19,1,23,2,272,161,-7.26
49,20,2,26,3,310,159,-1.38
50,23,2,24,2,324,160,1.43
51,19,2,24,2,310,161,-1.41
52,17,2,23,3,291,161,-4.51
53,18,2,26,3,276,162,-6.28
54,17,2,23,2,271,163,-5.89
55,14,2,20,2,266,163,-7.95
56,13,1,23,2,260,164,-6.36
57,16,2,23,2,253,164,-8.05
48,15,3,23,3,250,166,-7.76
32,19,2,23,2,269,164,-5.66
49,22,2,23,2,310,163,-1.43
50,17,2,23,2,325,162,2.85
51,20,2,25,2,311,162,1.06
52,20,2,26,3,289,163,-3.17
53,14,1,22,3,286,165,-5.66
54,15,1,23,2,282,163,-5.31
55,15,1,20,2,276,163,-6.32
56,14,1,24,2,267,162,-8
57,14,1,19,3,259,163,-8.11
48,14,1,23,2,256,162,-7.57
32,15,1,22,1,279,164,-5.31
49,22,2,23,2,322,161,0.71
50,18,2,26,2,324,162,1.43
51,19,1,26,2,315,163,-0.34
52,19,2,23,3,296,164,-3.52
53,17,2,22,2,285,165,-4.22
54,15,2,24,3,277,163,-5.93
55,17,2,20,3,268,165,-6.28
56,15,2,22,2,261,164,-7.26
57,14,2,18,2,254,164,-8.4
48,12,2,21,2,254,164,-8.96
32,23,1,26,2,283,162,-2.08
49,24,1,24,1,322,161,1.77
50,16,1,24,2,325,161,2.15
51,18,2,25,3,314,161,-1.75
52,20,1,25,3,291,161,-4.92
53,16,2,24,3,291,161,-4.89
54,14,1,24,2,289,163,-5.31
55,15,2,24,3,280,163,-5.59
56,16,1,23,2,271,163,-7.95
57,15,3,21,3,263,164,-7.46
