@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,33,34,39,40,41,44,45,46,58,59,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,116,117,118,120,121,127,161,225,233,237,241,243}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
101,17,1,17,2,326,154,3.13
108,16,1,19,2,326,154,0.4
32,17,1,18,3,341,155,1.18
97,16,1,17,2,352,153,3.13
98,16,2,17,3,354,153,3.9
32,14,2,16,3,349,153,3.57
117,16,1,18,2,339,153,2.74
101,17,2,16,2,327,154,1.16
108,21,1,20,3,325,150,-0.38
111,20,3,19,4,330,148,1.15
32,21,0,19,2,340,162,2.76
101,19,1,19,3,339,163,0.4
115,21,1,18,3,336,163,1.15
112,19,1,19,4,332,164,0.38
97,21,1,19,3,334,162,1.91
241,22,1,18,3,352,163,2.66
111,22,1,19,3,356,164,3.41
108,22,2,19,4,348,164,3.01
32,25,1,19,3,343,163,2.28
100,18,3,13,6,339,162,4.54
101,24,1,16,3,342,166,4.26
32,24,1,18,3,343,169,2.68
98,23,2,18,3,347,168,3.87
97,23,2,18,4,355,168,5.03
114,23,2,17,4,363,168,5.03
98,23,2,18,4,360,168,4.58
97,24,2,18,4,359,169,4.17
32,25,3,18,4,364,167,4.54
98,24,2,18,4,352,169,3.82
108,23,2,19,4,343,169,3.41
97,24,2,19,4,342,170,1.15
110,23,3,19,5,352,169,3.82
99,24,3,18,5,352,166,4.17
97,17,3,13,6,347,164,2.62
32,24,2,18,4,341,173,2.72
109,24,3,18,4,342,172,2.31
101,24,3,18,4,345,172,1.16
32,25,2,19,4,355,172,4.17
115,24,3,18,4,363,175,4.96
101,23,2,19,4,348,176,3.76
241,23,2,19,4,329,175,0.38
97,22,2,18,4,337,175,1.14
108,24,3,18,4,349,175,4.54
97,26,3,19,6,354,171,3.76
32,24,2,19,4,345,175,2.66
117,24,2,19,4,349,175,3.39
110,24,3,19,4,355,175,4.48
97,25,3,18,4,375,176,6.42
32,25,3,18,4,372,176,6.79
115,23,3,18,5,358,178,4.54
101,24,2,19,5,338,178,2.99
114,24,3,19,4,325,177,0.38
105,23,3,20,5,322,174,0
101,25,2,19,4,329,173,0.39
32,24,2,18,4,329,171,0.39
100,25,2,19,4,336,172,1.53
101,25,2,18,3,343,171,2.64
32,23,3,19,4,350,172,2.26
114,24,3,19,4,360,170,4.14
101,25,3,18,4,365,169,5.18
116,24,3,18,5,372,168,6.04
114,24,2,18,4,376,167,5.03
97,23,3,18,4,377,167,6.94
116,22,2,18,4,347,166,3.08
111,22,2,19,4,331,165,1.96
115,22,2,18,5,319,162,0
32,25,2,18,4,332,175,1.91
105,24,3,19,4,333,174,1.13
108,23,3,20,5,331,176,0.76
117,24,3,19,5,339,177,1.9
115,25,4,19,5,356,173,4.14
116,25,3,19,4,361,174,4.81
114,25,3,19,4,363,174,5.59
101,23,4,18,4,365,174,6.09
115,25,3,19,5,363,174,4.85
58,23,2,19,4,340,177,4.2
32,23,3,18,4,345,178,4.26
34,24,3,18,5,346,172,3.85
101,23,2,17,4,356,166,3.96
115,16,2,13,6,343,159,2.26
116,26,3,20,5,349,176,1.47
101,25,3,19,5,351,175,1.48
44,24,2,20,5,330,176,-1.09
32,24,2,20,4,332,176,1.48
109,25,3,20,4,338,176,1.83
101,26,3,20,4,345,176,3.66
32,25,2,19,4,350,178,5.14
100,24,3,19,4,344,178,1.48
105,25,3,19,3,343,178,1.48
99,24,3,18,5,354,178,2.95
101,24,3,19,4,353,180,3.32
44,24,3,20,4,336,181,0
32,25,3,20,4,338,178,0.74
101,24,3,19,4,341,178,1.5
115,23,3,19,3,341,178,1.51
32,24,3,20,4,335,178,-0.37
101,24,3,20,5,332,180,-0.36
108,24,2,19,4,335,181,-1.09
32,25,3,20,5,347,181,0.73
103,25,3,19,4,355,179,3.27
114,24,2,19,4,359,177,3.34
97,24,2,19,4,363,176,3.74
110,22,2,19,4,354,173,3.03
32,23,2,19,3,338,167,3.1
100,24,2,19,4,335,167,1.51
111,23,2,19,4,334,168,1.5
110,23,3,19,4,342,169,1.53
32,23,3,19,5,345,169,2.26
109,22,2,19,5,344,169,1.93
105,23,2,19,4,346,168,1.17
103,21,2,19,5,349,166,1.16
117,22,2,19,4,349,166,1.53
101,23,2,20,5,347,167,1.13
108,23,2,19,4,340,168,0.38
32,25,2,19,3,340,169,-0.37
99,24,2,18,4,355,168,3.44
101,25,3,19,4,361,167,3.76
114,23,3,19,4,361,167,3.39
118,24,2,19,4,359,168,3.34
97,24,2,19,4,353,170,2.25
110,24,2,19,4,351,168,2.25
116,24,2,18,4,349,168,1.89
101,24,2,19,5,350,169,1.89
115,23,3,18,5,359,169,3.06
32,24,3,18,4,361,170,3.36
100,25,3,19,4,350,172,2.97
101,25,3,19,4,337,172,0.74
32,25,3,19,5,339,172,0.76
115,26,4,15,7,354,164,3.29
97,26,3,19,4,358,168,3.74
97,24,3,18,4,358,169,3.41
118,26,3,18,6,356,166,3.34
101,23,3,19,4,348,169,3.39
100,24,3,18,4,343,166,2.28
114,18,3,14,6,343,161,2.99
97,17,3,15,6,346,162,1.86
44,24,3,20,4,326,170,0.74
32,23,2,19,4,344,169,3.41
103,24,3,19,4,356,169,4.14
101,24,3,18,4,356,169,3.76
110,25,3,19,4,354,170,4.11
105,24,2,20,5,330,170,0.75
111,24,3,19,5,323,167,1.13
32,23,2,19,4,342,170,3.08
121,24,2,19,4,343,170,1.51
32,25,3,18,4,357,169,3.01
109,24,3,20,4,347,174,3.68
97,25,3,19,4,358,175,5.55
110,25,3,19,4,359,175,4.41
99,24,2,19,4,345,175,3.34
111,25,2,19,4,323,176,-1.09
59,22,2,19,4,334,176,0.39
32,24,2,18,4,351,175,2.68
233,24,3,19,4,345,175,1.51
115,23,3,19,4,347,173,1.14
116,24,3,18,5,353,171,2.64
101,23,3,18,4,357,170,3.01
32,24,3,19,4,348,172,2.64
101,25,3,19,4,350,172,2.6
115,24,3,19,4,359,174,4.85
32,24,2,20,4,351,174,4.45
108,24,3,20,4,333,174,0.37
111,24,3,20,5,326,171,-1.46
112,24,2,20,4,326,168,-1.08
101,25,3,20,5,338,169,-0.36
32,24,3,20,5,348,169,1.48
100,24,2,19,4,349,170,1.47
101,24,2,19,3,349,170,1.49
32,25,2,20,4,343,170,0.37
118,24,3,19,4,356,170,2.99
101,23,2,19,4,361,167,3.71
103,25,3,19,4,360,165,4.05
97,17,3,14,6,351,162,2.18
44,24,2,19,4,350,172,3.39
32,24,3,20,4,361,173,4.85
233,25,3,19,4,352,174,3.39
115,25,3,19,4,359,173,4.05
116,24,3,19,4,361,173,4.45
101,24,3,19,4,362,174,3.32
32,23,2,19,4,358,174,1.86
103,24,3,19,4,353,172,2.64
97,23,3,18,4,370,174,5.26
114,25,3,19,4,366,175,4.85
99,24,3,20,4,357,176,3.74
105,24,3,20,4,335,176,0.38
108,24,3,20,4,324,176,-0.36
97,25,3,19,4,334,178,-0.74
115,16,3,14,7,336,170,1.45
111,16,2,14,6,325,169,0
32,25,3,20,4,350,175,3.29
121,25,3,19,4,350,176,2.93
32,26,3,20,4,358,174,3.99
101,24,3,20,4,351,176,2.89
108,25,3,19,4,337,175,-0.72
32,24,2,20,4,333,174,-1.46
109,16,2,14,6,323,169,-0.35
225,25,4,20,4,355,178,2.17
115,25,3,20,5,353,179,2.89
32,24,3,19,4,345,181,2.91
102,25,3,19,4,346,179,1.83
117,25,3,19,4,342,179,2.2
101,24,3,19,4,340,179,1.11
114,25,3,19,4,342,178,1.83
116,25,3,19,4,356,175,3.68
101,25,4,19,5,350,170,3.99
127,25,4,25,4,308,182,-0.71
8,23,3,26,4,300,178,-2.57
8,22,3,23,4,302,178,-2.94
8,22,4,25,4,311,177,-1.09
8,23,3,22,4,325,171,0.74
8,21,4,21,4,333,172,2.21
8,20,4,25,4,338,172,3.36
8,19,4,23,4,344,172,5.18
44,21,2,19,4,323,178,1.81
32,19,2,19,3,322,166,-0.75
233,24,2,19,4,333,173,0.73
115,23,2,18,4,343,170,3.29
116,22,2,19,4,347,168,1.85
101,15,2,13,5,342,162,1.82
32,18,3,14,6,315,161,-2.88
113,15,2,19,4,320,167,-2.22
117,21,2,19,4,332,170,-0.73
105,22,2,19,4,334,170,0.74
110,24,2,18,3,338,170,0.75
97,24,2,19,3,346,170,1.47
116,22,1,18,3,346,170,1.49
97,21,1,20,4,342,171,0
110,23,1,20,3,340,171,-1.11
46,22,3,23,4,279,162,-7.15
32,22,2,18,4,332,172,0.76
34,23,3,16,5,330,165,1.11
121,17,3,13,6,320,163,-2.52
8,22,3,24,4,322,168,-2.16
32,26,4,24,5,334,172,1.43
121,23,2,19,4,344,172,1.47
111,20,2,19,5,327,171,0.37
32,20,3,15,6,333,168,2.18
108,26,4,20,6,333,170,1.81
101,24,1,18,4,333,174,0.38
32,22,1,19,3,334,174,-0.37
112,22,1,18,3,334,173,-0.73
114,21,1,18,4,341,171,1.13
101,20,1,19,5,347,170,1.87
118,22,1,18,4,348,170,1.13
8,25,3,17,5,334,167,1.11
103,22,2,18,4,331,169,0.38
117,23,1,19,4,330,170,-1.1
110,22,2,18,5,330,170,-1.47
116,23,2,19,5,326,171,-0.74
111,20,2,17,4,324,170,-1.5
