@relation pressed_keys

@attribute pressed_key numeric
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
113,23,2,20,2,303,291,-0.78
8,16,3,14,2,291,297,0.0
113,25,2,24,2,319,295,-1.85
119,21,6,21,6,321,291,-1.47
121,22,3,19,3,325,302,0.73
112,19,3,15,3,325,301,2.23
102,23,3,22,2,309,304,-3.24
103,21,2,21,2,305,303,-4.01
104,23,2,23,3,320,303,-1.78
106,22,3,22,1,319,303,-1.08
107,22,3,20,3,322,310,-0.7
241,19,3,14,3,320,310,0.0
122,27,2,26,3,325,309,1.42
120,27,3,26,3,326,310,0.71
99,21,7,20,7,328,303,0.0
118,22,2,18,2,326,312,0.0
98,26,2,27,2,331,314,0.7
109,28,2,25,3,330,314,2.07
32,20,5,22,4,332,301,1.77
113,25,2,26,3,334,306,0.0
119,22,3,21,3,330,307,-0.35
121,26,2,21,3,331,306,0.36
112,21,7,22,7,326,300,0.36
102,24,3,22,2,328,305,0.0
103,24,3,22,3,328,305,1.06
104,23,3,24,3,328,305,0.0
106,22,2,22,2,330,305,0.71
107,22,3,21,4,329,305,1.41
241,19,4,16,4,329,302,2.49
122,28,2,26,4,333,306,2.46
120,23,2,23,3,335,305,2.14
99,24,3,24,3,335,311,2.08
118,24,2,20,3,334,310,1.73
98,24,2,22,2,333,310,1.06
109,23,2,24,2,334,311,1.73
32,27,2,27,3,332,305,1.42
113,26,2,22,3,338,304,1.75
119,22,2,19,3,340,302,1.42
121,23,2,20,3,342,303,1.76
112,25,2,26,3,340,303,2.15
102,24,3,25,4,324,304,0.71
103,23,2,18,3,335,305,1.41
104,25,2,23,2,337,306,1.39
106,23,2,23,2,338,306,1.4
107,22,2,21,3,333,308,1.75
241,?,?,10,2,330,309,0.72
122,30,3,26,4,336,309,1.37
120,25,2,24,3,339,309,0.35
99,18,6,19,6,333,309,-1.03
118,25,3,25,2,335,315,-0.34
98,24,2,20,3,335,314,0.0
109,24,2,21,2,336,315,-0.34
32,27,2,28,3,332,311,0.35
113,27,2,25,3,339,304,-0.69
119,20,2,16,2,339,295,1.08
121,22,2,23,2,316,305,-0.71
112,21,3,15,3,319,303,0.71
102,26,3,27,3,330,306,0.7
103,25,3,23,2,331,305,-0.34
104,21,2,20,3,333,306,0.0
106,23,3,22,2,333,305,1.04
107,22,2,21,3,331,309,1.04
241,23,2,23,3,329,310,0.35
122,20,6,20,6,333,306,-0.68
120,27,2,26,3,336,311,-0.34
99,27,3,24,3,338,311,-0.34
118,20,6,20,6,332,304,-0.33
98,24,2,21,2,336,306,0.7
109,28,1,27,3,334,309,0.72
32,28,3,27,3,334,308,1.72
113,26,2,25,3,343,311,0.35
119,22,2,21,2,341,313,0.0
121,24,3,22,2,343,310,1.03
112,26,2,27,3,336,307,2.07
102,23,3,24,3,321,306,-1.74
103,24,3,23,3,321,307,-1.74
104,24,2,24,3,328,306,-0.34
106,24,2,24,2,331,306,0.35
107,21,1,24,3,325,307,1.76
241,22,2,21,3,322,307,1.04
122,26,2,26,2,336,311,-1.36
120,25,2,25,1,338,309,-1.02
99,28,3,27,2,339,309,-1.01
118,27,2,25,2,338,311,-0.68
98,24,2,26,2,335,313,-1.36
109,24,2,22,3,336,312,-0.34
32,28,2,29,2,330,307,-0.35
113,23,3,22,2,304,259,-9.21
119,23,3,24,2,305,263,-9.14
121,22,3,20,2,312,282,-6.28
112,20,3,15,2,310,279,-6.28
102,22,2,25,1,319,276,-4.92
103,23,4,24,2,319,275,-5.55
104,22,2,19,2,318,274,-4.86
106,21,2,18,3,317,274,-3.52
107,22,2,18,1,307,277,-3.82
241,21,2,17,2,304,276,-4.54
122,26,3,28,3,320,277,-4.79
120,26,3,24,3,323,274,-5.51
99,23,3,23,2,323,275,-4.17
118,25,3,25,3,319,274,-5.2
98,24,2,21,2,317,273,-4.17
109,22,3,20,2,319,274,-4.2
32,23,2,24,2,313,274,-4.17
113,25,2,24,2,319,272,-4.51
119,22,4,19,3,319,271,-4.17
121,23,3,24,2,313,273,-4.61
112,22,2,17,2,311,271,-3.5
102,24,2,21,1,316,273,-4.79
103,23,3,26,1,316,273,-4.17
104,20,3,20,3,316,273,-3.5
106,?,?,27,2,309,274,-4.86
107,19,2,23,2,306,274,-3.9
241,21,2,16,2,302,271,-4.22
122,24,1,26,2,319,275,-3.77
120,26,2,27,2,317,273,-3.77
99,24,2,26,2,316,273,-4.51
118,24,2,22,2,317,274,-3.77
98,25,2,21,2,319,273,-3.77
