@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,241}

@data
11,4,23,2,350,216,-2.32,50
16,2,22,1,351,217,-1.14,48
15,2,23,2,365,218,0,49
15,1,22,0,353,212,-3.51,50
14,3,22,2,355,215,-1.55,51
13,3,22,2,365,214,1.56,52
11,4,22,2,359,212,-0.79,53
16,1,24,1,364,210,-1.17,54
12,4,20,2,358,209,-1.9,55
16,1,22,0,382,216,0,56
13,2,22,2,374,222,1.51,57
16,2,24,1,360,216,0.76,48
16,3,23,2,369,218,-0.75,49
14,3,24,2,372,215,-0.76,50
12,3,23,2,367,212,-1.95,51
16,1,22,0,368,209,-2.3,52
14,3,23,3,369,212,-1.15,53
12,3,20,2,364,211,-1.57,54
13,3,22,2,361,209,-3.12,55
16,1,23,1,367,211,-1.86,56
15,4,20,4,362,215,0.74,57
9,4,21,3,367,214,0,48
14,3,24,2,369,214,0,49
15,3,24,3,366,211,-0.74,50
15,3,22,2,366,213,-1.11,51
15,3,22,3,366,210,-1.12,52
17,2,21,1,363,207,-1.48,53
13,3,22,2,362,212,-1.51,54
12,4,20,3,359,210,-1.12,55
16,2,22,1,361,207,-1.5,56
13,3,21,3,360,216,0.75,57
17,2,20,1,358,210,-0.73,48
15,3,23,2,354,207,-1.16,49
14,3,23,2,350,206,-2.3,50
13,3,21,2,348,203,-1.93,51
12,3,21,3,348,202,-2.3,52
1,2,?,?,349,202,-1.53,53
12,3,22,2,347,206,-2.69,54
11,3,20,2,344,204,-1.53,55
14,2,21,1,348,201,-2.65,56
15,2,21,1,356,202,-1.86,57
10,3,20,2,344,214,0.77,48
16,3,24,2,340,216,0,49
16,3,24,2,347,215,-1.48,50
14,3,24,2,349,206,-2.25,51
11,5,23,2,341,210,-3,52
12,5,23,2,335,209,-3.02,53
13,4,23,3,344,210,-1.48,54
11,3,24,2,342,207,-0.37,55
11,3,23,3,340,207,0.38,56
10,4,23,3,340,209,0.38,57
10,3,21,3,348,210,0.75,48
14,3,23,2,342,209,-2.63,49
15,3,24,2,342,208,-2.59,50
13,3,23,2,340,205,-1.14,51
14,3,23,2,339,203,-1.5,52
13,4,22,2,336,205,-2.27,53
13,3,23,2,341,207,-2.24,54
11,4,22,3,352,208,-0.37,55
12,3,24,3,362,207,0.37,56
12,3,21,3,362,207,0.73,57
12,3,20,1,353,206,-0.36,48
14,3,23,3,331,210,-4.47,49
14,4,22,2,331,210,-4.8,50
13,3,22,2,337,211,-3.75,51
13,4,22,3,343,210,-3,52
12,4,22,3,346,209,-1.88,53
12,3,22,3,348,209,-1.5,54
11,3,23,3,366,209,0.37,55
10,3,23,2,369,208,0.76,56
10,3,22,4,373,211,1.48,57
11,3,24,3,354,211,0.38,48
13,3,23,2,341,211,-3.78,49
13,4,23,2,339,210,-4.19,50
12,4,22,2,341,209,-4.19,51
11,3,23,2,346,208,-3.43,52
12,3,22,2,350,207,-2.25,53
12,4,22,2,354,205,-1.52,54
11,4,21,2,351,204,-1.51,55
11,4,22,2,351,203,-1.89,56
11,4,20,2,349,202,-2.24,57
11,2,18,1,347,201,-1.46,48
13,4,23,2,334,210,-5.62,49
12,4,22,1,336,211,-5.25,50
12,4,23,2,332,207,-6.5,51
12,4,23,2,332,209,-5.25,52
11,4,22,1,333,209,-6.08,53
12,4,23,2,338,209,-4.44,54
11,4,20,2,341,206,-3.38,55
11,4,22,2,349,207,-3,56
10,4,22,2,351,207,-1.89,57
10,3,15,0,346,205,-1.11,48
14,4,23,1,345,210,-4.07,49
12,4,22,2,340,208,-5.32,50
13,4,22,2,334,208,-5.66,51
12,4,22,2,334,208,-4.95,52
12,3,23,2,338,209,-4.87,53
11,3,22,2,346,210,-3.05,54
10,4,22,2,346,206,-2.67,55
11,4,20,2,343,204,-3.38,56
10,4,21,2,339,204,-3.43,57
11,3,17,1,323,203,-2.98,48
12,4,22,2,342,222,-4.19,49
13,4,21,1,336,218,-4.5,50
12,3,22,2,332,216,-5.66,51
12,4,21,1,331,215,-5.28,52
11,4,22,2,340,212,-3.07,53
12,4,21,3,344,208,-3.33,54
11,5,23,3,348,210,-2.19,55
11,4,21,2,350,208,-2.2,56
9,4,24,2,349,209,-1.89,57
10,4,23,3,350,209,-0.73,48
13,3,23,2,349,212,-3.73,49
13,3,23,2,349,213,-4.1,50
13,3,24,1,356,213,-2.98,51
13,3,23,3,366,211,-1.47,52
12,3,24,3,373,211,0,53
12,3,24,3,374,211,0.75,54
14,4,24,3,370,207,0.73,55
11,3,24,3,373,207,1.5,56
11,3,22,3,373,206,2.58,57
9,2,23,3,360,206,0.75,48
14,4,24,2,349,210,-3.35,49
13,3,23,2,350,211,-3.35,50
14,4,24,2,353,210,-2.59,51
13,3,22,2,357,208,-2.59,52
12,3,23,2,357,207,-1.88,53
11,3,23,2,354,207,-1.89,54
13,3,23,2,354,209,-1.84,55
12,3,24,2,361,209,-0.74,56
11,4,23,4,361,210,0.74,57
11,2,14,1,351,205,0.73,48
13,4,24,2,353,212,-4.47,49
12,4,22,2,347,212,-4.95,50
10,5,21,2,346,210,-5.17,51
13,4,21,2,345,208,-3.33,52
11,3,24,3,355,210,-1.47,53
11,3,23,3,355,211,-1.48,54
10,3,24,2,358,208,-2.25,55
10,4,22,2,363,208,-1.51,56
11,3,21,3,364,208,-1.49,57
11,4,20,2,368,207,-1.85,48
14,3,24,2,367,210,-2.59,49
15,3,24,3,365,210,-2.96,50
13,3,24,2,360,209,-1.88,51
17,3,23,1,356,204,-2.61,52
14,5,24,2,354,206,-3.31,53
12,4,23,2,358,207,-1.5,54
12,4,24,3,365,208,-1.11,55
11,3,21,3,368,208,1.51,56
11,3,21,2,369,208,1.12,57
12,4,21,3,368,207,0.74,48
15,4,25,2,363,209,-2.94,49
14,4,23,2,356,208,-3.73,50
12,4,24,2,351,209,-4.5,51
13,4,24,2,355,210,-3.75,52
13,4,24,3,360,211,-3,53
12,4,23,3,367,210,-1.12,54
11,4,24,3,368,207,-2.63,55
11,4,23,2,366,208,-1.1,56
12,4,22,3,364,208,-0.73,57
11,3,21,2,363,207,-1.11,48
16,4,25,2,362,212,-2.92,49
15,4,22,2,360,212,-2.94,50
11,4,23,2,352,210,-4.53,51
12,4,22,2,351,210,-4.5,52
12,4,22,2,358,211,-4.13,53
13,4,23,3,365,209,-1.86,54
12,3,23,3,374,208,0,55
11,3,23,3,377,209,0.75,56
11,3,22,3,374,207,0.38,57
10,4,23,3,367,205,-0.75,48
13,3,23,2,367,213,-3.7,49
13,4,22,2,367,214,-4.13,50
12,3,23,2,368,212,-3.75,51
12,4,23,2,366,210,-3.78,52
12,5,23,3,364,210,-3.38,53
12,4,23,3,364,209,-2.98,54
11,5,24,2,371,206,-2.61,55
11,3,23,3,381,207,0,56
11,3,21,2,377,207,-0.72,57
11,3,23,2,364,206,-0.37,48
15,4,22,2,360,212,-3.67,49
15,4,22,2,359,211,-4.07,50
13,4,22,1,362,212,-3.73,51
13,3,23,2,366,210,-2.24,52
13,4,21,2,368,210,-2.96,53
11,4,23,2,369,210,-1.88,54
11,4,24,2,368,208,-2.61,55
9,4,22,3,366,209,-1.13,56
12,4,21,3,367,210,-1.81,57
15,3,20,1,365,207,-2.17,48
14,4,24,1,358,214,-6.27,49
13,4,22,1,357,212,-5.21,50
13,4,24,2,359,211,-5.25,51
13,5,24,2,359,210,-5.28,52
12,4,23,2,359,208,-3.78,53
11,4,20,2,356,205,-4.19,54
10,5,21,2,354,202,-4.6,55
11,3,22,2,356,203,-3.02,56
11,4,22,3,356,202,-2.24,57
10,3,21,2,355,202,-2.27,48
14,4,23,2,356,210,-4.8,49
14,4,23,1,352,211,-5.54,50
12,5,22,3,351,210,-4.87,51
13,4,20,2,350,209,-4.44,52
12,5,21,2,350,209,-4.1,53
12,4,23,2,353,209,-3.38,54
11,4,22,2,358,206,-2.61,55
12,3,23,2,363,211,-1.85,56
11,3,23,3,362,209,-1.88,57
10,4,22,3,360,210,-1.49,48
14,4,22,2,345,211,-5.25,49
12,3,22,2,344,210,-5.62,50
13,5,23,2,340,211,-6.36,51
13,4,22,2,339,210,-5.99,52
12,5,22,2,337,211,-6.45,53
12,4,23,2,341,209,-5.66,54
12,4,21,2,346,207,-5.21,55
11,4,21,2,348,208,-3.4,56
11,4,21,3,355,207,-2.24,57
13,3,20,1,355,205,-2.2,48
20,4,21,2,362,208,-6.41,60
23,4,23,0,411,212,-4.11,49
22,4,?,?,377,210,-3.9,97
21,4,23,0,384,207,-3.93,116
16,2,21,3,389,207,-3.6,114
20,3,21,3,387,206,-3.62,117
15,3,17,3,394,214,-1.76,8
23,4,24,3,401,212,-2.1,8
22,5,23,3,403,211,0.36,8
22,4,24,3,402,209,-0.7,8
19,4,26,2,394,212,-3.21,97
22,3,23,2,384,206,-5.35,116
?,?,23,2,382,205,-4.96,114
22,4,23,3,383,204,-4.96,105
21,4,23,4,383,204,-4.57,100
22,5,22,3,383,203,-5.31,97
21,5,22,5,412,208,-3.6,49
18,5,22,2,387,217,-2.1,99
19,5,21,2,383,212,-2.84,114
?,?,?,?,382,208,-5.03,101
14,5,17,3,394,211,-1.07,111
20,3,21,4,395,205,-3.93,113
22,4,23,3,394,203,-2.16,117
22,4,22,3,390,202,-2.13,101
19,6,23,3,382,203,-2.5,116
14,6,23,3,379,199,-3.33,101
20,5,22,3,376,195,-5.78,110
21,5,22,3,384,200,-4.61,101
20,4,23,3,386,202,-3.21,109
21,4,21,2,389,201,-3.55,111
21,3,23,1,386,200,-2.13,115
19,4,22,2,383,198,-3.57,113
19,4,21,3,386,197,-4.64,117
