@relation 5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,32,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,231,241}

@data
19,2,23,1,381,290,-5.42,97
16,2,20,1,377,291,-2.95,115
18,2,18,1,385,287,-3.32,105
16,2,21,1,387,293,-1.67,32
16,2,17,2,385,294,-1.66,99
15,2,18,1,378,292,-1.69,111
17,2,22,1,378,292,-1.25,110
17,2,19,1,379,293,-1.66,99
17,2,21,1,380,292,-3.32,101
15,1,22,1,377,290,-3.32,98
16,2,22,3,376,284,-2.07,105
18,3,23,3,375,286,-3.29,100
18,3,23,3,375,285,-3.29,111
15,2,20,4,389,278,-2.43,44
17,3,21,4,389,278,-3.21,32
18,3,23,2,388,289,-2.04,101
19,3,21,4,382,280,-2.04,115
16,2,19,4,381,280,-2.86,116
17,2,21,4,380,280,-2.07,101
16,2,19,3,380,280,-2.04,32
16,2,20,1,381,288,-0.81,109
15,2,20,1,384,288,0,117
19,2,22,1,384,288,-0.81,110
18,1,21,1,387,286,-1.22,100
16,3,19,2,385,283,0.41,111
15,3,19,4,383,280,0.41,32
18,3,20,3,380,282,0,101
17,3,20,3,379,283,-0.79,114
17,3,19,3,378,282,-1.61,101
20,3,22,3,380,281,-0.8,8
18,2,22,2,392,284,-1.66,97
16,1,25,2,400,280,0,32
16,3,19,3,373,282,0,101
20,2,24,2,373,286,0,108
21,3,25,2,375,283,-1.18,32
?,?,32,2,370,280,0.41,100
16,2,20,4,364,278,1.59,101
16,3,20,3,369,280,0.8,32
17,2,18,2,369,294,1.19,108
22,1,23,2,375,295,0,111
19,2,25,2,376,294,0.79,115
15,2,18,2,376,293,0,32
17,1,25,1,377,293,2.38,109
16,1,17,2,377,293,1.18,105
19,1,18,1,378,292,1.59,115
20,2,25,2,378,290,0.79,116
19,2,20,2,376,289,-0.4,101
17,2,21,1,379,285,0.82,114
15,2,21,2,378,285,1.22,105
16,1,21,1,376,284,0.81,111
15,3,20,3,374,279,0,115
16,2,18,2,374,278,0.8,32
16,2,21,2,381,288,1.22,121
15,2,18,1,383,288,0.41,32
15,2,23,1,385,290,0.4,108
18,1,18,1,385,291,0.8,97
22,1,25,2,385,291,0.4,115
20,2,26,2,384,289,0.4,32
16,1,19,1,371,285,0,108
17,2,20,1,371,287,-0.4,101
17,1,20,1,371,287,0,121
19,3,20,1,369,286,-1.23,101
?,?,26,1,371,282,-0.41,110
14,3,19,3,367,281,0.81,100
16,3,19,3,367,281,0,97
17,3,19,3,367,280,0.4,115
16,4,19,4,366,281,0,32
17,4,17,3,364,282,0.8,121
17,3,20,4,365,280,0,32
14,3,16,3,367,292,0.8,115
14,3,16,3,367,290,0.8,101
14,3,17,2,368,290,1.22,32
19,1,24,2,376,293,0,99
18,2,18,2,375,292,1.6,111
19,1,22,2,375,293,0.8,110
16,2,21,2,375,287,0,118
19,2,20,1,374,286,0.41,101
17,2,22,1,376,284,0.41,114
15,2,19,1,372,286,2.84,116
15,1,24,2,372,280,0.42,105
17,3,19,4,372,278,0.4,115
15,3,19,4,371,279,0.4,32
17,2,22,2,374,285,0,101
14,3,17,3,367,281,2.8,110
14,4,16,3,360,281,3.17,32
