@relation InstanceResultListener

@attribute Key_Dataset {0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3_old-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,4_young-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,6_no_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,7_forced-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,8_no_forced_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,9_light_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1651,52542,5838,945,4893,0,16.18705,83.81295,0,0.058596,0.036041,0.134934,97.120644,99.060676,28524.295717,32754.232555,-4229.936838,4.88597,5.610523,-0.724552,5190.898121,0.889157,18.198164,0.085714,9,0.012559,72,0.987441,5661,0.914286,96,0.111111,0.085714,0.096774,0.083117,0.807278,0.095762,0.161871,0.105487,0.894513,0.838129,?,0.161871,?,?,0.668668,0.103974,?,0.161871,0.016,31.418,0.015625,31.265625,15.625,31265.625,4891496,4888879,545407,86.159644,34.331862,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1652,52542,5838,948,4890,0,16.238438,83.761562,0,0.060778,0.036048,0.134932,97.137233,99.058524,28528.076063,32460.139324,-3932.063261,4.886618,5.560147,-0.673529,5212.00021,0.892772,18.269722,0.12381,13,0.011861,68,0.988139,5665,0.87619,92,0.160494,0.12381,0.139785,0.127193,0.775501,0.066341,0.162384,0.103689,0.896311,0.837616,?,0.162384,?,?,0.6721,0.104436,?,0.162384,0.015,33.094,0.015625,32.828125,15.625,32828.125,4891496,4888879,545407,86.553614,34.700643,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1652,52542,5838,972,4866,0,16.649538,83.350462,0,0.064727,0.036,0.134728,97.008261,98.908133,28529.720037,32050.245236,-3520.525199,4.8869,5.489936,-0.603036,5311.432228,0.909803,18.61719,0.095238,10,0.012384,71,0.987616,5662,0.904762,95,0.123457,0.095238,0.107527,0.094136,0.775772,0.090069,0.166495,0.104294,0.895706,0.833505,0.165384,0.166495,0.114954,0.075932,0.676069,0.109423,0.093938,0.166495,0.016,40.278,0.015625,39.96875,15.625,39968.75,4891496,4888879,545407,87.016101,34.589135,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1653,52542,5838,943,4895,0,16.152792,83.847208,0,0.058795,0.035987,0.13479,96.973408,98.953276,28530.662552,32162.461508,-3631.798955,4.887061,5.509158,-0.622096,5341.695704,0.914987,18.722649,0.09434,10,0.013957,80,0.986043,5652,0.90566,96,0.111111,0.09434,0.102041,0.087114,0.77103,0.069726,0.161528,0.105388,0.894612,0.838472,0.156175,0.161528,0.110536,0.068803,0.674718,0.108761,0.092668,0.161528,0,42.282,0,41.796875,0,41796.875,4891496,4888879,545407,86.467968,34.32716,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1654,52542,5838,971,4867,0,16.632408,83.367592,0,0.063826,0.036009,0.134816,97.032156,98.972254,28528.973318,32417.315473,-3888.342155,4.886772,5.552812,-0.66604,5263.516185,0.901596,18.449722,0.141509,15,0.012038,69,0.987962,5663,0.858491,91,0.178571,0.141509,0.157895,0.145163,0.811103,0.106698,0.166324,0.10508,0.89492,0.833676,?,0.166324,?,?,0.67026,0.1086,?,0.166324,0,41.21,0,41.015625,0,41015.625,4891496,4888879,545407,86.43371,34.57167,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1654,52542,5838,952,4886,0,16.306954,83.693046,0,0.059745,0.035996,0.134782,96.996346,98.946893,28528.45064,31791.209442,-3262.758801,4.886682,5.445565,-0.558883,5262.278776,0.901384,18.445722,0.09434,10,0.011689,67,0.988311,5665,0.90566,96,0.12987,0.09434,0.10929,0.09673,0.799551,0.089506,0.16307,0.105222,0.894778,0.83693,0.156574,0.16307,0.107032,0.068857,0.678426,0.106239,0.084011,0.16307,0.015,41.43,0.015625,40.84375,15.625,40843.75,4891496,4888879,545407,87.118876,34.492742,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1655,52542,5838,936,4902,0,16.032888,83.967112,0,0.056377,0.036043,0.134927,97.124694,99.054143,28524.178388,32413.386129,-3889.207742,4.88595,5.552139,-0.666188,5213.677412,0.893059,18.278098,0.133333,14,0.011861,68,0.988139,5665,0.866667,91,0.170732,0.133333,0.149733,0.137181,0.820727,0.109788,0.160329,0.106097,0.893903,0.839671,0.146655,0.160329,0.105266,0.064086,0.673162,0.102101,0.077796,0.160329,0.016,40.553,0.015625,40.375,15.625,40375,4891496,4888879,545407,86.313806,34.534053,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1656,52542,5838,984,4854,0,16.855087,83.144913,0,0.066253,0.036003,0.134791,97.016739,98.953945,28525.732009,32407.076864,-3881.344855,4.886217,5.551058,-0.664842,5270.54845,0.9028,18.47647,0.12381,13,0.012733,73,0.987267,5660,0.87619,92,0.151163,0.12381,0.136126,0.122532,0.798597,0.081143,0.168551,0.104538,0.895462,0.831449,0.148421,0.168551,0.112145,0.072583,0.674535,0.106259,0.090094,0.168551,0.016,40.584,0.015625,40.375,15.625,40375,4891496,4888879,545407,86.365194,34.494757,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.lazy.IBk,'-K 65 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220607.1657,52542,5838,955,4883,0,16.358342,83.641658,0,0.061257,0.036013,0.134823,97.044284,98.978672,28524.947407,31978.56082,-3453.613413,4.886082,5.477657,-0.591575,5272.570341,0.903147,18.484067,0.104762,11,0.013257,76,0.986743,5657,0.895238,94,0.126437,0.104762,0.114583,0.100369,0.807064,0.082333,0.163583,0.104372,0.895628,0.836417,0.151863,0.163583,0.108505,0.069082,0.674947,0.106495,0.085315,0.163583,0.016,47.125,0.015625,46.453125,15.625,46453.125,4891496,4888879,545407,87.118876,34.591151,?
