@relation InstanceResultListener

@attribute Key_Dataset {0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3_old-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,4_young-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,6_no_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,7_forced-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,8_no_forced_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,9_light_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.01 -M 6'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 492\nSize of the tree: 983\n','Number of leaves: 467\nSize of the tree: 933\n','Number of leaves: 534\nSize of the tree: 1067\n','Number of leaves: 515\nSize of the tree: 1029\n','Number of leaves: 556\nSize of the tree: 1111\n','Number of leaves: 459\nSize of the tree: 917\n','Number of leaves: 555\nSize of the tree: 1109\n','Number of leaves: 475\nSize of the tree: 949\n','Number of leaves: 496\nSize of the tree: 991\n','Number of leaves: 598\nSize of the tree: 1195\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 523\nSize of the tree: 1045\n','Number of leaves: 536\nSize of the tree: 1071\n','Number of leaves: 478\nSize of the tree: 955\n','Number of leaves: 609\nSize of the tree: 1217\n','Number of leaves: 524\nSize of the tree: 1047\n','Number of leaves: 440\nSize of the tree: 879\n','Number of leaves: 601\nSize of the tree: 1201\n','Number of leaves: 605\nSize of the tree: 1209\n','Number of leaves: 549\nSize of the tree: 1097\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 590\nSize of the tree: 1179\n','Number of leaves: 548\nSize of the tree: 1095\n','Number of leaves: 594\nSize of the tree: 1187\n','Number of leaves: 785\nSize of the tree: 1569\n','Number of leaves: 589\nSize of the tree: 1177\n','Number of leaves: 577\nSize of the tree: 1153\n','Number of leaves: 539\nSize of the tree: 1077\n','Number of leaves: 592\nSize of the tree: 1183\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 628\nSize of the tree: 1255\n','Number of leaves: 719\nSize of the tree: 1437\n','Number of leaves: 546\nSize of the tree: 1091\n','Number of leaves: 859\nSize of the tree: 1717\n','Number of leaves: 694\nSize of the tree: 1387\n','Number of leaves: 584\nSize of the tree: 1167\n','Number of leaves: 596\nSize of the tree: 1191\n','Number of leaves: 669\nSize of the tree: 1337\n','Number of leaves: 538\nSize of the tree: 1075\n','Number of leaves: 756\nSize of the tree: 1511\n','Number of leaves: 787\nSize of the tree: 1573\n','Number of leaves: 625\nSize of the tree: 1249\n','Number of leaves: 619\nSize of the tree: 1237\n','Number of leaves: 730\nSize of the tree: 1459\n','Number of leaves: 802\nSize of the tree: 1603\n','Number of leaves: 670\nSize of the tree: 1339\n','Number of leaves: 755\nSize of the tree: 1509\n','Number of leaves: 124\nSize of the tree: 247\n','Number of leaves: 131\nSize of the tree: 261\n','Number of leaves: 110\nSize of the tree: 219\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 117\nSize of the tree: 233\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 121\nSize of the tree: 241\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 434\nSize of the tree: 867\n','Number of leaves: 455\nSize of the tree: 909\n','Number of leaves: 452\nSize of the tree: 903\n','Number of leaves: 482\nSize of the tree: 963\n','Number of leaves: 516\nSize of the tree: 1031\n','Number of leaves: 461\nSize of the tree: 921\n','Number of leaves: 503\nSize of the tree: 1005\n','Number of leaves: 485\nSize of the tree: 969\n','Number of leaves: 456\nSize of the tree: 911\n','Number of leaves: 367\nSize of the tree: 733\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1736,52542,5838,946,4892,0,16.20418,83.79582,0,0.032002,0.036372,0.135785,98.011769,99.685497,28524.295717,303400.587245,-274876.291528,4.88597,51.969953,-47.083983,2287.850222,0.391889,8.020707,0.009524,1,0.000349,2,0.999651,5731,0.990476,104,0.333333,0.009524,0.018519,0.053803,0.605616,0.035257,0.162042,0.132518,0.867482,0.837958,?,0.162042,?,?,0.57222,0.078711,?,0.162042,8.008,0.032,7.859375,0.03125,7859.375,31.25,1146031,4888879,545407,90.630353,59.198356,'Number of leaves: 492\nSize of the tree: 983\n',983,492,492
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1737,52542,5838,977,4861,0,16.735183,83.264817,0,0.03751,0.036342,0.135652,97.929287,99.586949,28528.076063,297064.390073,-268536.31401,4.886618,50.884616,-45.997998,2261.260459,0.387335,7.926439,0.009524,1,0.001047,6,0.998953,5727,0.990476,104,0.142857,0.009524,0.017857,0.032555,0.582133,0.029709,0.167352,0.132512,0.867488,0.832648,?,0.167352,?,?,0.574509,0.080283,?,0.167352,9.519,0.047,9.375,0.046875,9375,46.875,1087931,4888879,545407,90.441932,59.930879,'Number of leaves: 467\nSize of the tree: 933\n',933,467,467
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1737,52542,5838,956,4882,0,16.375471,83.624529,0,0.035989,0.036333,0.135851,97.905829,99.732504,28529.720037,336414.408445,-307884.688408,4.8869,57.624941,-52.738042,2415.288956,0.413719,8.46587,0,0,0.002268,13,0.997732,5720,1,105,0,0,0,-0.006393,0.605313,0.024837,0.163755,0.130079,0.869921,0.836245,0.178539,0.163755,0.079385,0.058754,0.576209,0.079968,0.063968,0.163755,9.608,0.031,9.296875,0.03125,9296.875,31.25,1243639,4888879,545407,90.013703,57.859595,'Number of leaves: 534\nSize of the tree: 1067\n',1067,534,534
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1737,52542,5838,945,4893,0,16.18705,83.81295,0,0.034209,0.036371,0.135899,98.007731,99.767481,28530.662552,349282.848752,-320752.186199,4.887061,59.829196,-54.942135,2407.312584,0.412352,8.437633,0.018868,2,0.001047,6,0.998953,5726,0.981132,104,0.25,0.018868,0.035088,0.064323,0.534329,0.044518,0.161871,0.12985,0.87015,0.838129,0.157551,0.161871,0.075868,0.05474,0.577831,0.079876,0.066026,0.161871,9.739,0.032,9.40625,0.03125,9406.25,31.25,1199483,4888879,545407,89.568345,58.005025,'Number of leaves: 515\nSize of the tree: 1029\n',1029,515,515
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1737,52542,5838,970,4868,0,16.615279,83.384721,0,0.038242,0.036315,0.135777,97.855922,99.67811,28528.973318,364123.971037,-335594.997719,4.886772,62.371355,-57.484583,2367.2779,0.405495,8.297803,0.009434,1,0.000872,5,0.999128,5727,0.990566,105,0.166667,0.009434,0.017857,0.035676,0.563482,0.030952,0.166153,0.130489,0.869511,0.833847,0.207897,0.166153,0.081869,0.067089,0.57958,0.081007,0.075912,0.166153,9.772,0.047,9.546875,0.046875,9546.875,46.875,1294767,4888879,545407,90.184995,58.865177,'Number of leaves: 556\nSize of the tree: 1111\n',1111,556,556
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1737,52542,5838,942,4896,0,16.135663,83.864337,0,0.031534,0.036389,0.135764,98.054802,99.66797,28528.45064,293756.467509,-265228.016869,4.886682,50.317997,-45.431315,2318.706046,0.397175,8.127697,0.009434,1,0.000698,4,0.999302,5728,0.990566,105,0.2,0.009434,0.018018,0.039874,0.610658,0.031049,0.161357,0.13188,0.86812,0.838643,?,0.161357,?,?,0.575695,0.078815,?,0.161357,8.743,0.032,8.5625,0.03125,8562.5,31.25,1069339,4888879,545407,90.715999,58.733853,'Number of leaves: 459\nSize of the tree: 917\n',917,459,459
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1737,52542,5838,945,4893,0,16.18705,83.81295,0,0.033065,0.036368,0.135899,97.998449,99.767847,28524.178388,336427.253667,-307903.07528,4.88595,57.627142,-52.741191,2353.345915,0.403108,8.250355,0,0,0.001047,6,0.998953,5727,1,105,0,0,0,-0.004341,0.614365,0.029547,0.161871,0.131119,0.868881,0.838129,?,0.161871,?,?,0.579256,0.078396,?,0.161871,9.626,0.031,9.453125,0.03125,9453.125,31.25,1292443,4888879,545407,90.202124,57.826344,'Number of leaves: 555\nSize of the tree: 1109\n',1109,555,555
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1738,52542,5838,960,4878,0,16.443988,83.556012,0,0.034532,0.036331,0.135713,97.899301,99.631089,28525.732009,305579.843738,-277054.111729,4.886217,52.343241,-47.457025,2283.089608,0.391074,8.003614,0,0,0.001221,7,0.998779,5726,1,105,0,0,0,-0.004689,0.580814,0.023937,0.16444,0.132476,0.867524,0.83556,0.156746,0.16444,0.076864,0.055064,0.574267,0.081222,0.074924,0.16444,8.927,0.047,8.765625,0.046875,8765.625,46.875,1106523,4888879,545407,90.356286,59.633973,'Number of leaves: 475\nSize of the tree: 949\n',949,475,475
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1738,52542,5838,956,4882,0,16.375471,83.624529,0,0.033318,0.03635,0.135683,97.952203,99.609488,28524.947407,288339.961365,-259815.013958,4.886082,49.390196,-44.504113,2364.676727,0.405049,8.289855,0,0,0.001221,7,0.998779,5726,1,105,0,0,0,-0.004689,0.582876,0.022552,0.163755,0.132635,0.867365,0.836245,?,0.163755,?,?,0.577827,0.080741,?,0.163755,8.758,0.047,8.65625,0.046875,8656.25,46.875,1155327,4888879,545407,91.195615,58.852078,'Number of leaves: 496\nSize of the tree: 991\n',991,496,496
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.trees.J48,'-C 0.01 -M 6',-217733168393644444,20220607.1738,52542,5838,939,4899,0,16.084275,83.915725,0,0.032444,0.036359,0.135955,97.9742,99.808194,28528.261496,358906.893973,-330378.632476,4.88665,61.477714,-56.591064,2349.195296,0.402397,8.234625,0,0,0.001919,11,0.998081,5722,1,105,0,0,0,-0.00588,0.58308,0.022047,0.160843,0.130592,0.869408,0.839157,?,0.160843,?,?,0.572753,0.078048,?,0.160843,8.324,0.032,8.15625,0.03125,8156.25,31.25,1392375,4888879,545407,89.842412,57.77227,'Number of leaves: 598\nSize of the tree: 1195\n',1195,598,598
