@relation InstanceResultListener

@attribute Key_Dataset {0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3_old-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,4_young-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,6_no_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,7_forced-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,8_no_forced_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,9_light_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.Logistic}
@attribute Key_Scheme_options {'-R 10.0 -M 1 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {3932117032546553727}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.194,52542,5838,846,4992,0,14.491264,85.508736,0,-0.001174,0.037016,0.136307,99.746392,100.068845,28524.295717,28399.170412,125.125305,4.88597,4.864538,0.021433,609.067885,0.104328,2.13526,0,0,0,0,1,5733,1,105,?,0,?,?,0.582889,0.026234,0.144913,0.146097,0.853903,0.855087,?,0.144913,?,?,0.552439,0.062769,?,0.144913,1.331,0.172,1.296875,0.171875,1296.875,171.875,11860,4888879,545407,95.512162,77.079849,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,869,4969,0,14.885235,85.114765,0,0.00363,0.037006,0.136271,99.717537,100.041037,28528.076063,28373.381074,154.694989,4.886618,4.86012,0.026498,636.381365,0.109007,2.23072,0,0,0,0,1,5733,1,105,?,0,?,?,0.555383,0.024818,0.148852,0.14534,0.85466,0.851148,?,0.148852,?,?,0.559277,0.064371,?,0.148852,1.281,0.172,1.265625,0.171875,1265.625,171.875,11860,4888879,545407,95.54642,77.007638,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,868,4970,0,14.868106,85.131894,0,0.003104,0.036967,0.136128,99.613569,99.935779,28529.720037,28333.597754,196.122283,4.8869,4.853306,0.033594,696.908111,0.119374,2.442744,0,0,0,0,1,5733,1,105,?,0,?,?,0.574269,0.024358,0.148681,0.14572,0.85428,0.851319,?,0.148681,?,?,0.563066,0.068528,?,0.148681,1.267,0.188,1.25,0.1875,1250,187.5,11860,4888879,545407,95.460774,76.978753,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,864,4974,0,14.799589,85.200411,0,0.002358,0.036995,0.136211,99.68954,99.996455,28530.662552,28353.135854,177.526698,4.887061,4.856652,0.030409,650.209405,0.111375,2.278985,0,0,0,0,1,5732,1,106,?,0,?,?,0.491634,0.018707,0.147996,0.145753,0.854247,0.852004,?,0.147996,?,?,0.562061,0.065754,?,0.147996,1.282,0.172,1.234375,0.171875,1234.375,171.875,11860,4888879,545407,95.529291,77.043239,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,859,4979,0,14.713943,85.286057,0,0.001089,0.037006,0.136257,99.719183,100.030656,28528.973318,28386.931593,142.041725,4.886772,4.862441,0.024331,640.931808,0.109786,2.2466,0,0,0,0,1,5732,1,106,?,0,?,?,0.549704,0.024103,0.147139,0.146174,0.853826,0.852861,?,0.147139,?,?,0.558051,0.064699,?,0.147139,1.296,0.172,1.296875,0.171875,1296.875,171.875,11860,4888879,545407,95.512162,77.050964,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,846,4992,0,14.491264,85.508736,0,-0.001017,0.037022,0.136289,99.759597,100.052974,28528.45064,28418.740284,109.710356,4.886682,4.86789,0.018792,613.365859,0.105064,2.150015,0,0,0,0,1,5732,1,106,?,0,?,?,0.592019,0.027831,0.144913,0.14598,0.85402,0.855087,?,0.144913,?,?,0.547769,0.062815,?,0.144913,1.297,0.172,1.28125,0.171875,1281.25,171.875,11860,4888879,545407,95.54642,77.083543,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,863,4975,0,14.78246,85.21754,0,0.002594,0.037002,0.136267,99.707393,100.037757,28524.178388,28393.590898,130.58749,4.88595,4.863582,0.022369,637.370168,0.109176,2.234491,0,0,0,0,1,5733,1,105,?,0,?,?,0.566239,0.023324,0.147825,0.14533,0.85467,0.852175,?,0.147825,?,?,0.554959,0.064311,?,0.147825,1.267,0.172,1.25,0.171875,1250,171.875,11860,4888879,545407,95.529291,76.995546,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,850,4988,0,14.559781,85.440219,0,0.000152,0.036989,0.136202,99.673069,99.990234,28525.732009,28341.898153,183.833857,4.886217,4.854727,0.031489,654.719321,0.112148,2.295189,0,0,0,0,1,5733,1,105,?,0,?,?,0.504514,0.018758,0.145598,0.145465,0.854535,0.854402,?,0.145598,?,?,0.566743,0.066747,?,0.145598,1.281,0.203,1.28125,0.203125,1281.25,203.125,11860,4888879,545407,95.597807,77.046262,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.functions.Logistic,'-R 10.0 -M 1 -num-decimal-places 4',3932117032546553727,20220607.1941,52542,5838,857,4981,0,14.679685,85.320315,0,0.000589,0.037026,0.136324,99.773745,100.080049,28524.947407,28395.502894,129.444513,4.886082,4.863909,0.022173,599.315522,0.102658,2.101022,0,0,0,0,1,5733,1,105,?,0,?,?,0.544952,0.021363,0.146797,0.146261,0.853739,0.853203,?,0.146797,?,?,0.557628,0.064107,?,0.146797,1.281,0.171,1.28125,0.171875,1281.25,171.875,11860,4888879,545407,95.409387,77.088245,?
