@relation InstanceResultListener

@attribute Key_Dataset {0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3_old-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,4_young-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,6_no_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,7_forced-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,8_no_forced_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,9_light_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.Logistic}
@attribute Key_Scheme_options {'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {3932117032546553727}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1102,52542,5838,870,4968,0,14.902364,85.097636,0,0.00038,0.036999,0.136036,99.701406,99.870279,28524.295717,27938.239316,586.056401,4.88597,4.785584,0.100387,1324.010743,0.226792,4.641695,0,0,0,0,1,5733,1,105,?,0,?,?,0.630663,0.035729,0.149024,0.148648,0.851352,0.850976,?,0.149024,?,?,0.58003,0.066748,?,0.149024,197.458,0.173,196.65625,0.171875,196656.25,171.875,11860,4888879,545407,95.169579,67.647059,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1105,52542,5838,871,4967,0,14.919493,85.080507,0,0.000699,0.036983,0.135975,99.657915,99.824251,28528.076063,27899.414386,628.661677,4.886618,4.778934,0.107684,1367.279696,0.234203,4.792751,0,0,0,0,1,5733,1,105,?,0,?,?,0.571173,0.024752,0.149195,0.148526,0.851474,0.850805,?,0.149195,?,?,0.587057,0.068533,?,0.149195,199.757,0.14,199.015625,0.140625,199015.625,140.625,11860,4888879,545407,95.238095,67.593992,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1108,52542,5838,877,4961,0,15.022268,84.977732,0,0.001478,0.036975,0.135955,99.634182,99.808314,28529.720037,27893.364806,636.35523,4.8869,4.777897,0.109002,1342.900684,0.230028,4.707024,0,0,0,0,1,5733,1,105,?,0,?,?,0.666334,0.034538,0.150223,0.14877,0.85123,0.849777,?,0.150223,?,?,0.586064,0.070241,?,0.150223,192.264,0.144,191.984375,0.140625,191984.375,140.625,11860,4888879,545407,95.066804,67.528498,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1111,52542,5838,876,4962,0,15.005139,84.994861,0,0.001807,0.036982,0.135963,99.653748,99.814593,28530.662552,27920.592512,610.07004,4.887061,4.782561,0.1045,1353.236428,0.231798,4.743095,0,0,0,0,1,5732,1,106,?,0,?,?,0.555277,0.024715,0.150051,0.148281,0.851719,0.849949,?,0.150051,?,?,0.584571,0.068698,?,0.150051,194.607,0.141,194.421875,0.140625,194421.875,140.625,11860,4888879,545407,94.809866,67.604068,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1115,52542,5838,870,4968,0,14.902364,85.097636,0,0.000304,0.036986,0.135978,99.664474,99.825725,28528.973318,27853.436739,675.536579,4.886772,4.771058,0.115714,1361.021813,0.233132,4.770665,0,0,0,0,1,5732,1,106,?,0,?,?,0.617775,0.029413,0.149024,0.148781,0.851219,0.850976,?,0.149024,?,?,0.589359,0.069255,?,0.149024,193.521,0.142,193.28125,0.140625,193281.25,140.625,11860,4888879,545407,95.54642,67.770657,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1118,52542,5838,874,4964,0,14.97088,85.02912,0,0.00139,0.036999,0.136043,99.69983,99.87248,28528.45064,27930.807367,597.643273,4.886682,4.784311,0.102371,1324.156017,0.226817,4.641528,0,0,0,0,1,5732,1,106,?,0,?,?,0.616498,0.026623,0.149709,0.148339,0.851661,0.850291,?,0.149709,?,?,0.58079,0.066191,?,0.149709,193.081,0.142,192.90625,0.140625,192906.25,140.625,11860,4888879,545407,95.220966,67.662173,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1121,52542,5838,875,4963,0,14.98801,85.01199,0,0.001661,0.036984,0.136001,99.659016,99.842592,28524.178388,27931.165921,593.012467,4.88595,4.784372,0.101578,1364.226903,0.233681,4.782704,0,0,0.000174,1,0.999826,5732,1,105,0,0,0,-0.001771,0.606422,0.027813,0.14988,0.148285,0.851715,0.85012,?,0.14988,?,?,0.579756,0.068562,?,0.14988,190.815,0.141,190.65625,0.140625,190656.25,140.625,11860,4888879,545407,94.998287,67.434456,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1124,52542,5838,871,4967,0,14.919493,85.080507,0,0.000832,0.036988,0.135984,99.670679,99.830003,28525.732009,27905.310632,620.421377,4.886217,4.779944,0.106273,1334.779694,0.228636,4.679213,0,0,0,0,1,5733,1,105,?,0,?,?,0.606587,0.026418,0.149195,0.148399,0.851601,0.850805,?,0.149195,?,?,0.584865,0.068426,?,0.149195,193.57,0.145,193.296875,0.140625,193296.875,140.625,11860,4888879,545407,95.238095,67.779054,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1128,52542,5838,873,4965,0,14.953751,85.046249,0,0.001165,0.036989,0.136004,99.673393,99.84502,28524.947407,27940.319624,584.627783,4.886082,4.78594,0.100142,1331.217266,0.228026,4.666853,0,0,0,0,1,5733,1,105,?,0,?,?,0.638243,0.038258,0.149538,0.148446,0.851554,0.850462,?,0.149538,?,?,0.583405,0.06744,?,0.149538,198.302,0.141,197.84375,0.140625,197843.75,140.625,11860,4888879,545407,94.998287,67.437479,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1131,52542,5838,872,4966,0,14.936622,85.063378,0,0.000969,0.036983,0.135991,99.656923,99.834638,28528.261496,27847.111616,681.14988,4.88665,4.769975,0.116675,1373.299995,0.235235,4.813823,0,0,0,0,1,5733,1,105,?,0,?,?,0.621853,0.028781,0.149366,0.148401,0.851599,0.850634,?,0.149366,?,?,0.588122,0.069073,?,0.149366,196.398,0.141,196.109375,0.140625,196109.375,140.625,11860,4888879,545407,95.13532,67.497934,?
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1132,13987,1555,248,1307,0,15.948553,84.051447,0,0.005382,0.036525,0.135184,99.122967,99.607927,7362.349748,7000.430395,361.919353,4.73463,4.501884,0.232746,627.860669,0.403769,8.527993,0,0,0,0,1,1531,1,24,?,0,?,?,0.687677,0.029726,0.159486,0.154502,0.845498,0.840514,?,0.159486,?,?,0.6144,0.091889,?,0.159486,48.612,0.039,48.59375,0.046875,48593.75,46.875,11885,1303269,147093,95.176849,53.147973,?
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.functions.Logistic,'-R 2.4410657988108663E-12 -M -1 -num-decimal-places 4',3932117032546553727,20220607.1133,13987,1555,247,1308,0,15.884244,84.115756,0,0.005257,0.036591,0.135358,99.293221,99.72695,7366.007565,7020.471534,345.536031,4.736982,4.514773,0.22221,607.65336,0.390774,8.249426,0,0,0,0,1,1531,1,24,?,0,?,?,0.693528,0.034346,0.158842,0.153854,0.846146,0.841158,?,0.158842,?,?,0.606486,0.087138,?,0.158842,48.127,0.037,48.09375,0.03125,48093.75,31.25,11885,1303269,147093,94.405145,53.76458,?
