inst#,actual,predicted,error,prediction
1,37:114,24:101,+,0.13
2,37:114,37:114,,1
3,37:114,20:97,+,0.223
4,37:114,38:115,+,0.217
5,37:114,24:101,+,0.148
6,37:114,28:105,+,0.244
7,37:114,24:101,+,0.13
8,37:114,24:101,+,0.117
9,37:114,37:114,,0.202
10,37:114,33:110,+,0.277
11,37:114,37:114,,0.33
12,37:114,1:8,+,0.281
13,37:114,20:97,+,0.238
14,37:114,24:101,+,0.148
15,37:114,24:101,+,0.148
16,37:114,24:101,+,0.148
17,37:114,24:101,+,0.172
18,37:114,24:101,+,0.13
19,37:114,34:111,+,0.325
20,37:114,24:101,+,0.148
21,37:114,20:97,+,0.364
22,37:114,24:101,+,0.148
23,37:114,24:101,+,0.193
24,37:114,38:115,+,0.217
25,37:114,24:101,+,0.188
26,37:114,24:101,+,0.188
27,37:114,24:101,+,0.148
28,37:114,24:101,+,0.148
29,37:114,20:97,+,0.181
30,37:114,24:101,+,0.148
31,37:114,24:101,+,0.148
32,37:114,24:101,+,0.193
33,37:114,20:97,+,0.249
34,37:114,24:101,+,0.239
35,37:114,24:101,+,0.148
36,37:114,37:114,,0.636
37,37:114,24:101,+,0.188
38,37:114,24:101,+,0.148
39,37:114,24:101,+,0.208
40,37:114,37:114,,1
41,37:114,24:101,+,0.201
42,37:114,24:101,+,0.193
43,37:114,37:114,,0.364
44,37:114,24:101,+,0.125
45,37:114,20:97,+,0.238
46,37:114,24:101,+,0.13
47,37:114,24:101,+,0.148
48,37:114,34:111,+,0.244
49,37:114,33:110,+,0.5
50,37:114,24:101,+,0.148
51,37:114,24:101,+,0.148
52,37:114,24:101,+,0.13
53,37:114,24:101,+,0.148
54,37:114,25:102,+,0.301
55,37:114,24:101,+,0.148
56,37:114,20:97,+,0.327
57,37:114,24:101,+,0.148
58,37:114,24:101,+,0.148
59,37:114,24:101,+,0.193
60,37:114,24:101,+,0.148
61,37:114,38:115,+,0.217
62,37:114,24:101,+,0.188
63,37:114,37:114,,1
64,37:114,24:101,+,0.13
65,37:114,24:101,+,0.188
66,37:114,34:111,+,0.306
67,37:114,33:110,+,0.23
68,37:114,24:101,+,0.148
69,37:114,24:101,+,0.148
70,37:114,37:114,,0.243
71,37:114,20:97,+,0.181
72,37:114,24:101,+,0.148
73,37:114,24:101,+,0.256
74,37:114,34:111,+,0.208
75,37:114,24:101,+,0.148
76,37:114,37:114,,0.33
77,37:114,24:101,+,0.348
78,37:114,24:101,+,0.174
79,37:114,20:97,+,0.195
80,37:114,39:116,+,0.841
81,37:114,24:101,+,0.148
82,37:114,22:99,+,0.286
83,37:114,3:39,+,0.587
84,37:114,24:101,+,0.288
85,37:114,37:114,,1
86,37:114,35:112,+,0.31
87,37:114,24:101,+,0.213
88,37:114,24:101,+,0.148
89,37:114,24:101,+,0.148
90,37:114,24:101,+,0.148
91,37:114,24:101,+,0.193
92,37:114,24:101,+,0.13
93,37:114,34:111,+,0.261
94,37:114,37:114,,0.364
95,37:114,33:110,+,0.277
96,37:114,34:111,+,0.181
97,37:114,24:101,+,0.279
98,37:114,33:110,+,0.342
99,37:114,24:101,+,0.148
100,37:114,24:101,+,0.148
101,37:114,1:8,+,0.245
102,37:114,20:97,+,0.388
103,37:114,24:101,+,0.373
104,37:114,20:97,+,0.194
105,37:114,34:111,+,0.253
106,37:114,37:114,,0.534
107,37:114,24:101,+,0.13
108,37:114,24:101,+,0.13
109,37:114,37:114,,0.202
110,37:114,37:114,,0.375
111,37:114,24:101,+,0.148
112,37:114,24:101,+,0.148
113,37:114,20:97,+,0.181
114,37:114,24:101,+,0.148
115,37:114,21:98,+,0.227
116,37:114,24:101,+,0.148
117,37:114,34:111,+,0.333
118,37:114,24:101,+,0.213
119,37:114,24:101,+,0.13
120,37:114,27:104,+,0.222
121,37:114,24:101,+,0.148
122,37:114,20:97,+,0.223
123,37:114,37:114,,1
124,37:114,41:118,+,0.44
125,37:114,37:114,,0.864
126,37:114,24:101,+,0.148
127,37:114,34:111,+,0.254
128,24:101,24:101,,0.148
129,24:101,28:105,+,0.222
130,24:101,24:101,,0.228
131,24:101,24:101,,0.333
132,24:101,24:101,,0.188
133,24:101,38:115,+,0.217
134,24:101,20:97,+,0.223
135,24:101,20:97,+,0.625
136,24:101,24:101,,0.432
137,24:101,38:115,+,0.275
138,24:101,24:101,,0.148
139,24:101,24:101,,0.148
140,24:101,24:101,,0.148
141,24:101,20:97,+,0.4
142,24:101,24:101,,0.148
143,24:101,20:97,+,0.625
144,24:101,24:101,,0.148
145,24:101,24:101,,0.148
146,24:101,24:101,,0.13
147,24:101,24:101,,0.13
148,24:101,25:102,+,0.333
149,24:101,24:101,,0.211
150,24:101,24:101,,0.144
151,24:101,24:101,,0.959
152,24:101,24:101,,0.188
153,24:101,24:101,,0.333
154,24:101,24:101,,0.959
155,24:101,34:111,+,0.294
156,24:101,46:161,+,0.185
157,24:101,24:101,,0.13
158,24:101,34:111,+,0.253
159,24:101,24:101,,0.148
160,24:101,24:101,,0.13
161,24:101,24:101,,0.13
162,24:101,24:101,,0.13
163,24:101,38:115,+,0.217
164,24:101,24:101,,0.148
165,24:101,24:101,,0.148
166,24:101,24:101,,0.9
167,24:101,24:101,,0.221
168,24:101,24:101,,0.13
169,24:101,24:101,,0.148
170,24:101,24:101,,0.148
171,24:101,24:101,,0.13
172,24:101,24:101,,0.148
173,24:101,20:97,+,0.388
174,24:101,20:97,+,0.184
175,24:101,24:101,,0.13
176,24:101,24:101,,0.148
177,24:101,24:101,,0.201
178,24:101,24:101,,0.148
179,24:101,20:97,+,0.167
180,24:101,34:111,+,0.253
181,24:101,24:101,,0.13
182,24:101,24:101,,0.148
183,24:101,20:97,+,0.167
184,24:101,24:101,,0.148
185,24:101,24:101,,0.148
186,24:101,24:101,,0.13
187,24:101,33:110,+,0.5
188,24:101,24:101,,0.148
189,24:101,24:101,,0.13
190,24:101,24:101,,0.148
191,24:101,24:101,,0.144
192,24:101,24:101,,0.13
193,24:101,24:101,,0.148
194,24:101,15:55,+,0.333
195,24:101,34:111,+,0.254
196,24:101,34:111,+,0.306
197,24:101,39:116,+,0.283
198,24:101,24:101,,0.148
199,24:101,24:101,,0.148
200,24:101,24:101,,0.168
201,24:101,25:102,+,0.301
202,24:101,24:101,,0.148
203,24:101,38:115,+,0.217
204,24:101,24:101,,0.148
205,24:101,31:108,+,0.364
206,24:101,24:101,,0.239
207,24:101,34:111,+,0.452
208,24:101,24:101,,0.148
209,24:101,24:101,,0.188
210,24:101,24:101,,0.188
211,24:101,24:101,,0.13
212,24:101,24:101,,0.144
213,24:101,24:101,,0.538
214,24:101,24:101,,0.213
215,24:101,33:110,+,0.426
216,24:101,34:111,+,0.194
217,24:101,24:101,,0.148
218,24:101,34:111,+,0.222
219,24:101,37:114,+,0.202
220,24:101,24:101,,0.193
221,24:101,39:116,+,0.841
222,24:101,24:101,,0.13
223,24:101,24:101,,0.221
224,24:101,39:116,+,0.17
225,24:101,5:44,+,0.185
226,24:101,24:101,,0.148
227,24:101,37:114,+,0.449
228,24:101,20:97,+,0.25
229,24:101,24:101,,0.168
230,24:101,24:101,,0.187
231,24:101,24:101,,0.13
232,24:101,24:101,,0.148
233,24:101,24:101,,0.113
234,24:101,9:49,+,0.267
235,24:101,20:97,+,0.4
236,24:101,24:101,,0.131
237,24:101,24:101,,0.148
238,24:101,24:101,,0.148
239,24:101,24:101,,0.148
240,24:101,24:101,,0.116
241,24:101,24:101,,0.148
242,24:101,24:101,,0.148
243,24:101,37:114,+,0.333
244,24:101,24:101,,0.318
245,24:101,24:101,,0.211
246,24:101,40:117,+,0.187
247,24:101,24:101,,0.13
248,24:101,24:101,,0.13
249,24:101,24:101,,0.188
250,24:101,24:101,,0.148
251,24:101,38:115,+,0.273
252,24:101,24:101,,0.148
253,24:101,24:101,,0.26
254,24:101,24:101,,0.318
255,24:101,34:111,+,0.306
256,24:101,24:101,,0.148
257,24:101,24:101,,0.148
258,24:101,24:101,,0.148
259,24:101,20:97,+,0.291
260,24:101,24:101,,0.148
261,24:101,24:101,,0.148
262,24:101,24:101,,0.148
263,24:101,24:101,,0.144
264,24:101,20:97,+,0.329
265,24:101,24:101,,0.959
266,24:101,24:101,,0.148
267,24:101,24:101,,0.148
268,24:101,24:101,,0.333
269,24:101,24:101,,0.148
270,24:101,24:101,,0.13
271,24:101,24:101,,0.148
272,24:101,24:101,,0.148
273,24:101,24:101,,0.148
274,24:101,24:101,,0.148
275,24:101,34:111,+,0.232
276,24:101,11:51,+,0.25
277,24:101,24:101,,0.148
278,24:101,24:101,,0.148
279,24:101,24:101,,0.333
280,24:101,24:101,,0.148
281,24:101,24:101,,0.116
282,24:101,24:101,,0.148
283,24:101,34:111,+,0.477
284,24:101,24:101,,0.148
285,24:101,38:115,+,0.217
286,24:101,20:97,+,0.276
287,24:101,24:101,,0.148
288,24:101,24:101,,0.144
