inst#,actual,predicted,error,prediction
1,4:43,19:96,+,0.467
2,4:43,5:44,+,0.226
3,4:43,47:180,+,0.278
4,4:43,19:96,+,0.467
5,4:43,3:39,+,0.234
6,4:43,19:96,+,0.336
7,4:43,5:44,+,0.226
8,4:43,1:8,+,0.333
9,44:121,35:112,+,0.571
10,44:121,24:101,+,0.143
11,44:121,24:101,+,0.135
12,44:121,24:101,+,0.143
13,44:121,42:119,+,0.256
14,44:121,24:101,+,0.143
15,44:121,24:101,+,0.146
16,44:121,21:98,+,0.275
17,44:121,24:101,+,0.146
18,44:121,24:101,+,0.135
19,44:121,27:104,+,0.444
20,44:121,24:101,+,0.135
21,44:121,24:101,+,0.124
22,44:121,31:108,+,0.308
23,44:121,24:101,+,0.135
24,44:121,22:99,+,0.362
25,44:121,24:101,+,0.143
26,44:121,24:101,+,0.135
27,44:121,23:100,+,0.182
28,44:121,24:101,+,0.135
29,44:121,24:101,+,0.146
30,44:121,24:101,+,0.135
31,39:116,24:101,+,0.135
32,39:116,24:101,+,0.135
33,39:116,24:101,+,0.143
34,39:116,24:101,+,0.153
35,39:116,24:101,+,0.143
36,39:116,20:97,+,0.317
37,39:116,24:101,+,0.143
38,39:116,24:101,+,0.124
39,39:116,35:112,+,0.173
40,39:116,24:101,+,0.143
41,39:116,20:97,+,0.158
42,39:116,24:101,+,0.16
43,39:116,24:101,+,0.124
44,39:116,24:101,+,0.118
45,39:116,24:101,+,0.135
46,39:116,24:101,+,0.136
47,39:116,24:101,+,0.143
48,39:116,20:97,+,0.266
49,39:116,24:101,+,0.143
50,39:116,24:101,+,0.135
51,39:116,24:101,+,0.143
52,39:116,37:114,+,0.33
53,39:116,24:101,+,0.135
54,39:116,24:101,+,0.124
55,39:116,24:101,+,0.25
56,39:116,24:101,+,0.146
57,39:116,24:101,+,0.143
58,39:116,1:8,+,0.282
59,39:116,24:101,+,0.143
60,39:116,24:101,+,0.135
61,39:116,24:101,+,0.135
62,39:116,24:101,+,0.124
63,39:116,9:49,+,0.191
64,39:116,24:101,+,0.124
65,39:116,24:101,+,0.143
66,39:116,1:8,+,0.227
67,39:116,24:101,+,0.146
68,39:116,24:101,+,0.143
69,39:116,24:101,+,0.124
70,39:116,24:101,+,0.143
71,39:116,24:101,+,0.146
72,39:116,24:101,+,0.143
73,39:116,24:101,+,0.146
74,39:116,24:101,+,0.143
