inst#,actual,predicted,error,prediction
1,4:44,32:111,+,0.123
2,4:44,22:101,+,0.123
3,4:44,9:50,+,0.185
4,4:44,36:115,+,0.169
5,4:44,32:111,+,0.154
6,4:44,22:101,+,0.215
7,4:44,22:101,+,0.123
8,4:44,29:108,+,0.108
9,4:44,22:101,+,0.261
10,31:110,32:111,+,0.154
11,31:110,16:57,+,0.108
12,31:110,22:101,+,0.123
13,31:110,22:101,+,0.231
14,31:110,22:101,+,0.185
15,31:110,22:101,+,0.169
16,31:110,22:101,+,0.185
17,31:110,32:111,+,0.138
18,31:110,32:111,+,0.215
19,31:110,32:111,+,0.169
20,31:110,22:101,+,0.185
21,31:110,32:111,+,0.185
22,31:110,22:101,+,0.123
23,31:110,22:101,+,0.138
24,31:110,22:101,+,0.138
25,31:110,26:105,+,0.154
26,31:110,22:101,+,0.154
27,31:110,22:101,+,0.154
28,31:110,22:101,+,0.138
29,31:110,32:111,+,0.185
30,18:97,22:101,+,0.185
31,18:97,22:101,+,0.169
32,18:97,22:101,+,0.138
33,18:97,35:114,+,0.138
34,18:97,10:51,+,0.108
35,18:97,22:101,+,0.215
36,18:97,22:101,+,0.185
37,18:97,22:101,+,0.169
38,18:97,32:111,+,0.185
39,18:97,22:101,+,0.261
40,18:97,18:97,,0.154
41,18:97,36:115,+,0.123
42,18:97,35:114,+,0.123
43,18:97,22:101,+,0.138
44,18:97,22:101,+,0.215
45,18:97,22:101,+,0.138
46,18:97,32:111,+,0.138
47,18:97,22:101,+,0.246
48,18:97,18:97,,0.185
49,18:97,32:111,+,0.169
50,18:97,22:101,+,0.2
51,18:97,18:97,,0.123
52,18:97,22:101,+,0.231
53,18:97,32:111,+,0.138
54,18:97,32:111,+,0.169
55,18:97,22:101,+,0.185
56,18:97,32:111,+,0.138
57,18:97,22:101,+,0.2
58,18:97,32:111,+,0.185
59,18:97,22:101,+,0.154
60,18:97,1:8,+,0.169
61,18:97,22:101,+,0.277
62,18:97,22:101,+,0.123
63,18:97,22:101,+,0.185
64,18:97,22:101,+,0.231
65,18:97,22:101,+,0.138
66,18:97,22:101,+,0.2
67,18:97,18:97,,0.154
68,18:97,22:101,+,0.231
69,18:97,18:97,,0.154
70,18:97,32:111,+,0.154
71,18:97,22:101,+,0.154
72,18:97,36:115,+,0.154
73,41:120,34:113,+,0.092
74,41:120,22:101,+,0.123
75,39:118,22:101,+,0.231
76,39:118,22:101,+,0.2
77,39:118,27:106,+,0.092
78,39:118,8:49,+,0.092
79,39:118,32:111,+,0.138
80,39:118,18:97,+,0.154
81,39:118,22:101,+,0.123
82,11:52,9:50,+,0.154
83,11:52,8:49,+,0.092
84,11:52,8:49,+,0.154
85,11:52,8:49,+,0.092
86,22:101,36:115,+,0.169
87,22:101,22:101,,0.231
88,22:101,22:101,,0.123
89,22:101,22:101,,0.154
90,22:101,22:101,,0.154
91,22:101,18:97,+,0.154
92,22:101,18:97,+,0.154
93,22:101,22:101,,0.185
94,22:101,37:116,+,0.123
95,22:101,12:53,+,0.138
96,22:101,22:101,,0.2
97,22:101,22:101,,0.138
98,22:101,22:101,,0.185
99,22:101,22:101,,0.138
100,22:101,22:101,,0.138
101,22:101,18:97,+,0.154
102,22:101,32:111,+,0.2
103,22:101,22:101,,0.169
104,22:101,22:101,,0.2
105,22:101,32:111,+,0.169
106,22:101,18:97,+,0.123
107,22:101,35:114,+,0.138
108,22:101,22:101,,0.092
109,22:101,8:49,+,0.154
110,22:101,22:101,,0.154
111,22:101,18:97,+,0.154
112,22:101,22:101,,0.154
113,22:101,22:101,,0.169
114,22:101,22:101,,0.185
115,22:101,22:101,,0.215
116,22:101,22:101,,0.215
117,22:101,22:101,,0.138
118,22:101,32:111,+,0.138
119,22:101,22:101,,0.2
120,22:101,32:111,+,0.154
121,22:101,22:101,,0.108
122,22:101,18:97,+,0.123
123,22:101,22:101,,0.154
124,22:101,36:115,+,0.154
