inst#,actual,predicted,error,prediction
1,13:53,13:53,,0.221
2,13:53,15:55,+,0.362
3,13:53,16:56,+,0.207
4,13:53,12:52,+,0.667
5,13:53,10:50,+,0.496
6,13:53,12:52,+,0.245
7,13:53,14:54,+,0.294
8,13:53,14:54,+,0.4
9,13:53,10:50,+,0.442
10,13:53,8:48,+,0.196
11,13:53,31:108,+,0.113
12,13:53,13:53,,0.267
13,13:53,24:101,+,0.13
14,13:53,8:48,+,0.339
15,13:53,8:48,+,0.339
16,13:53,15:55,+,0.307
17,13:53,13:53,,0.267
18,13:53,15:55,+,0.286
19,13:53,17:57,+,0.244
20,13:53,16:56,+,0.233
21,13:53,13:53,,0.221
22,13:53,10:50,+,0.424
23,13:53,14:54,+,0.364
24,13:53,10:50,+,0.307
25,13:53,9:49,+,0.273
26,13:53,13:53,,0.4
27,13:53,11:51,+,0.5
28,13:53,24:101,+,0.142
29,13:53,13:53,,0.221
30,13:53,12:52,+,0.499
31,13:53,15:55,+,0.307
32,13:53,13:53,,0.221
33,13:53,15:55,+,0.288
34,13:53,13:53,,0.267
35,13:53,11:51,+,0.348
36,13:53,8:48,+,0.227
37,13:53,15:55,+,0.333
38,13:53,12:52,+,0.231
39,13:53,48:186,+,0.577
40,13:53,1:8,+,0.231
41,13:53,15:55,+,0.362
42,13:53,18:60,+,0.652
43,13:53,5:44,+,0.333
44,13:53,11:51,+,0.348
45,13:53,13:53,,0.221
46,13:53,12:52,+,0.499
47,39:116,24:101,+,0.142
48,39:116,24:101,+,0.127
49,39:116,24:101,+,0.148
50,39:116,24:101,+,0.142
51,39:116,34:111,+,0.152
52,39:116,42:119,+,0.214
53,39:116,24:101,+,0.127
54,39:116,24:101,+,0.127
55,39:116,24:101,+,0.159
56,39:116,24:101,+,0.142
57,39:116,38:115,+,0.3
58,39:116,24:101,+,0.13
59,39:116,20:97,+,0.239
60,39:116,37:114,+,0.417
61,39:116,24:101,+,0.148
62,39:116,24:101,+,0.148
63,39:116,24:101,+,0.122
64,39:116,24:101,+,0.257
65,39:116,24:101,+,0.148
66,39:116,24:101,+,0.148
67,39:116,24:101,+,0.13
68,39:116,1:8,+,0.333
69,39:116,24:101,+,0.142
70,39:116,37:114,+,0.874
71,39:116,24:101,+,0.148
72,39:116,24:101,+,0.142
73,39:116,20:97,+,0.16
74,39:116,24:101,+,0.148
75,39:116,39:116,,0.882
76,39:116,24:101,+,0.147
77,39:116,24:101,+,0.127
78,39:116,24:101,+,0.183
79,39:116,33:110,+,0.269
80,39:116,43:120,+,0.499
81,39:116,39:116,,0.369
82,39:116,34:111,+,0.245
83,39:116,24:101,+,0.157
84,39:116,24:101,+,0.148
85,39:116,24:101,+,0.127
86,39:116,24:101,+,0.127
87,39:116,28:105,+,0.496
88,39:116,24:101,+,0.122
89,39:116,24:101,+,0.136
90,39:116,39:116,,0.25
91,39:116,24:101,+,0.142
92,39:116,39:116,,0.456
93,39:116,24:101,+,0.142
94,39:116,39:116,,0.333
95,39:116,24:101,+,0.182
96,39:116,24:101,+,0.148
97,39:116,50:241,+,0.571
98,39:116,24:101,+,0.142
99,39:116,24:101,+,0.142
100,39:116,24:101,+,0.127
101,39:116,21:98,+,0.15
102,39:116,24:101,+,0.154
103,39:116,24:101,+,0.203
104,39:116,24:101,+,0.147
105,39:116,24:101,+,0.147
106,39:116,42:119,+,0.214
107,39:116,24:101,+,0.142
108,39:116,34:111,+,0.152
109,39:116,24:101,+,0.142
110,39:116,24:101,+,0.122
111,39:116,24:101,+,0.167
112,39:116,24:101,+,0.148
113,39:116,33:110,+,0.28
114,39:116,24:101,+,0.207
115,39:116,24:101,+,0.142
116,39:116,24:101,+,0.147
117,39:116,24:101,+,0.127
118,39:116,39:116,,0.196
119,39:116,37:114,+,0.874
120,39:116,39:116,,0.882
121,39:116,24:101,+,0.127
122,39:116,24:101,+,0.122
123,39:116,24:101,+,0.122
124,39:116,35:112,+,0.179
125,39:116,24:101,+,0.148
126,39:116,24:101,+,0.153
127,39:116,28:105,+,0.211
128,39:116,2:13,+,0.429
129,39:116,24:101,+,0.159
130,39:116,24:101,+,0.13
131,39:116,34:111,+,0.408
132,39:116,34:111,+,0.208
133,39:116,33:110,+,0.208
134,39:116,24:101,+,0.257
135,39:116,24:101,+,0.159
136,39:116,24:101,+,0.331
137,39:116,50:241,+,0.571
138,39:116,24:101,+,0.136
139,39:116,39:116,,0.882
140,39:116,20:97,+,0.333
141,39:116,26:103,+,0.329
142,39:116,24:101,+,0.148
143,39:116,24:101,+,0.148
144,39:116,24:101,+,0.142
145,39:116,24:101,+,0.189
146,39:116,24:101,+,0.127
147,39:116,40:117,+,0.296
148,39:116,24:101,+,0.189
149,39:116,28:105,+,0.385
150,39:116,18:60,+,0.2
151,39:116,39:116,,0.428
152,39:116,3:39,+,0.215
153,39:116,24:101,+,0.159
154,39:116,34:111,+,0.2
155,39:116,24:101,+,0.127
156,39:116,24:101,+,0.147
157,39:116,24:101,+,0.136
158,39:116,24:101,+,0.127
159,39:116,24:101,+,0.142
160,39:116,20:97,+,0.144
161,39:116,24:101,+,0.122
162,39:116,24:101,+,0.218
163,39:116,34:111,+,0.152
164,39:116,24:101,+,0.122
165,39:116,24:101,+,0.142
166,39:116,24:101,+,0.136
167,39:116,24:101,+,0.148
168,39:116,39:116,,0.882
169,39:116,24:101,+,0.127
170,39:116,24:101,+,0.13
171,39:116,33:110,+,0.28
172,39:116,24:101,+,0.122
173,39:116,24:101,+,0.127
174,39:116,22:99,+,0.182
175,39:116,29:106,+,0.571
176,39:116,24:101,+,0.148
177,39:116,24:101,+,0.157
178,39:116,24:101,+,0.148
179,39:116,33:110,+,0.316
180,39:116,24:101,+,0.122
181,39:116,24:101,+,0.297
182,39:116,24:101,+,0.148
183,39:116,9:49,+,0.212
184,39:116,24:101,+,0.456
185,39:116,24:101,+,0.142
186,39:116,24:101,+,0.159
187,39:116,24:101,+,0.147
188,39:116,24:101,+,0.147
189,39:116,24:101,+,0.127
190,39:116,39:116,,0.25
191,39:116,33:110,+,0.146
192,39:116,24:101,+,0.148
193,39:116,24:101,+,0.153
194,39:116,26:103,+,0.5
195,39:116,20:97,+,0.175
196,39:116,24:101,+,0.122
197,39:116,20:97,+,0.28
198,39:116,34:111,+,0.106
199,39:116,34:111,+,0.208
200,39:116,25:102,+,0.194
201,39:116,38:115,+,0.222
202,39:116,24:101,+,0.13
