inst#,actual,predicted,error,prediction
1,37:114,34:111,+,0.14
2,37:114,24:101,+,0.163
3,37:114,24:101,+,0.12
4,37:114,24:101,+,0.155
5,37:114,50:241,+,0.109
6,37:114,20:97,+,0.094
7,37:114,24:101,+,0.249
8,37:114,20:97,+,0.13
9,37:114,24:101,+,0.126
10,37:114,20:97,+,0.177
11,37:114,24:101,+,0.117
12,37:114,20:97,+,0.112
13,37:114,24:101,+,0.12
14,37:114,24:101,+,0.121
15,37:114,24:101,+,0.163
16,37:114,24:101,+,0.145
17,37:114,20:97,+,0.141
18,37:114,20:97,+,0.14
19,37:114,24:101,+,0.105
20,37:114,24:101,+,0.171
21,37:114,24:101,+,0.151
22,37:114,25:102,+,0.236
23,37:114,20:97,+,0.106
24,37:114,1:8,+,0.241
25,37:114,24:101,+,0.137
26,37:114,24:101,+,0.134
27,37:114,24:101,+,0.211
28,37:114,24:101,+,0.148
29,37:114,24:101,+,0.073
30,37:114,20:97,+,0.114
31,37:114,23:100,+,0.289
32,37:114,20:97,+,0.195
33,37:114,19:96,+,0.844
34,37:114,24:101,+,0.193
35,37:114,24:101,+,0.073
36,37:114,24:101,+,0.147
37,37:114,24:101,+,0.203
38,37:114,31:108,+,0.19
39,37:114,24:101,+,0.171
40,37:114,20:97,+,0.352
41,37:114,24:101,+,0.172
42,37:114,24:101,+,0.122
43,37:114,26:103,+,0.208
44,37:114,24:101,+,0.161
45,37:114,24:101,+,0.118
46,37:114,1:8,+,0.389
47,37:114,24:101,+,0.103
48,37:114,37:114,,0.463
49,37:114,24:101,+,0.121
50,37:114,24:101,+,0.161
51,37:114,24:101,+,0.112
52,37:114,13:53,+,0.168
53,37:114,24:101,+,0.113
54,37:114,24:101,+,0.169
55,37:114,24:101,+,0.169
56,37:114,24:101,+,0.115
57,37:114,24:101,+,0.154
58,37:114,20:97,+,0.125
59,37:114,24:101,+,0.119
60,37:114,24:101,+,0.267
61,37:114,20:97,+,0.13
62,37:114,1:8,+,0.108
63,37:114,20:97,+,0.116
64,37:114,35:112,+,0.076
65,37:114,24:101,+,0.273
66,41:118,20:97,+,0.096
67,41:118,24:101,+,0.165
68,41:118,24:101,+,0.127
69,41:118,24:101,+,0.107
70,41:118,46:161,+,0.101
71,41:118,24:101,+,0.13
72,41:118,24:101,+,0.143
73,41:118,32:109,+,0.247
74,41:118,24:101,+,0.189
75,41:118,25:102,+,0.103
76,41:118,30:107,+,0.112
77,41:118,24:101,+,0.166
78,41:118,24:101,+,0.129
79,41:118,24:101,+,0.149
80,41:118,24:101,+,0.139
81,41:118,43:120,+,0.091
82,41:118,20:97,+,0.076
83,41:118,33:110,+,0.085
84,41:118,24:101,+,0.128
85,41:118,24:101,+,0.133
86,41:118,29:106,+,0.082
87,41:118,20:97,+,0.089
88,44:121,48:186,+,0.071
89,44:121,20:97,+,0.146
90,44:121,25:102,+,0.351
91,44:121,31:108,+,0.196
92,44:121,20:97,+,0.094
93,44:121,31:108,+,0.349
94,44:121,50:241,+,0.093
95,44:121,50:241,+,0.112
96,44:121,34:111,+,0.117
97,44:121,34:111,+,0.111
98,44:121,24:101,+,0.143
99,44:121,24:101,+,0.135
100,44:121,24:101,+,0.159
101,44:121,24:101,+,0.067
102,44:121,1:8,+,0.11
103,44:121,30:107,+,0.122
104,44:121,20:97,+,0.169
105,44:121,5:44,+,0.067
106,44:121,24:101,+,0.116
107,44:121,24:101,+,0.122
108,44:121,20:97,+,0.079
109,44:121,24:101,+,0.102
110,44:121,5:44,+,0.075
111,44:121,28:105,+,0.22
112,14:54,15:55,+,0.141
113,14:54,10:50,+,0.106
114,14:54,20:97,+,0.142
115,14:54,16:56,+,0.113
116,14:54,16:56,+,0.198
117,14:54,13:53,+,0.146
118,14:54,16:56,+,0.225
119,14:54,16:56,+,0.183
120,14:54,37:114,+,0.292
121,14:54,13:53,+,0.24
122,14:54,15:55,+,0.125
123,35:112,1:8,+,0.137
124,35:112,24:101,+,0.202
125,35:112,24:101,+,0.161
126,35:112,24:101,+,0.127
127,35:112,24:101,+,0.21
128,35:112,50:241,+,0.351
129,35:112,24:101,+,0.113
130,35:112,24:101,+,0.141
131,35:112,24:101,+,0.13
132,35:112,20:97,+,0.133
133,35:112,24:101,+,0.116
134,35:112,20:97,+,0.171
135,35:112,50:241,+,0.076
136,35:112,31:108,+,0.188
137,35:112,20:97,+,0.086
138,35:112,50:241,+,0.068
139,35:112,36:113,+,0.247
140,35:112,24:101,+,0.153
141,35:112,24:101,+,0.095
142,35:112,34:111,+,0.32
143,35:112,24:101,+,0.153
144,35:112,48:186,+,0.271
145,35:112,24:101,+,0.176
146,35:112,42:119,+,0.064
147,35:112,30:107,+,0.117
148,1:8,20:97,+,0.091
149,1:8,24:101,+,0.155
150,1:8,22:99,+,0.149
151,1:8,24:101,+,0.124
152,1:8,34:111,+,0.175
153,1:8,50:241,+,0.218
154,1:8,24:101,+,0.147
155,1:8,20:97,+,0.105
156,1:8,34:111,+,0.12
157,1:8,30:107,+,0.247
158,1:8,24:101,+,0.128
159,1:8,20:97,+,0.138
160,1:8,10:50,+,0.051
161,1:8,24:101,+,0.203
162,1:8,34:111,+,0.351
163,1:8,24:101,+,0.151
164,1:8,24:101,+,0.131
165,1:8,24:101,+,0.087
166,1:8,5:44,+,0.247
167,1:8,20:97,+,0.069
168,1:8,24:101,+,0.122
169,1:8,31:108,+,0.089
170,1:8,36:113,+,0.461
171,1:8,24:101,+,0.2
172,1:8,1:8,,0.104
173,1:8,20:97,+,0.174
174,1:8,24:101,+,0.114
175,1:8,1:8,,0.102
176,1:8,24:101,+,0.114
177,1:8,24:101,+,0.118
178,1:8,24:101,+,0.144
179,1:8,24:101,+,0.165
180,1:8,24:101,+,0.172
181,1:8,1:8,,0.722
182,1:8,24:101,+,0.229
183,31:108,24:101,+,0.181
184,31:108,24:101,+,0.121
185,31:108,24:101,+,0.205
186,31:108,1:8,+,0.146
187,31:108,24:101,+,0.177
188,31:108,1:8,+,0.129
189,31:108,1:8,+,0.127
190,31:108,24:101,+,0.169
191,31:108,24:101,+,0.154
192,31:108,24:101,+,0.149
193,31:108,20:97,+,0.142
194,31:108,24:101,+,0.139
195,31:108,24:101,+,0.133
196,31:108,24:101,+,0.121
197,31:108,24:101,+,0.156
198,31:108,32:109,+,0.274
199,31:108,24:101,+,0.145
200,31:108,24:101,+,0.107
201,31:108,24:101,+,0.111
202,31:108,20:97,+,0.129
203,31:108,24:101,+,0.13
204,31:108,24:101,+,0.133
205,31:108,24:101,+,0.148
206,31:108,24:101,+,0.201
207,31:108,24:101,+,0.16
208,31:108,24:101,+,0.171
209,31:108,24:101,+,0.222
210,31:108,20:97,+,0.283
211,31:108,24:101,+,0.15
212,31:108,24:101,+,0.133
213,31:108,24:101,+,0.147
214,31:108,20:97,+,0.13
215,31:108,24:101,+,0.114
216,31:108,24:101,+,0.145
217,31:108,31:108,,0.202
218,31:108,24:101,+,0.18
219,31:108,24:101,+,0.149
220,31:108,24:101,+,0.13
221,31:108,39:116,+,0.182
222,31:108,24:101,+,0.132
223,31:108,24:101,+,0.15
224,31:108,24:101,+,0.109
225,31:108,24:101,+,0.187
226,31:108,24:101,+,0.154
