@relation InstanceResultListener

@attribute Key_Dataset {0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3_old-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,4_young-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,6_no_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,7_forced-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,8_no_forced_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,9_light_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.LMT}
@attribute Key_Scheme_options {'-I -1 -M 1 -W 0.0'}
@attribute Key_Scheme_version_ID {-1113212459618104943}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.0918,52542,5838,938,4900,0,16.067146,83.932854,0,0.034578,0.036246,0.135584,97.672614,99.537836,28524.295717,28104.848959,419.446758,4.88597,4.814123,0.071848,3108.906666,0.532529,10.899153,0.038095,4,0.002616,15,0.997384,5718,0.961905,101,0.210526,0.038095,0.064516,0.082785,0.711455,0.06975,0.160671,0.128389,0.871611,0.839329,0.144728,0.160671,0.078763,0.050936,0.626101,0.093087,0.073301,0.160671,1472.672,0.029,1458.046875,0.03125,1458046.875,31.25,783924,4888879,545407,92.411785,52.759137,?,69,35
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.0946,52542,5838,986,4852,0,16.889346,83.110654,0,0.050066,0.036122,0.135182,97.336112,99.24185,28528.076063,27352.986046,1175.090016,4.886618,4.685335,0.201283,3613.000587,0.618876,12.664719,0.019048,2,0.001744,10,0.998256,5723,0.980952,103,0.166667,0.019048,0.034188,0.050774,0.669085,0.057408,0.168893,0.12164,0.87836,0.831107,0.16067,0.168893,0.096779,0.06753,0.645554,0.099295,0.086821,0.168893,1653.051,0.031,1643.359375,0.03125,1643359.375,31.25,1444515,4888879,545407,91.058582,48.554098,?,127,64
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1016,52542,5838,937,4901,0,16.050017,83.949983,0,0.031634,0.036384,0.135334,98.042001,99.352956,28529.720037,27412.381877,1117.33816,4.8869,4.695509,0.191391,2888.115444,0.49471,10.123182,0,0,0.001919,11,0.998081,5722,1,105,0,0,0,-0.00588,0.683754,0.039642,0.1605,0.131058,0.868942,0.8395,?,0.1605,?,?,0.626039,0.092418,?,0.1605,1790.975,0.03,1780.4375,0.03125,1780437.5,31.25,988935,4888879,545407,92.70298,55.037315,?,87,44
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1044,52542,5838,950,4888,0,16.272696,83.727304,0,0.040158,0.036296,0.135476,97.805196,99.457263,28530.662552,27714.7893,815.873252,4.887061,4.747309,0.139752,3217.812023,0.551184,11.278434,0,0,0.003315,19,0.996685,5713,1,106,0,0,0,-0.007771,0.669268,0.043178,0.162727,0.124816,0.875184,0.837273,0.136688,0.162727,0.083613,0.05379,0.629638,0.090183,0.073675,0.162727,1680.338,0.03,1669.25,0.03125,1669250,31.25,1148388,4888879,545407,92.017814,52.187158,?,101,51
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1112,52542,5838,968,4870,0,16.581021,83.418979,0,0.049912,0.036051,0.135218,97.14381,99.267472,28528.973318,27533.901804,995.071514,4.886772,4.716324,0.170447,3818.327106,0.654047,13.384033,0.037736,4,0.003315,19,0.996685,5713,0.962264,102,0.173913,0.037736,0.062016,0.073366,0.712702,0.073144,0.16581,0.118774,0.881226,0.83419,0.15667,0.16581,0.097243,0.065635,0.641701,0.099742,0.094666,0.16581,1674.252,0.03,1662.3125,0.03125,1662312.5,31.25,1558410,4888879,545407,90.596095,46.774345,?,137,69
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1136,52542,5838,945,4893,0,16.18705,83.81295,0,0.045145,0.036054,0.135564,97.152496,99.520709,28528.45064,28347.872408,180.578233,4.886682,4.855751,0.030932,3732.842215,0.639404,13.08463,0.04717,5,0.002268,13,0.997732,5719,0.95283,101,0.277778,0.04717,0.080645,0.108137,0.69827,0.087259,0.161871,0.119511,0.880489,0.838129,0.154006,0.161871,0.092888,0.060276,0.641725,0.095808,0.08239,0.161871,1472.551,0.036,1464.578125,0.03125,1464578.125,31.25,1512852,4888879,545407,90.236382,45.155808,?,133,67
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1212,52542,5838,955,4883,0,16.358342,83.641658,0,0.041672,0.036352,0.135137,97.957307,99.208104,28524.178388,26500.873997,2023.304391,4.88595,4.539375,0.346575,3365.19202,0.576429,11.797683,0,0,0.001047,6,0.998953,5727,1,105,0,0,0,-0.004341,0.717429,0.055923,0.163583,0.124196,0.875804,0.836417,0.159641,0.163583,0.08611,0.058383,0.641551,0.096778,0.072836,0.163583,2135.187,0.03,2123.546875,0.015625,2123546.875,15.625,1808979,4888879,545407,93.52518,54.383048,?,159,80
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1236,52542,5838,924,4914,0,15.827338,84.172662,0,0.032661,0.03634,0.135588,97.924452,99.539114,28525.732009,28324.038314,201.693695,4.886217,4.851668,0.034548,2940.375607,0.503661,10.307801,0.009524,1,0.002442,14,0.997558,5719,0.990476,104,0.066667,0.009524,0.016667,0.018591,0.655419,0.032674,0.158273,0.128024,0.871976,0.841727,0.132198,0.158273,0.07894,0.046693,0.623917,0.091668,0.0749,0.158273,1480.544,0.029,1464.890625,0.03125,1464890.625,31.25,601692,4888879,545407,92.240493,53.776139,?,53,27
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1302,52542,5838,956,4882,0,16.375471,83.624529,0,0.043376,0.036189,0.135212,97.51594,99.263565,28524.947407,27466.415428,1058.531979,4.886082,4.704765,0.181318,3458.733249,0.592452,12.125292,0,0,0.002442,14,0.997558,5719,1,105,0,0,0,-0.006635,0.673436,0.034389,0.163755,0.12276,0.87724,0.836245,0.138487,0.163755,0.086037,0.055828,0.634665,0.096596,0.076589,0.163755,1556.39,0.031,1545.859375,0.03125,1545859.375,31.25,1057272,4888879,545407,92.257622,49.505941,?,93,47
