inst#,actual,predicted,error,prediction
1,38:115,24:101,+,1
2,38:115,24:101,+,1
3,38:115,24:101,+,1
4,38:115,24:101,+,1
5,38:115,24:101,+,1
6,38:115,24:101,+,1
7,38:115,24:101,+,1
8,38:115,24:101,+,1
9,38:115,24:101,+,1
10,38:115,24:101,+,1
11,38:115,24:101,+,1
12,38:115,33:110,+,1
13,38:115,24:101,+,1
14,38:115,24:101,+,1
15,38:115,24:101,+,1
16,38:115,24:101,+,1
17,38:115,24:101,+,1
18,38:115,24:101,+,1
19,38:115,38:115,,1
20,38:115,24:101,+,1
21,38:115,24:101,+,1
22,38:115,24:101,+,1
23,38:115,24:101,+,1
24,38:115,24:101,+,1
25,38:115,24:101,+,1
26,38:115,24:101,+,1
27,38:115,34:111,+,1
28,38:115,24:101,+,1
29,38:115,24:101,+,1
30,38:115,24:101,+,1
31,38:115,24:101,+,1
32,38:115,20:97,+,1
33,38:115,20:97,+,1
34,38:115,24:101,+,1
35,38:115,24:101,+,1
36,38:115,24:101,+,1
37,38:115,34:111,+,1
38,38:115,24:101,+,1
39,38:115,34:111,+,1
40,38:115,20:97,+,1
41,38:115,24:101,+,1
42,38:115,24:101,+,1
43,38:115,37:114,+,1
44,38:115,24:101,+,1
45,38:115,24:101,+,1
46,38:115,20:97,+,1
47,38:115,24:101,+,1
48,38:115,24:101,+,1
49,38:115,24:101,+,1
50,38:115,24:101,+,1
51,38:115,20:97,+,1
52,38:115,24:101,+,1
53,38:115,24:101,+,1
54,38:115,24:101,+,1
55,38:115,20:97,+,1
56,38:115,20:97,+,1
57,38:115,24:101,+,1
58,38:115,24:101,+,1
59,38:115,38:115,,1
60,38:115,24:101,+,1
61,38:115,24:101,+,1
62,38:115,24:101,+,1
63,38:115,24:101,+,1
64,38:115,24:101,+,1
65,38:115,24:101,+,1
66,38:115,24:101,+,1
67,38:115,24:101,+,1
68,38:115,24:101,+,1
69,38:115,24:101,+,1
70,38:115,24:101,+,1
71,38:115,24:101,+,1
72,38:115,38:115,,1
73,38:115,24:101,+,1
74,38:115,24:101,+,1
75,38:115,34:111,+,1
76,38:115,24:101,+,1
77,38:115,24:101,+,1
78,38:115,24:101,+,1
79,38:115,24:101,+,1
80,38:115,24:101,+,1
81,38:115,24:101,+,1
82,38:115,20:97,+,1
83,19:96,24:101,+,1
84,19:96,24:101,+,1
85,19:96,24:101,+,1
86,19:96,4:43,+,1
87,19:96,46:161,+,1
88,19:96,24:101,+,1
89,19:96,5:44,+,1
90,19:96,24:101,+,1
91,19:96,46:161,+,1
92,19:96,24:101,+,1
93,19:96,46:161,+,1
94,37:114,20:97,+,1
95,37:114,24:101,+,1
96,37:114,24:101,+,1
97,37:114,37:114,,1
98,37:114,24:101,+,1
99,37:114,24:101,+,1
100,37:114,24:101,+,1
101,37:114,24:101,+,1
102,37:114,24:101,+,1
103,37:114,24:101,+,1
104,37:114,24:101,+,1
105,37:114,24:101,+,1
106,37:114,24:101,+,1
107,37:114,24:101,+,1
108,37:114,24:101,+,1
109,37:114,24:101,+,1
110,37:114,38:115,+,1
111,37:114,24:101,+,1
112,37:114,24:101,+,1
113,37:114,24:101,+,1
114,37:114,24:101,+,1
115,37:114,24:101,+,1
116,37:114,24:101,+,1
117,37:114,20:97,+,1
118,37:114,24:101,+,1
119,37:114,20:97,+,1
120,37:114,24:101,+,1
121,37:114,24:101,+,1
122,37:114,24:101,+,1
123,37:114,24:101,+,1
124,37:114,24:101,+,1
