@relation InstanceResultListener

@attribute Key_Dataset {0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3_old-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,4_young-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,6_no_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,7_forced-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,8_no_forced_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,9_light_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LibSVM}
@attribute Key_Scheme_options {'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1'}
@attribute Key_Scheme_version_ID {14172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1205,52542,5838,943,4895,0,16.152792,83.847208,0,0.033394,0.032881,0.181332,88.604806,133.123593,28524.295717,5257230,-5228705.704283,4.88597,900.519013,-895.633043,2765.15914,0.473648,9.694049,0.066667,7,0.001919,11,0.998081,5722,0.933333,98,0.388889,0.066667,0.113821,0.155208,0.532374,0.042712,0.161528,0.130968,0.869032,0.838472,?,0.161528,?,?,0.51528,0.064784,?,0.161528,1113.039,63.809,1103.875,60.953125,1103875,60953.125,28221742,4888879,545407,16.152792,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1228,52542,5838,971,4867,0,16.632408,83.367592,0,0.039462,0.032693,0.180813,88.097022,132.740688,28528.076063,5227158,-5198629.923937,4.886618,895.367934,-890.481316,2867.163065,0.491121,10.05032,0.085714,9,0.002616,15,0.997384,5718,0.914286,96,0.375,0.085714,0.139535,0.172597,0.541549,0.048587,0.166324,0.129963,0.870037,0.833676,?,0.166324,?,?,0.518181,0.065685,?,0.166324,1322.822,55.693,1298.765625,55.515625,1298765.625,55515.625,28232254,4888879,545407,16.632408,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.125,52542,5838,956,4882,0,16.375471,83.624529,0,0.035677,0.032794,0.181091,88.368018,132.944207,28529.720037,5243268,-5214738.279963,4.8869,898.127441,-893.240541,2826.689735,0.484188,9.907878,0.095238,10,0.001221,7,0.998779,5726,0.904762,95,0.588235,0.095238,0.163934,0.231883,0.547009,0.072295,0.163755,0.131338,0.868662,0.836245,?,0.163755,?,?,0.516208,0.064803,?,0.163755,1272.628,56.866,1251.34375,56.625,1251343.75,56625,28239112,4888879,545407,16.375471,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1311,52542,5838,938,4900,0,16.067146,83.932854,0,0.033489,0.032915,0.181424,88.693868,133.189127,28530.662552,5262600,-5234069.337448,4.887061,901.438849,-896.551788,2803.486418,0.480214,9.826223,0.075472,8,0.001221,7,0.998779,5725,0.924528,98,0.533333,0.075472,0.132231,0.195833,0.537125,0.057038,0.160671,0.130458,0.869542,0.839329,?,0.160671,?,?,0.515107,0.064546,?,0.160671,1223.774,52.059,1205.53125,51.9375,1205531.25,51937.5,28239004,4888879,545407,16.067146,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1331,52542,5838,949,4889,0,16.255567,83.744433,0,0.034589,0.032841,0.181221,88.494891,133.039768,28528.973318,5250786,-5222257.026682,4.886772,899.415211,-894.528439,2843.026813,0.486986,9.965402,0.103774,11,0.002791,16,0.997209,5716,0.896226,95,0.407407,0.103774,0.165414,0.198721,0.550491,0.058551,0.162556,0.131426,0.868574,0.837444,?,0.162556,?,?,0.515565,0.066068,?,0.162556,1136.138,53.262,1123.484375,53.203125,1123484.375,53203.125,28248004,4888879,545407,16.255567,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1351,52542,5838,947,4891,0,16.221309,83.778691,0,0.034675,0.032854,0.181258,88.530379,133.065769,28528.45064,5252934,-5224405.54936,4.886682,899.783145,-894.896463,2800.296741,0.479667,9.815804,0.066038,7,0.00157,9,0.99843,5723,0.933962,99,0.4375,0.066038,0.114754,0.164646,0.532234,0.045849,0.162213,0.130481,0.869519,0.837787,?,0.162213,?,?,0.515866,0.064503,?,0.162213,1167.13,54.071,1152.078125,53.9375,1152078.125,53937.5,28237618,4888879,545407,16.221309,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1412,52542,5838,955,4883,0,16.358342,83.641658,0,0.036133,0.032801,0.181109,88.386417,132.958328,28524.178388,5244342,-5215817.821612,4.88595,898.311408,-893.425458,2834.826515,0.485582,9.938328,0.07619,8,0.001919,11,0.998081,5722,0.92381,97,0.421053,0.07619,0.129032,0.173304,0.537136,0.048695,0.163583,0.130597,0.869403,0.836417,?,0.163583,?,?,0.516493,0.064952,?,0.163583,1169.779,54.862,1155.78125,54.28125,1155781.25,54281.25,28222444,4888879,545407,16.358342,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1431,52542,5838,981,4857,0,16.8037,83.1963,0,0.042068,0.032626,0.180627,87.915672,132.603672,28525.732009,5216418,-5187892.267991,4.886217,893.528263,-888.642047,2992.518984,0.512593,10.490595,0.152381,16,0.00157,9,0.99843,5724,0.847619,89,0.64,0.152381,0.246154,0.306937,0.575406,0.112769,0.168037,0.129615,0.870385,0.831963,?,0.168037,?,?,0.519211,0.067087,?,0.168037,1124.744,51.665,1112.640625,51.578125,1112640.625,51578.125,28242784,4888879,545407,16.8037,1.960784,?
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9-6\" -seed 1',14172,20220609.1455,52542,5838,982,4856,0,16.820829,83.179171,0,0.041876,0.032619,0.180608,87.89802,132.590781,28524.947407,5215344,-5186819.052593,4.886082,893.344296,-888.458214,2951.6298,0.505589,10.347538,0.133333,14,0.00314,18,0.99686,5715,0.866667,91,0.4375,0.133333,0.20438,0.234348,0.565097,0.073921,0.168208,0.12973,0.87027,0.831792,?,0.168208,?,?,0.519239,0.066721,?,0.168208,1348.129,63.032,1323.828125,62.625,1323828.125,62625,28229644,4888879,545407,16.820829,1.960784,?
