@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,39,43,44,45,46,50,60,96,161,186}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
186,10,3,19,3,335,213,-0.95
186,11,3,19,2,336,212,-0.47
186,11,2,19,2,337,212,-0.95
186,10,3,18,2,338,212,-1.43
186,10,2,19,2,337,211,-1.44
186,9,2,17,1,334,211,-1.44
186,9,3,19,2,326,211,-2.88
186,10,3,20,1,297,209,-6.58
186,10,4,21,1,275,211,-6.12
186,9,4,21,1,236,215,-9.27
186,10,5,21,1,221,215,-12.19
186,10,5,21,1,204,218,-11.62
186,10,5,20,1,201,218,-11.07
186,9,5,21,1,226,216,-10.62
186,10,4,20,1,252,213,-7.9
186,11,2,17,1,313,211,-4.71
186,11,2,19,3,347,209,-1.92
186,10,2,17,3,403,211,2.46
186,14,1,16,3,434,214,6.36
186,13,1,14,2,494,221,11.7
186,13,1,13,2,510,222,12.17
186,13,1,11,2,546,225,14.36
186,14,1,12,2,560,228,14.03
186,13,0,13,2,558,227,15.57
186,14,1,14,2,532,222,12.3
186,13,1,14,2,508,220,10.09
186,13,1,15,2,486,218,8.68
186,13,2,15,2,424,212,3.89
186,14,1,17,2,398,209,0.95
186,14,1,15,2,367,209,-0.48
186,15,2,18,2,357,209,-1.43
186,14,2,16,1,343,210,-2.4
186,14,2,16,2,340,211,-3.36
186,17,1,17,2,351,210,1.95
186,15,1,16,2,362,208,4.86
186,16,2,18,4,364,207,17.91
186,15,1,18,4,363,209,15.85
186,16,1,16,3,359,211,9.71
186,15,2,17,2,341,209,-7.65
186,13,3,15,0,326,211,-16.44
186,13,3,14,2,322,212,-20.46
186,7,6,15,1,311,214,-25.71
186,9,6,14,1,310,214,-24.9
186,7,6,15,1,314,213,-17.75
186,7,5,16,1,319,211,-14.35
186,13,2,17,1,334,212,-10.45
186,12,3,17,1,338,212,-6.64
32,8,4,15,1,331,214,-6.17
32,9,2,?,?,334,209,-2.38
32,8,2,?,?,337,208,-1.45
32,8,1,?,?,338,210,-1.92
32,7,2,?,?,337,210,-1.44
32,7,2,23,2,337,210,-0.48
32,8,2,17,2,337,210,-0.96
32,9,3,17,2,338,209,-0.96
32,8,2,?,?,339,209,-0.48
32,7,2,?,?,340,208,-0.97
32,8,3,?,?,341,210,-0.97
32,8,2,?,?,349,210,2.92
32,9,1,?,?,376,211,11.02
32,13,1,?,?,388,212,15.26
32,14,1,?,?,398,210,17.34
32,15,2,?,?,405,208,19.28
32,12,1,?,?,432,210,22.58
32,15,2,?,?,446,210,22.79
32,12,1,?,?,471,218,22.79
32,12,1,?,?,475,217,22.52
32,10,1,?,?,465,214,17.29
32,8,1,?,?,413,207,8.05
32,9,2,?,?,384,203,5.77
32,9,2,?,?,356,202,1.76
32,5,3,?,?,314,203,-3.55
32,4,3,?,?,293,202,-5.25
32,6,4,?,?,250,206,-10.06
32,6,5,?,?,234,205,-11.57
32,8,4,18,2,213,207,-13.13
