@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,33,34,40,41,44,45,46,50,58,59,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,161,180,191,225,233,237,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
101,22,2,26,2,275,169,-0.35
108,22,2,28,2,274,166,1.42
32,25,2,28,2,274,169,-0.69
97,24,2,28,2,278,176,-1.05
98,22,3,27,2,278,179,-0.73
117,22,2,26,2,281,180,0.74
101,22,3,27,3,284,179,0.75
108,23,3,26,3,289,179,1.5
111,23,4,22,3,296,171,0
32,22,5,25,2,295,139,0.68
101,25,2,29,3,289,179,2.43
115,20,3,27,2,286,184,1.02
112,21,2,29,3,286,183,1.02
97,22,3,28,3,285,184,1.02
241,20,3,26,3,286,185,1.37
111,22,2,28,3,286,183,1.7
108,21,3,29,3,293,174,2.09
32,23,3,23,4,293,172,0.69
100,28,3,30,3,296,181,0.99
101,27,2,30,3,293,180,1.34
32,26,3,29,3,293,178,0.34
98,27,3,30,3,294,175,1.01
97,?,?,30,3,295,172,2.03
114,22,3,20,3,296,167,2.36
98,23,4,21,4,295,167,0.68
97,22,4,23,4,297,167,1.69
32,?,?,26,6,298,171,2.66
98,27,2,29,3,298,175,1.95
108,23,4,27,3,295,173,2.61
97,25,3,30,3,296,175,2.29
110,27,4,31,3,298,174,1.63
99,27,3,30,3,301,173,2.63
97,?,?,22,3,298,169,2.98
32,23,4,21,4,294,163,1.67
109,24,2,28,3,293,169,1.66
101,25,2,30,3,293,172,1.32
32,28,3,30,3,291,171,0.66
115,26,3,31,3,291,171,1
101,23,2,28,2,291,171,1.67
241,20,3,26,3,295,171,2.3
97,19,3,22,3,296,167,1.68
108,21,3,19,3,295,168,2.03
97,21,3,20,4,296,167,2
32,20,2,21,3,295,167,2.01
117,25,2,29,3,294,171,2.33
110,24,3,30,3,298,171,1
97,28,3,31,3,302,172,1.67
32,27,3,29,3,305,171,2.35
115,27,3,30,4,305,171,3.02
101,27,4,29,3,304,170,2.32
114,26,2,31,3,299,169,1.68
105,19,3,18,3,297,166,2.07
101,20,3,18,3,295,166,2.73
32,19,3,20,3,294,167,1.72
100,21,3,21,3,292,166,1.73
101,20,3,18,3,292,166,1.39
32,19,2,19,4,293,166,2.41
114,25,4,29,3,292,173,0.68
101,26,2,29,3,291,170,1.7
116,25,3,29,3,291,170,1.03
114,25,3,29,4,291,170,1.72
97,24,4,30,3,290,167,1.73
116,24,3,29,3,289,168,1.05
111,?,?,29,3,288,166,1.39
115,18,3,19,3,288,162,1.76
32,20,4,19,3,286,162,1.42
105,25,2,28,3,286,165,0.34
108,24,4,29,3,294,165,1.67
117,25,2,30,3,305,166,2.65
115,28,2,31,4,305,168,2.63
116,26,3,30,4,304,167,3.68
114,26,3,29,3,304,167,3.39
101,?,?,32,3,301,164,3.12
115,18,3,18,3,293,162,2.75
58,23,2,30,2,283,174,0.34
32,24,2,29,3,293,172,2.01
34,27,3,31,4,313,169,3.35
101,26,3,30,4,304,169,1.99
115,26,3,31,3,298,169,1.33
116,?,?,41,3,283,166,1
101,18,3,17,4,272,162,0
44,23,2,27,2,272,177,0.34
32,23,3,29,2,278,175,0.66
109,27,2,30,3,282,175,1
101,27,3,31,3,285,174,0.67
32,27,3,31,3,285,174,1
100,26,2,31,3,280,173,0.67
105,24,3,32,3,280,173,0.67
99,28,2,31,4,282,173,0.34
101,25,2,30,3,283,174,1
32,23,2,30,3,283,172,1.67
44,27,2,32,2,291,173,1.96
32,29,3,31,3,295,171,2.29
101,28,2,32,3,295,172,1.96
115,28,3,30,3,294,172,2.61
32,28,3,31,3,291,172,2.65
101,27,2,32,3,291,172,2.01
108,27,2,31,3,293,173,1.66
32,?,?,40,3,289,167,3
103,27,3,31,4,297,177,0.97
114,25,4,27,4,299,171,2.6
97,26,4,26,4,302,171,1.96
110,25,4,24,4,302,169,1.97
32,28,3,31,3,312,176,3.87
100,28,3,32,4,310,175,3.26
111,27,3,31,4,309,173,4.53
110,27,3,31,3,309,174,3.22
109,25,2,28,3,308,173,3.18
105,26,2,30,4,311,172,4.42
103,26,2,28,3,325,178,5.82
117,24,2,29,3,323,172,3.96
101,28,2,28,3,323,169,4.56
108,27,2,30,3,322,169,4.56
32,28,2,30,3,322,168,4.59
100,29,3,31,3,321,168,3.52
101,31,2,32,3,325,167,4.08
32,28,3,32,4,323,167,3.16
99,29,3,31,4,316,164,2.52
101,27,3,31,3,309,157,2.25
