@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,33,40,44,46,49,58,59,60,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,116,117,118,120,121,161,191,225,241,243}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
101,25,3,29,2,269,176,0.68
108,24,3,30,2,266,177,-0.67
32,28,3,31,2,270,175,-0.33
97,26,2,30,2,273,177,-1.33
98,27,3,31,2,274,177,-0.33
117,24,2,29,2,276,176,-0.33
101,22,3,28,2,276,176,0.68
108,23,4,28,3,279,177,1.02
111,24,3,29,1,281,177,0.68
32,23,3,28,3,283,178,1
101,25,2,30,3,286,177,0.67
115,22,3,27,3,283,178,1.34
112,23,3,27,3,280,179,1.68
97,22,2,29,2,279,179,0.67
241,23,3,29,3,275,178,-0.33
111,23,3,28,3,273,179,-0.67
108,?,?,21,3,274,177,0
32,26,2,29,2,277,182,-0.66
100,29,3,30,3,276,183,0.34
101,27,3,30,2,274,184,0.34
32,26,3,30,2,275,184,0.67
98,25,3,30,3,278,184,0
97,31,2,30,3,281,182,-0.65
114,26,3,30,2,280,182,0
98,24,2,31,2,274,181,0.67
97,23,3,21,3,272,178,0.34
32,23,4,21,3,272,178,0
109,27,3,29,2,274,184,0.67
101,28,3,31,3,273,183,0
32,29,3,30,3,272,182,0
115,28,4,30,3,274,182,0
101,23,3,29,2,272,183,0.66
241,23,3,31,2,276,183,0
97,27,3,30,3,280,183,0
108,28,3,30,3,281,184,0.67
97,?,?,23,2,283,181,1.67
32,20,4,20,3,281,179,1.34
117,26,3,30,3,284,184,1
110,27,2,32,3,288,184,1.68
97,28,2,30,3,289,183,0.67
32,27,2,31,2,289,182,-0.33
115,27,2,30,3,288,182,1
101,27,3,30,3,285,181,1.31
114,24,2,27,2,282,180,0.67
105,25,3,28,3,278,180,0.66
101,27,3,30,3,279,179,-0.33
32,20,3,19,3,270,175,0
100,28,2,30,3,278,182,-0.32
101,28,3,30,3,278,181,0.34
32,26,2,30,2,278,180,0.34
114,27,4,30,3,279,180,0
101,26,3,30,3,279,181,0
116,26,3,30,3,277,179,-0.66
114,29,4,28,2,271,176,-1.33
97,29,2,28,2,270,176,-0.33
116,24,4,29,2,272,176,-1.34
111,24,3,31,2,273,176,-1.33
115,25,4,31,3,274,176,-1.33
32,20,4,18,3,269,171,0.34
105,24,3,27,2,279,177,0.33
108,24,2,30,2,295,180,2.63
117,29,3,30,4,302,179,2.94
115,27,3,29,3,300,178,1
116,27,3,31,3,295,178,3.64
114,27,2,29,3,287,177,1.66
101,?,?,?,?,284,176,1.97
115,?,?,16,3,276,176,1
58,27,2,30,3,282,185,1
32,29,3,32,3,283,184,1
101,28,3,31,3,284,185,1.64
115,28,3,30,3,285,184,0.99
116,24,3,30,4,282,183,0.34
101,25,3,29,3,281,183,1
32,?,?,31,2,279,182,1.32
109,26,2,30,3,281,183,1.33
101,28,3,31,3,281,184,0.99
32,30,3,30,2,282,183,1.3
100,25,2,29,2,283,182,0.98
105,24,2,30,2,284,183,0.66
99,27,3,31,2,287,183,1.65
101,?,?,30,1,291,182,3.24
32,20,5,14,3,290,180,2.61
101,28,4,30,4,295,185,2.94
115,27,3,29,3,295,186,1.31
32,26,2,29,3,292,184,1.66
101,22,2,25,3,291,184,1.31
108,23,2,27,3,289,184,2.32
32,26,1,29,3,294,183,1.32
113,30,3,30,3,300,184,2.6
117,27,2,29,3,298,184,1.99
101,?,?,12,1,294,182,3.64
8,26,3,25,3,292,181,1.66
8,25,4,27,4,293,182,3.31
8,25,4,25,6,293,183,2.3
103,27,2,31,3,291,183,1.64
114,27,3,30,3,290,183,1.62
97,26,3,29,3,289,184,1.3
110,25,4,24,4,287,179,1.65
32,26,4,25,4,290,179,2.61
100,29,2,30,3,293,189,1.89
111,26,2,30,2,292,188,2.85
110,26,3,29,3,291,188,1.28
32,25,3,29,3,292,186,1.93
109,24,3,28,3,298,185,1.61
105,27,3,29,3,304,186,3.5
103,27,3,30,3,306,186,2.88
117,25,3,30,3,305,186,2.6
101,28,2,30,2,303,186,2.27
108,24,3,25,3,303,184,2.32
32,26,3,23,3,303,182,1.93
100,29,3,31,3,301,188,1.61
101,26,2,30,3,298,185,1.93
32,28,2,31,3,295,187,3.22
99,29,3,32,3,293,186,1.6
101,28,2,31,3,293,187,1.59
114,29,3,32,3,290,188,1.91
118,27,3,29,2,287,186,1.27
97,26,3,29,3,287,186,1.29
110,28,3,30,3,289,185,1.6
116,27,3,32,3,292,186,1.6
101,27,2,31,3,294,185,1.94
115,?,?,30,3,295,180,2.3
32,29,3,31,3,292,186,0.98
115,28,3,30,3,290,184,0.33
97,27,2,29,3,287,184,0.66
97,24,2,29,3,284,184,0
118,27,2,30,3,281,183,0
101,30,2,31,3,276,182,-0.32
100,29,3,30,3,273,182,-0.96
114,25,4,31,3,270,182,-1.32
97,27,2,32,3,271,182,-1.3
44,24,3,28,3,277,188,-0.32
32,28,3,31,3,280,188,-0.64
103,28,3,32,3,278,184,-0.96
101,25,3,31,2,278,184,-1.28
110,25,3,26,3,277,182,-1.61
105,25,2,29,3,277,182,-0.64
111,?,?,29,2,277,181,-0.32
32,22,3,20,3,277,179,-0.65
121,25,2,30,3,279,181,-0.64
32,27,3,27,2,279,181,-0.97
109,29,2,29,2,281,181,-0.32
97,28,3,31,2,283,181,-0.32
110,27,3,31,3,284,179,0.65
99,25,2,30,2,281,181,-0.99
111,?,?,43,1,281,178,0
59,24,3,27,3,288,185,0.96
32,21,2,20,3,289,178,2.26
101,28,3,31,3,297,186,1.9
115,28,2,30,3,296,184,1.61
116,28,3,32,3,293,184,0.96
101,?,?,24,3,293,182,1.29
32,21,4,17,3,285,178,1.29
101,20,3,19,4,284,179,0.98
115,?,?,24,2,287,183,1.62
32,27,2,31,3,289,184,0.65
108,22,3,28,3,288,181,0.64
111,25,2,28,2,292,183,2.22
112,25,2,26,3,294,182,2.83
101,24,2,31,2,298,182,1.6
32,19,3,17,3,297,180,2.25
100,18,3,17,3,296,178,2.88
101,20,3,16,4,295,179,1.28
32,?,?,20,2,295,184,2.88
118,27,3,29,3,297,183,3.79
