@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,48,49,50,51,52,53,54,55,56,57}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
50,12,1,22,2,323,262,3.53
48,9,1,29,2,318,263,4.52
32,6,0,?,?,324,267,4.14
49,13,1,22,3,329,266,6.47
50,13,2,24,3,332,263,5.94
51,13,2,22,3,335,262,5.48
52,12,2,23,2,341,261,6.26
53,13,2,24,3,340,262,6.21
54,14,1,20,2,331,265,5.48
55,10,2,23,2,331,269,7.5
56,12,3,22,3,331,269,6.26
57,11,1,19,2,331,269,6.37
48,14,3,18,2,328,268,5.94
32,12,3,18,2,327,266,5.23
49,12,3,22,4,344,261,6.87
50,14,2,23,3,343,263,6.47
51,13,2,24,3,340,266,5.31
52,12,1,22,2,338,267,4.46
53,11,2,23,3,337,266,4.94
54,12,2,21,3,333,266,5.31
55,11,2,23,3,332,267,4.53
56,10,2,23,3,332,269,5.35
57,12,2,23,2,328,269,4.94
48,11,3,21,3,323,264,4.5
32,14,3,19,2,324,263,4.98
49,13,1,23,3,338,261,3.77
50,13,1,22,3,337,259,3.8
51,12,1,21,2,335,261,4.19
52,12,1,21,2,334,262,5.48
53,12,2,20,3,333,262,4.6
54,13,1,22,3,334,263,4.57
55,13,1,22,2,332,263,4.15
56,11,2,22,2,331,263,5.02
57,11,2,21,3,331,264,5.85
48,12,2,23,3,318,265,3.96
32,11,1,22,2,321,265,4.33
49,11,2,23,3,342,265,5.39
50,12,2,24,2,341,266,4.98
51,12,2,21,2,340,268,4.98
52,10,2,24,2,338,269,5.06
53,11,2,23,2,337,268,5.02
54,11,1,24,3,337,266,5.02
55,11,2,23,2,338,267,4.19
56,10,2,22,3,336,267,5.02
57,12,1,25,2,334,268,4.57
48,9,2,?,?,336,268,5.43
32,13,2,18,2,324,270,2.98
49,13,2,25,3,337,262,4.94
50,14,3,23,4,336,264,5.31
51,12,2,22,3,336,264,4.53
52,11,2,22,2,336,264,4.98
53,10,2,24,3,336,265,4.57
54,11,1,22,4,337,267,4.98
55,11,1,21,3,334,267,4.57
56,12,1,24,3,334,268,5.35
57,10,2,26,3,335,269,4.53
48,10,1,25,3,335,270,4.98
32,12,3,20,2,337,270,5.06
49,16,2,23,2,341,263,5.43
50,15,1,23,2,342,265,5.8
51,12,2,22,3,340,266,5.85
52,12,2,22,3,340,266,6.73
53,12,2,23,3,340,268,6.26
54,11,2,24,3,337,270,6.31
55,11,2,20,3,334,269,5.9
56,11,1,23,3,334,271,5.39
57,9,1,28,3,333,271,6.31
48,11,1,26,3,330,270,5.43
32,13,1,21,1,332,270,5.9
49,12,1,25,2,333,272,4.12
50,8,2,29,2,336,272,5.35
51,9,2,27,1,337,273,4.09
52,7,2,28,3,335,272,4.57
53,10,1,30,3,336,271,4.57
54,9,1,25,2,333,272,4.15
55,7,1,22,4,335,274,4.94
56,11,3,28,3,335,274,5.71
57,6,2,23,4,333,275,4.98
48,9,2,26,3,334,275,5.35
32,10,2,25,3,333,275,5.76
49,10,2,23,2,336,278,5.9
50,12,2,22,2,338,277,5.8
51,13,2,22,3,337,276,6.26
52,10,2,23,4,333,272,5.1
53,11,2,23,3,335,272,6.26
54,11,1,21,3,331,271,5.94
55,10,2,23,3,333,272,6.31
56,12,1,22,3,334,272,5.52
57,10,2,22,2,329,272,4.64
48,9,2,22,3,328,272,5.06
32,14,2,20,2,327,272,5.14
49,14,2,24,3,348,270,7.38
50,12,2,23,3,347,270,7.09
51,11,2,22,3,342,269,7.56
52,12,2,21,2,338,269,5.48
53,12,1,21,2,330,269,5.52
54,11,2,21,3,331,270,5.48
55,11,1,22,2,328,272,5.48
56,11,1,21,2,330,272,5.02
57,11,1,21,3,331,273,5.43
48,11,1,20,3,331,273,5.39
32,12,2,21,2,329,272,4.64
49,14,3,26,3,352,270,8.19
50,12,2,25,3,348,272,6.98
51,13,3,25,4,347,270,6.21
52,12,3,24,4,348,271,7.03
53,10,3,24,4,342,275,6.26
54,11,2,27,3,345,277,5.35
55,10,2,27,4,343,277,7.09
56,9,1,27,3,340,278,6.62
57,11,3,26,4,341,277,7.72
48,9,3,21,4,339,275,6.62
32,12,2,20,2,338,273,6.21
49,14,3,24,3,350,273,6.52
50,13,2,24,4,348,273,6.57
51,11,3,23,3,345,275,6.21
52,10,2,21,2,338,276,5.76
53,12,2,22,3,340,277,5.76
54,11,3,21,3,342,278,6.21
55,12,2,23,3,329,279,4.9
56,11,2,24,3,327,280,4.9
57,12,2,21,3,328,279,4.86
48,10,2,21,2,329,279,4.46
32,10,3,22,2,329,278,5.76
49,14,1,22,2,324,277,4.19
50,12,2,22,2,328,279,5.52
51,12,1,22,3,332,279,5.57
52,11,2,24,2,337,278,5.48
53,12,2,22,3,339,278,5.43
54,11,2,20,3,336,280,5.9
55,11,2,23,3,329,281,5.1
56,10,3,22,3,325,281,4.98
57,11,2,20,2,324,281,4.19
48,11,2,20,2,325,282,4.9
32,8,4,23,5,328,282,5.9
49,12,2,24,2,333,283,4.6
50,12,2,23,3,335,282,5.8
51,10,2,22,3,339,283,7.09
52,11,2,23,3,337,281,6.62
53,13,3,21,3,336,281,5.39
54,11,2,22,3,334,283,5.8
55,11,2,23,3,327,284,5.39
56,10,2,21,3,328,284,5.8
57,11,3,22,2,329,285,5.27
48,10,2,20,3,329,285,5.76
32,12,2,23,3,328,284,5.35
49,13,2,23,2,333,285,5.76
50,9,2,22,4,335,284,7.09
51,11,2,23,3,336,285,6.26
52,11,2,20,2,337,284,6.26
53,12,3,21,4,343,284,7.38
54,11,3,24,3,343,285,8.59
55,11,4,24,4,337,284,7.44
56,11,2,22,2,324,282,5.76
57,11,2,23,2,321,280,4.98
48,11,2,22,2,317,279,4.15
32,10,2,27,3,317,277,3.41
49,11,2,23,3,348,275,5.52
50,12,2,21,4,350,275,6.37
51,11,2,22,4,346,274,4.64
52,12,2,22,2,332,274,4.19
53,9,2,25,2,328,276,4.22
54,10,2,23,3,328,278,4.64
55,10,2,25,2,322,278,4.6
56,10,2,25,3,323,279,3.77
57,10,2,22,2,322,278,3.33
48,10,2,24,3,329,273,3.71
32,12,2,21,3,340,246,2.78
49,11,1,25,2,312,263,2.96
50,12,1,23,2,319,264,2.56
51,11,1,22,2,322,266,3.01
52,10,2,22,3,324,265,3.47
53,11,2,22,2,326,265,3.01
54,11,1,22,3,326,263,3.8
55,10,1,21,2,324,264,4.22
56,11,2,23,3,323,264,3.77
57,10,2,22,2,322,265,2.54
48,11,2,22,2,320,266,3.33
32,9,2,23,3,320,267,3.83
49,10,2,22,3,322,268,3.8
50,10,1,22,3,323,268,3.38
51,13,2,21,3,323,268,3.8
52,12,2,22,2,326,268,4.26
53,11,2,22,3,326,268,2.98
54,10,2,21,2,322,267,3.8
55,11,1,23,3,321,267,3.8
56,10,2,22,2,314,267,1.68
57,10,2,22,3,315,267,2.52
48,10,2,21,2,315,267,2.1
32,11,2,22,2,318,268,3.35
49,13,2,22,3,321,268,2.94
50,11,1,22,3,321,268,3.35
51,?,?,14,5,322,270,3.8
52,10,2,23,3,327,269,5.85
53,10,2,21,3,329,268,5.1
54,11,2,23,3,319,267,3.87
55,11,2,23,3,316,267,3.38
56,11,2,22,2,317,268,2.94
57,10,2,24,3,317,267,4.19
48,11,2,19,3,320,267,3.77
32,10,3,23,3,321,267,3.77
49,12,2,22,2,329,263,4.6
50,10,2,23,2,331,264,4.64
51,9,2,24,3,331,266,4.64
52,11,1,24,3,331,266,5.06
53,7,2,26,3,333,267,5.06
54,7,2,20,3,328,269,6.26
55,9,2,23,3,323,274,5.43
56,7,2,25,3,324,272,6.68
57,7,2,25,3,322,273,6.68
48,7,1,25,3,321,273,5.8
32,8,2,29,3,322,271,5.85
49,11,2,26,3,339,271,5.85
50,7,2,26,3,339,272,6.31
51,6,2,27,3,338,271,6.31
52,7,2,25,3,337,273,5.9
53,8,1,22,3,334,272,5.1
54,7,1,25,3,337,273,5.9
55,9,1,26,3,331,273,5.52
56,7,1,28,3,326,271,6.37
57,8,1,22,3,324,267,4.64
48,9,2,25,3,324,267,4.6
32,10,2,21,3,329,267,4.98
49,9,4,?,?,338,272,6.09
50,9,2,22,4,341,271,7.56
51,11,2,24,4,346,269,6.37
52,12,2,22,4,360,267,7.38
53,10,2,22,3,362,266,7.45
54,10,1,22,3,339,263,6.31
55,9,2,20,2,326,264,5.81
56,8,1,18,3,322,263,3.72
57,10,2,15,2,330,263,5.46
48,9,1,21,2,333,268,5.76
32,11,2,18,2,332,268,5.76
49,15,3,24,4,383,233,7.37
50,15,4,25,4,356,238,7.16
51,12,2,23,3,330,248,2.76
52,13,2,21,3,345,261,2.74
53,12,3,20,3,361,262,4.75
54,13,2,21,3,361,260,5.88
55,14,3,21,3,360,264,6.23
56,11,3,21,3,358,265,5.84
57,11,2,22,3,357,265,5.14
48,13,3,22,2,356,264,5.11
32,12,3,23,3,354,261,5.27
49,13,3,21,3,358,266,6.52
50,12,3,21,4,360,265,6.42
51,14,3,22,3,360,265,7.21
52,13,2,21,3,356,260,4.46
53,12,2,22,3,356,260,5.27
54,11,2,22,3,354,261,4.46
55,11,2,23,4,351,262,4.9
56,12,2,21,3,352,261,5.27
57,13,2,22,2,352,261,4.46
48,11,3,19,4,351,261,4.5
32,10,3,16,2,343,258,4.6
49,13,2,22,3,334,260,3.68
50,13,2,21,3,337,261,3.3
51,12,2,22,2,343,260,4.12
52,12,2,22,3,348,260,4.09
53,12,2,22,3,345,260,4.12
54,11,1,22,2,336,262,3.3
55,12,1,21,2,332,262,2.89
56,10,1,21,2,333,262,2.48
57,11,2,22,2,333,262,3.71
48,11,2,20,3,336,262,3.33
32,10,2,21,2,336,262,3.68
49,14,2,22,3,346,262,4.5
50,12,2,22,3,354,262,5.31
51,12,2,22,3,356,262,5.31
52,12,2,22,3,361,261,6.12
53,10,2,21,3,348,259,6.21
54,11,2,22,4,351,255,6.12
55,11,2,24,3,345,258,6.47
56,10,2,22,3,342,259,5.27
57,10,2,22,2,335,259,5.31
48,10,2,24,3,333,260,4.94
32,11,2,21,2,330,256,5.48
