@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,33,34,44,46,58,59,62,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,116,117,118,120,121,161,191,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
101,28,5,23,4,424,293,16.69
241,24,5,22,4,348,294,10.38
8,25,2,23,2,341,303,10.87
108,24,3,24,2,347,308,12.04
32,23,2,24,2,359,303,13.24
97,25,4,22,3,358,316,13.49
98,23,4,25,3,351,310,11.86
117,24,3,23,2,349,305,10.82
101,23,1,24,2,340,292,9.47
108,21,2,25,2,337,283,7.88
111,21,1,25,2,333,282,8.7
32,21,2,23,2,335,281,9.28
101,24,1,25,2,341,283,9.98
115,22,4,24,4,352,288,12.21
112,23,2,23,4,351,286,12.02
97,23,4,26,4,350,285,11.24
241,22,4,31,5,350,284,11.78
111,21,3,26,5,346,282,11.24
108,19,2,23,3,343,272,9.47
32,21,2,23,3,342,272,9.05
100,26,3,25,5,342,283,10.76
101,22,2,23,5,349,282,11
32,26,4,25,5,351,280,12.55
98,24,2,23,5,346,282,12.38
97,25,2,25,5,345,283,11.59
114,25,2,23,3,361,282,10.4
98,23,2,23,3,351,275,10.33
97,19,2,22,2,340,272,8.34
32,25,5,24,5,340,277,9.18
98,27,4,23,5,343,283,11.12
108,25,4,23,5,350,282,11.67
97,26,3,24,4,350,280,10.97
110,29,4,23,4,352,281,10.74
99,27,4,22,4,353,281,10.67
97,27,2,24,4,346,278,10.32
32,?,?,27,3,338,275,9.05
109,25,3,23,4,343,284,11.32
101,24,4,24,4,346,283,11.59
32,23,4,23,5,348,273,10.26
115,26,1,25,3,347,270,9.9
101,24,5,24,5,344,280,10.46
241,21,4,24,5,342,272,10.26
97,23,4,24,5,345,273,9.9
108,24,3,25,4,343,274,10.18
97,18,1,27,3,343,270,9.61
32,18,2,23,3,339,269,9.12
117,26,5,21,5,374,283,14.26
110,24,5,22,5,378,283,14.21
97,24,5,22,6,380,283,14.7
32,23,4,22,5,376,281,14.01
115,24,3,23,5,367,279,12.81
101,24,3,23,5,360,277,11.32
114,23,4,25,4,355,277,10.39
105,24,3,24,5,346,276,11.24
101,26,2,24,3,342,275,9.83
32,27,2,24,4,347,274,10.89
100,25,3,23,4,350,274,10.82
101,25,3,24,4,354,274,10.11
32,18,3,23,3,351,271,11.16
114,26,3,23,4,350,279,11.51
101,25,3,24,4,354,279,12.81
116,24,3,24,4,354,277,9.83
114,25,3,23,4,358,276,10.97
97,23,4,25,4,358,276,10.61
116,24,3,25,5,360,276,11.32
111,18,2,26,4,344,273,10.69
115,16,4,23,4,328,270,8.52
32,17,4,22,3,320,269,7.01
105,24,3,22,5,344,276,10.33
108,24,3,24,5,360,276,10.61
117,24,4,24,4,358,279,11.16
115,26,4,23,5,357,278,10.97
116,26,4,25,4,356,275,11.59
114,25,3,26,4,353,275,10.82
101,16,3,20,3,348,272,11.04
115,16,3,22,4,342,272,10.74
58,22,3,24,5,338,284,9.47
34,17,3,21,4,356,279,10.74
101,25,4,22,5,369,283,12.9
115,23,3,23,5,366,282,12.72
116,16,3,21,4,353,277,10.11
101,16,3,15,3,344,274,9.76
32,15,3,19,3,340,274,8.7
8,24,4,22,6,347,284,11.51
44,23,4,20,6,367,285,14.36
32,25,6,21,5,369,284,15.07
109,23,4,20,6,370,284,14.93
101,25,4,20,6,369,283,14.6
32,24,4,21,5,370,281,13.67
100,26,5,22,5,369,280,14.5
105,24,4,21,5,366,279,13.73
99,24,4,21,5,364,278,14.07
101,25,5,21,5,366,276,11.96
44,24,4,21,5,366,279,13.15
32,15,3,21,5,345,273,12.21
101,14,3,12,3,344,282,12.81
115,20,4,23,5,351,282,13.07
32,21,5,24,5,358,281,12.55
101,20,4,23,5,362,283,13.33
108,19,5,24,4,368,284,14.21
32,23,5,20,6,378,287,15.37
103,24,4,19,5,385,286,16.71
114,24,5,20,6,389,286,16.38
97,27,5,20,5,391,284,15.73
110,25,5,20,5,389,285,15.94
32,25,4,22,5,378,284,14.6
100,20,3,24,4,368,280,12.81
111,20,4,23,5,361,279,11.51
110,20,4,24,5,358,279,11.43
32,19,4,23,5,361,280,11.16
109,22,4,20,5,368,285,12.9
105,23,4,22,5,366,285,13.58
103,24,4,22,5,369,281,13.24
117,23,4,23,5,366,278,12.55
101,23,3,23,4,366,275,11.78
108,23,3,23,5,366,278,12.81
32,18,3,23,5,365,281,12.38
100,23,4,21,5,364,284,14.11
101,24,4,20,5,369,283,14.7
32,24,4,21,5,375,283,15.71
62,24,4,22,5,374,282,15.14
99,25,5,23,5,373,282,14.01
101,24,4,21,5,369,281,12.98
114,25,5,22,4,369,279,12.98
118,24,4,23,4,361,279,13.33
97,23,4,23,3,355,278,10.89
110,26,3,24,4,353,278,11.01
116,22,3,23,3,347,277,10.54
101,20,4,26,4,344,276,9.05
115,20,3,23,4,348,275,10.11
32,21,3,24,4,348,276,10.39
115,25,4,22,4,365,281,11.86
97,29,4,20,4,370,281,11.01
97,26,4,21,5,376,281,13.49
118,24,4,21,4,370,281,12.9
101,27,4,21,5,369,280,12.47
100,18,3,22,4,349,271,11.09
114,18,4,23,4,336,271,8.93
97,19,5,24,4,324,273,7.93
44,26,4,23,4,355,285,10.67
32,27,6,22,4,359,283,11.96
103,26,5,22,4,357,284,11.28
101,26,5,25,4,355,284,10.67
110,25,5,21,4,359,281,10.67
111,17,4,23,5,344,277,9.76
8,23,4,28,5,344,276,9.28
105,22,3,27,3,340,272,7.77
111,20,3,28,4,342,269,7.47
32,20,2,22,3,341,296,11.01
121,23,3,22,3,354,297,11.01
32,24,3,21,3,358,296,12.38
109,27,4,21,3,364,298,14.12
97,22,1,23,2,356,299,11.43
110,22,2,23,3,351,297,10.54
99,22,2,22,4,350,292,10.39
111,20,2,23,4,345,287,9.68
32,18,2,24,2,343,280,8.99
101,25,4,23,4,357,289,11.36
115,23,4,21,3,363,288,13.06
116,25,3,22,4,364,286,13.58
101,22,4,24,4,361,282,12.46
32,17,4,22,5,356,280,11.01
101,17,5,21,5,348,281,10.04
115,17,3,22,4,337,281,9.69
32,16,4,22,4,339,281,9.76
108,22,5,20,4,361,286,12.72
111,24,5,22,5,363,286,13.73
112,24,3,23,5,367,285,12.9
101,25,4,23,5,367,285,12.04
32,26,4,23,4,364,284,11.01
100,25,3,23,4,361,283,11.62
101,24,3,22,5,360,284,11.43
32,25,3,24,4,358,283,10.67
118,23,2,22,4,365,286,10.82
101,26,3,21,5,367,286,10.67
103,?,?,25,2,346,279,9.28
97,18,3,21,4,336,277,7.52
44,25,6,21,5,354,293,12.39
32,24,4,22,4,357,292,12.47
101,25,4,22,4,372,289,13.55
115,25,6,20,5,374,289,13.88
116,24,4,20,5,371,290,13.31
101,24,5,23,5,367,289,13.22
32,24,5,20,5,372,288,13.55
103,23,4,21,4,370,289,13.64
97,23,4,23,4,370,289,13.06
114,23,3,20,5,379,286,13.92
99,25,4,22,4,364,283,11.96
105,22,4,23,4,358,285,11.28
108,26,4,23,4,358,284,11.28
97,24,4,21,4,358,284,11.36
115,23,4,23,3,356,285,10.94
111,?,?,24,4,352,283,10.11
44,26,4,21,4,352,284,12.3
32,25,5,22,4,362,285,11.88
101,26,6,21,5,391,291,16.81
115,26,6,20,5,397,291,17.33
116,25,5,20,5,386,286,16.49
101,15,2,23,3,368,280,13.14
32,15,2,24,3,355,272,11.13
113,26,7,20,4,398,306,18.82
117,24,2,24,4,338,286,8.93
105,23,2,26,3,342,285,9.37
110,26,3,25,3,351,288,11.43
116,23,5,21,4,351,288,11.73
97,15,2,22,3,336,281,7.72
110,16,2,24,3,330,280,7.03
32,16,2,23,3,322,279,7.12
97,27,4,23,3,366,289,13.31
46,24,5,21,5,358,286,12.22
32,24,4,24,4,368,284,12.14
121,23,3,24,5,362,281,12.81
111,24,4,23,5,364,279,12.55
32,25,4,23,5,362,278,12.47
108,23,4,23,5,361,277,12.98
101,24,4,23,5,358,276,11.94
32,27,4,23,4,357,275,11.43
112,24,3,23,5,360,275,12.9
114,24,4,23,5,361,275,12.81
101,24,4,25,4,361,274,12.47
103,19,4,25,5,360,274,12.72
117,20,4,23,5,359,275,12.38
110,19,4,23,4,360,275,12.72
121,24,4,23,4,360,279,13.31
111,24,4,23,5,360,280,12.8
8,25,4,24,4,358,282,11.88
8,25,4,22,5,362,279,13.06
116,26,3,25,4,362,278,13.15
111,20,4,23,4,360,277,12.55
32,21,4,24,5,357,276,11.88
112,18,5,22,5,355,278,10.94
111,27,6,22,5,358,282,11.54
114,23,3,22,5,366,280,12.47
32,26,4,23,5,367,280,12.97
101,24,4,20,5,364,279,12.64
108,24,4,21,5,365,280,13.06
32,24,4,22,5,361,279,12.38
110,24,4,21,5,361,278,12.72
111,26,4,21,5,363,278,12.22
98,25,5,22,5,365,278,12.97
108,25,4,23,5,367,279,13.64
101,24,4,22,5,366,279,12.38
32,24,4,22,5,365,279,12.97
103,26,4,23,5,363,280,12.97
114,24,3,23,4,362,281,12.81
97,25,3,22,5,364,281,11.78
99,23,3,22,5,367,281,13.4
105,23,4,23,4,358,280,11.62
97,19,4,22,5,357,279,11.54
110,18,4,21,5,351,278,11.96
32,18,3,22,5,350,278,10.94
8,16,3,21,5,351,279,12.21
112,22,3,22,5,363,283,12.3
111,25,5,22,5,366,283,12.89
114,25,4,22,5,370,284,12.97
32,24,5,21,5,372,282,14.31
116,24,3,21,5,363,284,12.04
101,25,4,22,5,369,283,12.47
114,26,4,23,5,369,282,12.89
101,24,3,22,5,366,283,12.64
115,25,4,22,4,352,281,11.21
97,24,3,26,3,348,279,10.32
32,17,3,22,5,350,278,9.98
108,25,5,24,4,354,282,11.62
97,27,4,24,4,358,281,10.94
32,24,3,22,5,359,281,11.01
115,24,4,21,5,360,280,11.78
97,26,4,24,4,358,280,11.28
110,18,3,24,4,354,280,11.09
116,17,4,22,5,346,276,10.04
97,18,4,22,4,347,275,9.56
32,23,3,24,4,343,278,9.56
112,26,4,24,4,358,269,9.91
111,24,4,24,4,362,269,9.69
114,25,3,23,4,362,270,11.16
32,16,3,24,3,357,264,9.34
101,25,4,22,4,355,274,11.36
108,24,3,24,5,364,273,12.04
32,27,4,22,5,374,272,13.31
98,26,4,23,5,376,274,14.74
114,26,4,22,5,378,274,15.27
97,25,4,23,5,369,272,13.4
118,22,3,26,5,363,273,11.43
111,16,3,22,4,351,271,10.74
32,16,3,19,3,341,270,10.25
100,16,3,22,4,344,273,11.01
8,25,4,23,5,365,277,12.55
103,25,5,22,6,370,277,13.49
111,25,4,21,5,375,277,13.06
