@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,44,45,46,58,59,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,121,122,225,233,237,241,243,250}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
99,19,1,10,1,375,296,2.37
114,18,1,12,1,372,290,2.78
101,19,1,11,1,371,290,0.77
111,19,3,18,3,372,289,3.39
32,21,3,26,2,369,287,-0.37
113,19,4,22,5,366,291,-1.1
117,19,4,24,2,365,294,0.74
101,11,1,14,1,364,299,1.59
32,18,1,11,1,367,301,2.33
116,17,1,14,2,369,298,2.68
101,16,1,11,2,375,297,3.52
110,18,1,17,1,374,299,3.06
100,18,1,16,1,374,299,4.65
114,17,1,14,1,371,298,3.85
101,15,1,11,1,368,296,2.3
115,12,1,11,1,366,297,2.64
109,21,3,13,4,369,292,2.6
111,21,4,18,4,370,295,4.02
8,20,5,20,3,372,293,4.75
8,23,4,21,7,373,295,-1.47
8,23,5,27,3,376,294,0.37
111,23,4,22,3,377,295,1.81
115,17,4,20,4,381,293,2.21
8,19,3,17,2,387,290,3.32
8,21,4,24,1,388,288,4.32
8,18,4,16,2,390,291,4.05
101,11,1,14,2,389,284,3.41
109,10,2,17,1,388,284,2.68
111,17,5,22,3,390,281,2.25
115,19,6,17,5,393,286,2.53
32,19,5,18,2,394,286,1.83
113,13,2,15,2,390,292,1.87
117,18,2,13,2,388,292,0
101,18,1,11,2,388,291,0.38
32,16,2,14,1,390,289,2.31
118,10,1,11,1,387,290,1.16
111,10,1,9,1,382,291,0.77
108,19,2,17,2,380,291,2.64
118,18,1,17,2,385,299,1.5
101,18,1,19,2,387,298,1.87
114,18,2,21,1,391,301,2.25
32,20,2,22,2,390,306,1.82
97,20,1,26,2,385,307,1.1
116,20,2,24,1,385,308,0.75
114,18,1,18,1,384,306,1.52
225,19,1,10,1,382,301,3.82
115,15,2,34,1,394,297,2.68
32,19,1,?,?,391,295,1.16
8,19,1,11,1,383,299,2.28
44,19,1,13,1,385,300,1.51
32,20,2,18,3,389,301,1.1
121,20,1,19,2,393,301,2.97
101,19,1,24,2,395,303,2.54
110,17,2,18,2,399,300,2.23
100,16,4,8,7,385,293,4.32
111,22,4,12,4,385,295,4.32
32,23,5,28,1,391,299,1.82
111,19,3,14,2,386,308,3.91
116,20,2,19,2,390,306,2.15
114,20,1,24,1,391,304,2.54
97,20,2,24,2,392,304,1.48
32,20,2,16,3,400,301,2.53
118,18,2,27,3,405,303,4.45
101,16,1,28,3,405,301,1.87
122,17,1,38,2,396,301,2.91
32,13,5,9,7,382,296,2.89
114,20,1,37,1,394,302,3.25
8,10,2,11,2,384,302,3.36
101,15,4,12,4,385,299,4.29
114,22,4,19,5,386,300,4.65
114,23,5,23,6,387,300,2.83
101,20,2,21,3,398,307,3.25
116,17,2,21,3,403,306,3.94
101,18,5,8,2,402,300,3.53
115,17,6,11,4,401,296,4.21
8,18,6,14,5,396,313,4.56
8,23,5,11,1,400,305,4.62
8,26,6,20,6,407,313,5.89
8,30,3,28,6,408,318,0.53
97,26,7,26,5,409,316,5.38
110,20,2,15,2,402,306,4.62
116,16,2,39,1,399,300,5.87
101,15,0,?,?,389,298,2.33
115,16,1,?,?,388,296,4.58
44,3,2,?,?,382,297,4.48
32,11,5,6,6,380,294,4.68
115,12,2,11,2,379,298,2.95
237,19,1,18,1,378,303,1.48
32,20,2,20,3,392,304,2.85
101,14,1,16,2,390,300,2.85
115,18,1,13,2,386,300,4.38
99,20,1,13,2,384,301,3.29
97,20,1,11,0,383,300,4.38
112,19,1,9,1,385,299,3.91
97,18,1,10,1,385,299,4.35
109,11,1,12,1,385,296,3.36
111,10,5,10,4,379,294,2.18
115,13,6,12,7,375,293,5.87
32,11,6,13,6,380,294,3.99
100,19,1,15,2,389,298,3.68
101,16,2,11,1,388,295,3.66
32,11,1,11,1,387,293,2.6
108,18,1,15,3,386,293,4.41
97,17,2,14,2,385,293,3.74
32,15,1,12,1,384,293,2.21
109,17,1,37,2,385,293,3.39
105,16,1,36,1,385,291,1.17
101,15,3,35,4,386,288,2.33
114,8,5,?,?,382,282,0
116,11,5,?,?,380,283,0.38
101,13,5,11,8,380,283,0.74
59,10,1,8,1,386,298,3.74
32,22,6,26,2,390,289,2.85
112,16,2,11,2,387,296,4.41
117,17,2,16,4,393,297,2.17
101,22,5,31,1,396,292,3.2
115,22,5,27,2,394,292,2.49
32,19,2,40,4,400,296,1.45
115,16,2,9,3,399,297,2.14
105,17,1,9,2,398,297,3.96
32,20,1,?,?,395,298,1.43
110,23,3,?,?,395,296,3.61
111,23,3,21,3,395,297,2.53
44,20,1,6,2,394,298,2.87
32,19,1,16,2,394,299,3.66
108,18,1,19,1,388,298,3.29
97,19,1,20,2,389,298,2.56
32,20,1,39,1,390,298,1.07
103,18,1,14,1,380,303,2.91
117,18,2,18,2,377,302,0.74
105,19,2,17,2,381,302,3.99
101,19,2,22,1,381,303,2.56
8,21,4,27,5,371,296,0.37
8,22,5,16,4,372,298,2.53
101,20,2,26,2,377,304,1.78
114,19,2,20,3,382,302,1.46
114,19,1,20,2,388,301,0.74
97,21,2,21,4,395,297,1.46
32,18,3,39,2,402,285,3.61
121,17,1,?,?,388,297,2.18
32,18,2,15,3,393,296,3.94
108,20,1,11,1,385,303,3.88
97,20,1,28,1,385,303,2.49
32,20,1,22,3,390,300,3.58
112,15,2,15,2,373,300,2.56
101,19,1,21,2,374,301,1.86
