@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,44,45,46,59,97,98,99,100,101,102,103,104,105,108,109,110,111,112,113,114,115,116,117,118,120,121,122,237}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
97,13,3,18,3,317,187,-7.03
8,10,4,17,3,308,190,-6.35
97,14,3,18,3,310,191,-7.18
8,13,2,18,3,305,194,-6.41
97,13,3,20,3,302,193,-7.45
115,11,4,17,2,304,189,-7.38
237,11,3,19,3,312,191,-6.41
32,15,3,18,3,310,189,-5.33
99,15,3,16,3,310,191,-4.85
111,12,3,18,3,304,194,-6.9
110,14,4,16,3,305,193,-6.53
99,13,4,16,3,305,196,-6.83
101,13,4,16,3,305,197,-5.92
98,13,4,17,2,301,197,-7.58
105,14,4,18,3,302,198,-7.18
100,12,4,16,3,302,199,-6.77
111,13,4,16,2,302,200,-6.35
44,12,4,17,3,298,202,-6.23
32,18,3,17,3,295,201,-7.76
101,15,4,16,3,307,203,-5.13
115,16,4,17,3,310,205,-3.71
116,16,4,15,4,312,206,-3.24
101,17,4,16,4,311,207,-4.13
32,17,3,15,4,310,206,-3.3
101,16,4,15,3,307,205,-4.2
114,15,4,15,3,307,205,-3.81
97,14,4,15,3,306,206,-4.67
32,15,4,16,3,298,206,-5.5
101,16,4,16,4,294,206,-6.41
108,16,3,17,3,294,207,-5.95
32,15,4,16,4,295,207,-7.76
109,17,3,16,3,297,207,-6.8
117,16,4,15,4,301,206,-5.55
110,16,4,15,4,302,207,-5.13
100,14,4,16,4,302,207,-5.09
111,15,3,15,4,304,206,-5.55
32,16,3,14,4,301,206,-6.92
101,18,4,15,4,304,208,-3.74
114,15,4,15,4,303,209,-4.24
97,16,4,16,4,304,208,-5.09
32,16,4,16,4,304,208,-6.06
101,14,3,15,4,304,208,-4.71
108,18,3,14,4,308,207,-3.16
32,18,3,13,5,306,208,-4.96
100,20,3,14,5,302,211,-5.4
101,16,4,16,4,304,211,-6.01
32,16,4,16,4,303,212,-5.09
108,16,4,16,4,303,211,-5.6
111,16,3,15,4,304,212,-5.6
115,17,4,16,4,304,212,-6.01
32,16,4,15,4,304,212,-4.2
109,15,3,16,4,306,212,-5.6
105,16,4,15,3,307,212,-3.74
115,16,4,15,4,308,212,-5.6
116,17,4,16,4,305,211,-3.21
114,17,4,16,4,294,210,-5.04
101,16,4,16,4,293,211,-5.55
8,14,3,16,4,297,208,-6.86
105,19,3,18,4,299,208,-4.91
111,20,4,17,5,300,209,-5.36
115,21,4,17,4,300,208,-5.8
8,19,3,16,4,300,210,-5.9
8,21,4,14,4,299,211,-5.85
8,21,4,17,4,301,211,-5.8
8,20,5,17,4,301,212,-5.45
101,17,4,15,4,305,210,-4.24
114,15,4,15,4,304,207,-5.13
105,16,4,16,3,305,207,-4.63
111,16,4,14,4,304,206,-4.63
115,19,3,14,5,302,206,-5.31
