@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,32,44,45,46,59,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,116,117,118,120,121,122,225,233,237}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
97,18,3,21,1,324,164,0.43
115,16,3,18,1,319,167,0.85
105,16,3,16,1,311,170,0
32,18,3,13,1,324,184,1.26
99,18,2,15,1,323,182,0
111,17,3,17,1,322,183,0.42
110,18,2,14,0,324,181,-0.83
99,17,3,15,1,329,181,-0.41
101,17,3,15,1,330,180,1.25
98,18,3,14,1,323,180,0.41
105,17,3,15,1,307,180,-2.49
100,18,3,13,1,324,182,0.82
111,18,3,15,2,319,181,-0.81
44,17,3,13,2,319,181,0
32,25,5,19,3,322,173,0.41
101,18,3,15,1,327,174,0.42
115,18,3,15,1,331,173,0.41
116,18,4,15,2,314,175,-2.9
101,19,4,15,3,313,187,-4.11
32,20,6,19,3,312,179,-3.61
109,20,5,15,4,312,180,-3.21
117,19,3,14,3,316,186,-4.02
110,19,3,13,3,327,187,-1.2
100,18,4,14,3,319,189,-1.61
111,19,4,12,3,311,189,-2.77
32,20,6,18,4,304,181,-3.12
101,18,3,13,3,314,187,-2.07
114,19,4,14,3,331,189,0
97,18,4,15,2,359,191,3.77
32,19,4,14,2,331,194,1.62
101,18,4,13,3,319,193,-0.81
108,18,4,13,3,313,192,-4.05
32,19,5,13,4,321,186,-3.61
100,19,3,15,2,336,187,2.52
101,19,3,14,2,327,188,0
32,18,3,13,3,322,189,-1.64
108,18,3,12,3,318,185,-2.83
111,18,4,13,2,321,185,-2.88
115,18,4,14,3,327,184,-2.81
32,18,4,14,3,333,184,-0.81
107,18,3,13,3,336,184,1.63
109,18,4,14,2,338,183,1.23
105,18,3,13,3,339,182,2.44
8,25,6,20,3,317,174,-1.59
8,23,6,21,4,318,175,-0.8
8,20,6,20,3,326,176,0
109,18,4,15,2,315,188,-1.57
105,18,4,14,3,317,188,-1.98
115,19,4,15,3,335,188,-0.39
116,18,5,15,3,338,189,0.81
101,19,4,15,3,339,186,0.4
114,19,4,16,2,338,185,1.58
105,18,4,15,3,326,189,-1.18
111,18,4,15,2,321,189,-3.16
115,19,3,15,3,323,189,-2.37
32,18,3,13,2,327,182,-0.4
121,19,4,16,2,333,179,0.4
32,18,4,14,2,334,179,-0.79
108,18,3,13,2,311,184,-3.95
97,19,4,15,2,334,186,0.4
115,19,4,15,2,335,187,0.4
32,18,3,13,3,325,187,-0.79
108,19,4,14,3,324,185,-1.96
101,18,4,14,3,345,185,2.42
121,19,4,14,2,342,184,1.97
101,18,3,14,3,335,182,1.2
110,19,3,15,3,333,181,0.4
100,19,4,15,2,338,179,1.2
97,19,3,13,2,361,176,2.89
115,19,3,14,2,358,176,2.89
32,16,3,15,1,329,163,0
121,18,3,15,2,338,164,0
32,17,3,14,1,345,169,0.42
115,19,5,12,4,331,172,0.42
101,18,5,12,4,322,172,-2.04
32,19,5,15,4,311,173,-3.61
99,18,3,13,2,321,178,0
111,19,3,16,2,324,178,-1.62
110,18,3,13,2,332,177,-0.4
