@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,33,34,40,41,44,45,46,58,59,97,98,99,100,101,102,103,104,105,108,109,110,111,112,113,114,115,116,117,118,120,121,161,191,205,225,233,237,241,243}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
101,24,2,18,2,316,200,6.3
108,29,2,21,2,325,199,8.26
32,25,3,15,2,336,197,8.1
97,21,1,17,2,347,200,12.8
32,23,2,16,3,351,197,11.46
98,22,2,18,2,352,194,11.68
117,25,2,18,3,354,191,12.07
101,22,1,15,2,352,191,12.96
108,22,2,16,3,350,191,12.96
111,22,2,16,2,348,193,13.11
32,25,2,19,2,350,193,12.32
101,21,2,15,2,348,194,13.27
115,22,2,17,2,344,194,12.24
112,21,2,17,2,342,195,12.24
97,21,3,16,2,342,194,11.68
241,20,3,20,5,342,186,12.24
111,30,6,22,7,344,181,11.28
108,24,4,17,5,347,177,11.6
32,22,4,16,3,347,178,11.17
100,24,2,18,4,346,178,9.98
101,22,1,17,2,342,179,8.69
32,22,2,17,3,343,180,9.03
98,23,2,17,2,355,179,10.39
97,24,2,17,2,359,182,12.23
114,22,5,15,5,351,177,10.18
98,17,4,16,9,343,171,9.25
97,18,5,17,5,338,168,7.85
32,20,5,13,7,338,169,7.23
98,22,10,17,5,340,171,7.51
108,22,2,17,2,350,187,11.98
97,24,2,17,2,350,189,11.65
110,25,2,18,2,351,189,11.73
99,24,2,18,3,349,189,11.39
97,24,2,16,2,349,189,11.5
32,24,2,20,2,349,190,11.32
109,23,2,18,2,345,190,11.24
101,23,1,17,3,338,188,9.65
32,21,2,17,2,331,189,7.85
115,21,2,17,2,333,188,7.51
101,20,2,16,2,335,186,9.71
241,20,2,16,2,333,187,8.97
97,23,2,17,3,335,186,10.18
108,20,7,11,6,337,184,8.41
97,20,6,18,4,338,178,9.07
113,20,4,17,5,340,175,9.13
8,26,4,20,4,344,173,9.52
32,21,3,17,3,368,187,10.99
117,19,3,14,4,364,174,9.92
110,18,4,14,4,366,174,9.65
97,16,5,12,5,369,173,10.99
32,25,2,16,2,375,187,11.32
115,22,2,18,3,370,188,10.99
101,23,2,18,2,356,183,11.32
114,22,2,15,2,348,180,10.25
105,23,2,18,2,342,181,9.25
101,24,2,17,3,341,180,8.63
32,25,2,18,2,345,181,9.92
100,23,2,18,2,348,182,9.98
101,22,2,15,2,347,183,9.85
32,23,2,19,3,346,182,9.65
114,23,2,19,2,342,181,10.32
101,23,2,17,4,335,180,8.47
116,24,2,18,3,332,178,8.29
114,22,2,19,2,343,179,11.47
97,24,1,17,2,351,179,11.21
116,23,2,18,3,361,183,12.72
111,19,3,10,1,357,176,13.55
115,18,3,10,3,332,162,9.84
32,22,3,19,3,298,165,7.37
105,20,3,18,3,308,168,8.17
108,22,3,17,2,314,169,9.03
117,24,2,19,2,325,171,8.75
115,24,3,19,3,333,172,10.18
116,24,3,19,2,333,173,9.84
114,21,1,16,2,332,173,9.15
101,22,2,18,1,321,173,9.37
115,22,1,18,3,291,176,6.89
32,29,2,23,2,162,263,-0.52
32,?,?,?,?,204,130,5.08
34,?,?,?,?,285,173,8.7
101,20,3,19,2,264,158,4.68
115,19,1,17,2,310,154,8.71
116,22,3,17,3,331,152,13.73
101,22,3,16,3,330,150,11.73
32,21,2,16,2,329,153,13.35
109,22,2,16,2,324,155,10.84
101,23,3,19,3,324,156,10.84
32,23,3,17,3,328,156,12.19
100,18,2,16,2,334,158,11.45
105,23,1,18,2,335,157,11.84
99,18,5,11,3,332,150,11.04
101,18,3,16,3,316,144,9.68
44,15,3,11,3,329,144,10.69
32,23,6,20,5,357,149,12.38
101,23,3,16,4,367,156,11.09
115,23,2,19,2,362,158,13.83
32,20,2,15,3,356,158,13.06
101,20,2,16,2,346,158,12.98
108,22,3,18,3,339,157,12.04
32,23,2,18,3,335,158,9.63
103,23,2,17,3,340,157,8.87
114,23,2,13,3,366,160,10.25
97,21,2,16,4,377,162,13.14
110,23,2,15,4,379,165,13.79
32,23,3,18,2,373,164,13.88
100,20,2,17,2,358,162,13.4
111,22,2,18,3,354,163,12.22
110,21,3,15,3,354,160,12.55
32,23,2,18,2,355,162,11.62
109,22,2,18,2,357,162,13.98
105,23,2,18,3,362,162,14.54
103,20,3,16,4,362,160,10.18
117,24,3,15,5,362,155,9.92
101,23,4,19,4,360,148,13.22
108,21,7,19,4,359,147,12.47
32,20,7,15,8,349,145,9.58
100,25,3,19,3,360,154,12.72
101,25,3,18,3,357,156,12.39
32,21,2,18,3,354,156,11.01
99,24,2,17,3,354,156,11.54
101,24,2,18,4,358,154,12.55
114,24,2,17,3,354,153,12.14
118,23,2,18,2,347,155,10.18
97,22,2,17,3,344,155,9.22
110,23,2,17,2,344,155,10.18
116,22,3,18,2,345,153,12.38
101,24,2,20,2,348,150,12.04
115,24,2,18,3,354,146,11.7
32,24,2,18,3,353,145,11.96
115,26,2,19,2,347,143,11.47
97,22,3,17,3,343,142,10.32
97,23,2,17,2,346,145,10.67
118,24,2,18,2,352,143,11.43
101,23,3,17,3,353,145,12.02
100,22,2,17,2,341,145,8.4
114,20,3,13,2,335,142,8.58
44,19,2,16,2,329,157,9.47
32,21,2,15,3,330,157,5.75
103,20,3,14,5,330,153,5.04
101,20,2,15,2,333,153,9.05
110,21,2,14,3,331,153,6.82
105,19,2,13,1,328,149,9.69
111,17,5,17,4,325,143,8.93
32,20,3,15,3,337,156,8.4
121,21,3,15,3,343,159,8.64
32,20,2,15,2,345,159,10.11
109,22,2,15,2,347,158,11.86
97,21,2,15,3,337,161,9.05
110,22,2,15,4,334,159,8.93
99,19,2,14,5,330,157,6.55
111,21,2,17,3,326,158,10.67
59,19,7,19,5,341,144,11.58
32,23,5,14,4,281,151,7.78
233,21,3,15,6,320,143,9.22
115,25,5,16,3,359,157,15.73
116,27,4,22,4,371,166,17.57
101,28,3,19,4,355,165,14.27
32,28,2,20,3,350,165,12.79
101,23,1,15,2,338,169,12.12
115,24,2,18,2,322,167,10.85
32,22,2,16,2,310,165,9.25
108,23,3,17,2,304,163,8.36
111,25,2,16,3,304,159,7.73
112,25,2,21,2,309,156,6.99
101,26,2,20,3,317,153,9.01
32,26,3,21,3,320,152,9.4
100,25,2,20,3,318,152,8.68
101,23,2,18,3,317,151,9.07
32,24,3,18,3,317,150,9.01
118,26,3,19,4,321,148,7.37
101,25,3,18,4,329,142,8.41
103,20,5,14,4,331,136,10.05
97,19,4,18,4,326,130,8.36
44,23,2,17,2,305,166,8.9
32,21,3,16,4,308,170,11.25
233,26,2,22,2,331,179,10.69
115,27,3,19,3,330,178,12.56
116,21,4,13,3,330,174,11.79
101,22,4,12,4,327,162,12.18
32,19,4,13,4,321,150,9.74
102,27,3,21,4,341,156,11.14
8,21,4,17,3,324,159,11.07
103,25,3,20,2,324,159,10.7
97,23,2,18,4,331,158,9.52
114,26,3,21,4,344,160,11.75
99,24,2,19,3,356,162,14.36
105,23,3,19,3,359,164,15.49
108,25,3,20,3,349,161,13.03
97,27,3,21,3,349,160,13.19
115,21,2,19,2,339,157,11.35
111,20,3,16,4,326,153,9.93
44,24,1,17,1,296,154,10.44
32,25,2,20,2,304,154,9.16
233,26,3,21,3,304,161,10.44
115,26,2,21,2,299,162,8.95
116,25,2,20,2,303,160,9.34
101,26,3,21,3,307,159,10.25
32,26,2,22,2,312,160,9.54
113,26,2,19,3,313,160,9.5
117,24,2,19,2,312,161,10.56
105,24,2,19,2,310,162,9.68
110,23,3,20,2,310,159,9.73
116,25,3,18,3,316,157,10.12
97,26,2,18,3,325,156,9.85
110,20,2,14,2,330,153,10.77
97,16,2,11,2,319,149,10.5
46,20,2,16,3,297,151,6.2
32,21,2,16,2,298,152,7.47
34,26,3,21,4,314,158,7.37
32,28,3,20,4,340,159,8.91
121,23,2,15,3,368,163,12.09
111,21,2,13,3,365,163,12.64
32,21,3,14,5,359,163,9.93
108,23,3,19,3,359,161,14.4
101,25,3,19,2,349,159,12.64
32,24,2,19,2,342,155,11.32
112,23,2,18,3,337,154,9.31
114,22,2,17,2,332,151,9.43
101,25,3,18,3,330,148,8.91
103,23,2,19,2,330,146,9.98
117,21,2,16,3,330,145,7.61
110,25,7,20,5,328,140,8.86
116,23,7,19,5,330,137,8.13
111,21,6,20,5,332,138,9.25
32,22,4,18,4,344,140,9.65
112,21,8,17,4,346,142,10.91
111,25,3,19,3,346,145,11.65
114,24,4,19,4,348,147,12.39
32,22,2,16,3,346,146,10.39
101,22,3,16,3,346,146,10.72
108,21,3,19,3,346,147,10.94
32,21,2,17,2,349,147,11.88
110,23,2,17,3,352,147,11.21
111,22,2,18,2,354,146,11.36
98,24,3,18,3,356,146,12.89
108,23,3,17,2,354,148,12.64
101,19,6,18,3,351,142,11.39
32,23,4,17,4,359,145,11.57
103,24,3,17,4,379,156,14.72
114,26,3,18,5,378,156,13.62
97,25,3,21,4,377,157,14.03
99,22,2,18,3,363,159,9.6
105,23,3,17,2,355,157,13.91
225,25,3,18,3,351,164,14.76
110,24,5,17,4,349,157,12.56
44,22,2,16,2,344,170,12.96
32,21,3,17,2,343,169,13.36
112,20,3,17,3,343,167,12.8
111,25,3,20,3,344,168,12.64
114,25,3,20,3,348,167,12.96
32,24,3,19,4,348,166,12.56
116,26,2,18,4,372,169,12.64
101,25,3,18,3,386,168,13.99
114,25,3,18,4,373,161,13.12
101,25,2,18,4,371,159,11.83
115,24,3,19,4,371,160,13.21
97,21,4,13,5,363,152,14.36
32,23,3,18,3,312,158,10.49
108,26,3,22,2,315,160,10.8
97,27,2,21,3,317,160,9.62
32,26,2,20,3,318,161,9.31
115,24,2,18,2,319,157,10
97,24,2,19,2,318,156,8.52
110,23,2,20,2,324,154,9.54
116,21,5,16,4,328,144,10.18
97,23,10,14,6,331,138,8.42
44,22,2,18,2,293,154,10.18
32,21,3,19,2,297,157,9.37
112,26,3,21,3,300,158,8.11
111,26,3,22,3,306,160,9.5
114,26,3,22,2,304,158,9.19
32,24,2,21,2,303,159,10.06
101,23,2,17,2,301,159,8.57
108,23,2,20,2,302,158,8.73
32,24,2,20,3,305,160,9.31
98,25,2,20,2,308,159,9.93
114,26,2,22,3,316,160,9.8
97,26,2,21,2,316,161,10
118,23,3,19,3,315,163,10
111,23,2,19,3,315,161,9.42
32,25,2,20,2,315,160,10.44
103,18,8,11,4,299,142,7.13
243,25,1,20,2,303,163,8.99
110,26,2,20,2,309,163,10.43
103,25,2,20,1,320,165,11.18
111,27,2,22,2,322,164,10.67
114,24,2,19,3,320,162,10
97,18,6,14,6,291,143,5.71
32,15,5,12,6,291,135,5.71
121,24,2,18,3,345,147,11.1
32,24,3,19,3,355,146,12.64
101,22,2,16,2,362,149,14.85
108,22,2,17,3,357,150,14.05
32,24,3,17,2,351,150,13.11
109,17,4,12,4,339,142,11.53
225,25,2,21,3,332,152,8.87
115,17,4,12,4,329,148,9.15
32,17,4,11,4,351,151,12.32
102,23,2,19,2,379,169,15.78
117,24,2,18,3,376,166,14.49
101,26,3,18,3,375,164,14.1
114,24,2,19,3,363,157,11.14
116,26,3,20,4,360,154,13.65
101,24,3,19,3,363,152,13.51
32,24,2,18,3,366,152,10.96
100,25,2,18,3,367,154,10.12
101,23,2,21,3,367,153,11.92
32,26,2,19,2,362,154,12.64
116,22,1,16,2,351,151,12.64
111,18,1,12,1,339,144,10.93
100,26,4,21,3,352,153,13.42
101,27,3,21,4,348,154,11.25
8,27,5,22,5,352,150,11.53
111,22,3,18,3,357,158,13.99
115,25,2,19,3,363,161,14.13
44,25,4,20,4,360,148,13.36
32,23,6,21,3,358,149,13.51
100,26,3,18,3,353,156,12.8
111,22,3,17,2,344,159,12.32
110,24,3,17,2,346,159,11.92
32,23,3,17,3,355,160,13.36
102,24,2,15,3,378,166,13.59
114,26,3,15,4,388,166,14.13
97,23,2,16,2,393,166,17.85
99,22,3,16,2,351,154,14.13
8,20,2,16,2,347,161,16.39
110,24,3,21,2,362,167,18.32
99,23,3,19,3,364,168,19.21
105,24,3,20,2,366,167,16.8
115,24,4,23,3,368,165,16.91
99,21,6,16,3,367,159,15.47
111,22,5,17,7,365,156,14.97
32,18,5,14,6,337,147,8.9
100,24,3,18,3,339,161,10.84
101,22,4,17,3,335,160,11.53
32,22,3,17,3,333,161,10.82
113,23,3,16,3,334,161,11.85
117,25,4,18,3,338,161,9.86
101,25,4,19,3,347,162,11.92
118,25,2,18,2,357,165,13.51
101,24,3,18,3,360,162,14.31
100,22,2,17,2,359,162,14.22
111,20,3,16,2,351,163,14.22
32,23,4,16,3,346,161,14.44
121,23,4,17,2,343,160,13.12
32,23,3,18,2,344,159,12.88
118,20,2,18,2,345,161,13.36
105,22,3,17,2,343,160,12.96
108,23,2,18,2,342,159,11.83
108,23,3,18,2,339,159,11.1
101,21,2,17,3,336,158,11.5
103,24,3,19,2,339,159,12.31
97,23,5,15,6,344,156,10.91
115,19,6,17,4,343,149,11.75
32,22,6,15,5,340,143,10.7
8,20,3,17,2,317,173,13.18
46,21,4,17,2,349,175,17.31
32,19,5,18,4,334,146,12.33
100,26,4,19,3,382,161,15.88
101,23,2,20,3,388,160,17.96
115,21,3,17,3,386,160,17.63
112,23,2,20,2,344,169,13.57
117,24,3,19,3,342,167,11.92
233,24,2,19,2,329,173,10.82
115,21,7,17,7,328,163,11.07
32,22,5,19,4,305,152,7.45
101,26,1,18,2,332,167,10.12
120,26,1,21,1,329,179,10.31
99,23,1,17,1,325,179,10.85
108,24,2,18,2,325,174,10.85
97,25,2,19,2,330,173,11.11
109,23,2,16,3,333,170,9.93
111,22,2,15,2,332,167,9.25
58,22,1,18,2,337,176,11.63
32,26,2,21,2,342,173,13.42
191,29,8,32,8,195,168,-1.81
8,29,2,24,2,186,169,-2.86
161,39,9,32,10,195,161,-1.76
115,24,4,13,3,476,193,21.8
115,22,3,19,2,428,192,20.41
97,33,6,22,9,385,165,14.76
114,18,3,8,5,329,137,3.54
101,18,9,15,4,309,131,7.98
32,22,13,21,8,228,123,2.17
8,24,3,17,2,281,156,7.2
161,?,?,?,?,146,168,-2.33
100,20,3,15,2,464,177,26.7
97,22,4,17,2,451,178,23.65
110,24,5,18,2,439,176,21.93
116,25,3,20,3,439,168,20.53
101,24,3,18,3,441,169,20.61
33,29,7,23,7,437,188,18.26
32,18,6,21,7,176,134,-2.31
161,26,4,27,3,110,171,-2.87
104,26,2,21,3,382,193,13.92
117,29,3,24,3,384,187,14.86
103,27,3,23,3,358,183,14.28
111,27,3,21,2,343,185,11.37
