@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {8,13,32,48,49,50,51,52,53,54,55,56,57,112}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
50,21,3,18,3,382,178,13.44
48,26,7,23,5,395,146,13.46
32,24,5,21,5,361,139,11.17
49,27,4,20,3,362,164,14.31
50,24,6,20,6,360,157,13.87
51,25,5,19,4,368,166,15.28
52,23,6,20,6,359,156,14.36
53,23,6,20,6,352,155,13.87
54,17,4,16,4,321,156,10.75
55,22,4,15,3,289,151,6.82
56,24,5,19,6,234,140,-2.64
57,28,7,21,6,180,137,-8.78
48,23,6,21,6,164,128,-7.5
13,21,6,19,5,291,176,10.69
32,22,5,19,5,277,177,9.12
49,23,2,19,2,302,186,12.38
50,18,1,18,1,283,177,8.58
51,17,2,18,2,254,168,4.92
52,16,2,18,2,220,161,-0.77
53,16,3,19,2,196,157,-4.35
54,16,2,18,2,193,156,-4.71
55,13,3,17,2,185,156,-4.28
56,13,4,16,2,183,154,-3.95
57,12,4,16,2,183,152,-3.61
48,22,4,20,4,170,155,-3.78
32,22,4,19,4,190,171,-2.59
49,27,4,21,3,215,175,2.64
50,26,3,21,3,208,175,1.14
51,25,3,20,3,204,174,1.14
52,24,3,19,3,197,174,-0.76
53,20,3,18,2,195,174,1.14
54,16,2,16,2,192,175,0.38
55,14,2,15,2,187,175,-0.37
56,15,4,15,3,181,177,-0.37
57,14,3,15,3,178,176,-1.85
48,14,4,14,2,173,177,-1.88
32,19,2,20,2,174,179,-2.98
49,22,3,20,3,184,180,-2.27
50,23,3,20,3,183,179,-2.25
51,26,3,20,2,181,180,-2.25
52,18,3,19,3,174,179,-3.02
53,19,3,19,3,168,178,-3.43
54,19,3,16,2,157,177,-5.25
55,18,4,16,3,148,177,-6.41
56,19,4,16,3,143,176,-6.78
57,21,4,15,3,137,178,-7.52
48,19,4,14,3,137,179,-7.42
32,22,4,17,2,139,180,-7.36
49,21,3,22,3,159,180,-5.7
50,26,3,21,3,155,181,-6.36
51,26,4,22,4,150,183,-7.1
52,26,3,21,3,149,183,-7.47
53,22,3,20,2,146,182,-7.05
54,21,4,18,3,139,178,-8.94
55,19,4,16,2,134,178,-8.87
56,20,5,16,3,131,178,-9.3
57,20,4,15,3,122,176,-10.83
48,19,3,15,2,121,176,-10.54
32,21,4,16,2,121,178,-10.83
49,27,4,22,2,145,180,-6.78
50,25,3,21,3,142,178,-8.7
51,20,4,21,3,139,179,-9
52,20,3,21,2,137,179,-9.44
53,20,4,21,3,132,177,-10.1
54,22,5,19,3,128,177,-10.47
55,19,4,16,3,120,177,-11.27
56,21,4,16,3,107,179,-14.14
57,20,5,15,4,95,179,-15.2
48,20,5,15,3,90,179,-16.01
32,20,4,17,2,97,181,-16.36
49,25,2,21,2,128,181,-10.4
50,25,4,20,3,126,180,-11.63
51,20,4,20,2,118,180,-12.98
52,18,4,21,2,117,178,-12.54
53,21,4,20,3,116,180,-12.08
54,19,3,20,3,113,179,-12.81
55,18,5,18,3,104,180,-14.24
56,21,4,16,3,102,180,-15.31
57,20,5,15,3,99,179,-14.35
48,20,5,15,4,95,180,-15.88
32,22,5,15,3,97,183,-16.12
49,20,2,21,2,121,181,-13.26
50,26,3,22,2,115,181,-14.5
51,23,4,22,3,108,181,-15.77
52,20,3,20,2,106,180,-14.81
53,19,5,20,3,100,181,-15.88
54,19,5,16,3,96,179,-17.18
55,20,5,16,4,92,180,-17.18
56,19,5,15,3,90,180,-17.18
57,19,5,15,3,90,182,-16.47
48,20,5,14,3,88,183,-18.11
32,25,5,20,2,94,185,-18.2
49,25,4,21,3,122,182,-13.26
50,27,3,22,2,113,184,-14.6
51,21,4,20,2,111,181,-14.7
52,20,4,21,3,109,181,-15.06
53,20,4,20,2,106,182,-15.77
54,20,5,19,3,104,183,-14.5
55,21,5,18,3,99,183,-17.05
56,19,5,15,2,96,184,-17.98
57,19,5,14,3,91,184,-16.94
48,20,4,15,3,85,184,-20.49
32,20,4,14,3,84,185,-19.01
49,26,2,21,2,118,181,-15.06
50,25,3,21,3,113,181,-14.6
51,17,3,20,2,103,183,-16.36
52,18,4,20,2,101,183,-16.59
53,19,5,19,3,106,184,-16.36
54,19,4,16,2,126,186,-14.04
55,15,3,15,3,140,186,-9.24
56,14,4,14,2,143,188,-8.57
56,16,4,16,3,139,189,-8.15
8,21,3,15,2,207,190,-1.39
57,20,4,16,2,209,184,-1.4
48,22,5,17,2,169,179,-4.25
32,23,4,17,2,143,182,-8.39
49,27,2,20,2,191,184,-3.38
50,20,2,15,2,263,177,4.32
51,21,2,19,3,322,168,14.69
52,15,2,17,3,346,163,19.11
53,14,2,17,3,342,162,15.84
54,16,2,18,2,344,163,13.98
55,17,2,17,3,362,168,16.11
56,13,2,17,2,366,173,17.33
57,15,2,15,3,355,174,14.78
48,14,2,16,3,331,173,10.56
32,24,3,20,3,328,172,10.34
49,23,3,20,2,323,171,10.03
50,22,3,19,3,316,168,8.26
51,24,2,19,3,321,167,7.94
52,23,3,19,3,314,163,7.05
53,17,2,17,2,274,158,1.2
54,18,2,18,3,256,159,0.4
55,15,2,16,2,276,158,1.2
56,15,2,16,2,302,162,7.94
57,13,2,16,3,307,169,8.46
48,13,2,16,3,309,173,10.18
32,24,3,20,4,321,176,11.67
49,23,2,19,3,333,175,12.93
50,24,3,18,3,305,171,8
51,23,3,20,3,295,171,6.52
52,20,3,18,2,327,171,8.92
53,20,2,18,3,337,169,11.67
54,17,2,18,2,314,160,5.97
55,14,2,17,2,319,160,8
56,14,3,18,3,322,166,9.39
57,13,2,16,3,320,168,10.75
48,12,2,14,2,320,171,11.06
32,24,2,19,3,325,172,11.37
49,24,3,21,3,322,174,10.26
50,23,3,19,3,318,174,9.86
51,20,3,20,2,315,173,8.59
52,24,2,19,3,287,169,4.03
53,20,2,19,2,264,168,-0.4
54,18,2,19,2,248,166,-2.06
55,16,3,20,2,240,163,-4.49
56,17,3,18,2,238,164,-3.24
57,16,3,16,2,236,163,-4.45
48,16,3,16,2,243,165,-2.81
112,18,3,19,2,252,166,-1.19
32,19,2,20,2,269,168,0.4
49,24,3,19,2,302,170,7.6
50,25,3,20,2,297,170,6.37
51,19,2,17,2,267,166,1.59
52,24,2,19,2,243,167,-2.79
53,18,2,20,2,236,167,-2.86
54,16,2,18,3,233,167,-2.9
55,17,3,14,2,219,165,-6.15
56,19,3,17,2,206,165,-9.16
57,18,3,16,2,196,166,-9.38
57,18,4,17,3,192,167,-9.93
8,13,2,14,2,308,186,10.18
48,15,3,15,3,326,188,12.46
32,25,3,20,3,347,188,16.12
49,25,3,21,3,342,186,15.53
50,23,3,21,3,306,177,11.16
51,21,3,21,2,273,170,5.5
52,20,3,19,2,246,166,0.8
53,18,2,19,2,227,167,-2.77
54,18,3,21,2,214,165,-5.17
55,17,3,20,2,212,166,-4.42
56,17,3,17,2,211,164,-5.21
57,16,3,19,2,212,163,-4.82
48,15,3,16,2,226,161,-1.63
32,13,3,13,2,258,163,3.62
49,21,2,18,3,293,168,9.71
