@relation pressed_keys

@attribute pressed_key numeric
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
50,21,4,27,4,298,263,1.09
48,21,4,28,4,300,263,1.82
32,21,3,27,4,304,264,1.09
49,25,2,26,2,308,266,2.53
50,24,2,27,2,308,266,2.53
51,24,2,29,2,306,264,2.17
52,23,2,27,2,304,264,1.1
53,23,2,26,2,303,262,0.74
54,22,2,29,3,300,259,1.1
55,20,2,28,2,301,259,1.1
56,20,3,29,3,304,262,1.81
57,18,2,27,2,299,263,1.11
48,28,4,?,?,294,265,0.0
32,25,2,29,3,306,264,1.45
49,23,2,27,2,313,272,2.21
50,23,2,25,2,311,271,1.46
51,21,2,28,2,312,272,1.83
52,24,2,28,2,313,272,2.54
53,21,2,26,2,309,269,2.21
54,20,2,28,2,303,267,1.48
55,21,2,27,2,294,265,0.0
56,21,2,28,3,290,265,0.0
57,20,2,27,3,279,266,-1.08
48,19,2,29,3,290,267,-0.72
32,20,2,27,2,313,271,2.58
49,27,2,24,2,324,275,3.91
50,25,2,26,2,323,275,3.96
51,23,3,25,3,324,274,3.27
52,26,3,23,2,323,275,2.87
53,23,2,25,3,321,275,2.51
54,23,2,27,2,318,270,2.56
55,19,2,28,2,313,269,2.56
56,20,2,27,2,307,270,0.36
57,23,2,28,3,306,268,0.0
48,22,2,28,3,308,269,0.37
32,26,3,28,4,320,273,1.43
49,25,2,28,2,322,269,2.89
50,23,2,25,2,321,270,2.58
51,24,2,26,2,320,270,2.21
52,24,2,24,2,323,271,1.81
53,22,2,25,3,319,270,1.11
54,22,2,25,2,310,267,1.12
55,21,2,27,2,306,266,0.0
56,20,2,27,3,294,267,-1.45
57,19,3,28,3,284,266,-2.19
48,19,2,29,3,295,267,-1.44
32,26,2,23,2,325,270,0.37
49,25,2,23,2,327,273,1.09
50,27,2,29,4,324,271,1.78
51,25,2,29,3,314,269,0.37
52,23,2,28,2,311,269,0.0
53,24,2,30,3,308,269,-0.72
54,21,2,30,3,307,269,-1.1
55,21,2,29,3,304,266,-0.74
56,19,2,28,2,298,268,-1.86
57,19,3,32,3,295,267,-1.8
48,23,1,29,2,298,268,-1.8
32,24,1,28,2,313,271,1.85
49,24,2,27,2,320,274,2.95
50,24,2,28,2,319,274,1.85
