@relation pressed_keys

@attribute pressed_key numeric
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
114,20,3,23,2,369,232,-1.06
101,22,4,23,2,373,233,-0.35
116,21,4,21,1,372,236,0.35
105,19,4,20,1,361,236,0.0
114,23,3,24,2,353,239,-0.69
97,21,3,27,2,358,241,-1.42
115,23,4,23,2,359,237,-0.67
101,23,5,24,1,361,242,0.69
32,17,4,22,1,363,237,0.0
100,20,4,24,1,362,240,0.0
101,22,2,23,2,364,234,-2.42
32,21,4,24,2,364,238,-1.03
108,13,3,20,1,357,238,-3.09
97,16,3,23,1,359,237,-1.69
32,27,2,25,3,361,239,-1.01
112,18,2,20,2,355,240,-0.67
117,19,1,22,1,352,240,-0.69
101,21,2,25,2,354,239,-1.03
114,22,4,24,2,355,240,0.0
116,25,5,25,3,355,234,1.02
97,25,6,27,6,355,227,-1.7
44,22,6,26,7,361,223,-1.33
32,22,6,23,4,360,231,-0.68
113,22,2,25,2,363,232,-1.03
117,21,3,20,1,361,234,-1.03
101,23,2,22,1,362,232,-1.03
32,23,2,22,2,362,230,-1.38
101,19,3,19,2,358,232,-0.34
108,16,3,20,1,365,232,-1.72
32,19,4,23,1,367,234,1.39
118,20,3,23,1,366,232,0.0
105,15,4,21,2,363,232,0.71
101,21,4,23,1,366,231,-0.69
110,14,4,22,1,366,233,1.43
116,21,4,21,2,371,233,2.46
111,13,5,19,2,377,234,0.7
32,19,5,21,2,372,233,0.0
98,17,3,21,1,371,236,0.71
97,24,3,23,2,371,231,-0.34
116,21,3,21,2,372,233,1.76
101,20,2,21,2,370,236,0.0
32,21,6,22,8,370,225,-2.37
108,17,3,18,2,367,235,-0.7
111,17,4,19,3,368,232,0.35
99,21,4,23,2,366,234,0.35
97,23,2,24,1,366,231,-1.4
109,24,3,25,2,368,232,-0.34
101,23,3,24,2,365,231,-2.08
110,21,3,23,2,368,230,-1.74
116,20,4,21,1,366,234,1.05
101,19,4,23,2,365,233,1.06
32,20,6,22,7,368,228,-2.34
99,23,3,21,2,366,238,0.0
111,18,4,20,4,371,236,-0.34
110,17,3,22,2,369,236,-0.35
32,14,2,21,1,368,237,-1.06
117,20,4,21,2,366,232,1.39
110,17,4,21,2,369,233,0.72
32,16,3,20,1,370,235,1.78
102,23,4,22,2,368,233,1.04
114,21,4,22,2,369,232,0.71
97,23,3,23,2,368,236,1.06
99,20,5,22,2,370,233,1.76
97,20,3,22,2,370,233,1.06
115,23,4,25,2,371,233,0.0
111,17,5,20,2,368,234,1.41
32,18,6,21,7,367,226,-2.03
100,20,3,22,2,367,235,-0.7
101,22,4,24,2,370,232,0.7
32,23,3,24,2,370,231,0.35
99,15,5,19,2,365,234,1.06
114,21,2,22,2,371,232,0.35
105,17,2,19,3,376,230,0.0
115,20,3,21,1,378,228,-0.35
116,23,3,24,3,375,226,-0.34
97,25,3,25,3,371,225,1.04
108,19,4,21,2,374,228,1.41
101,22,3,22,1,377,230,1.42
115,23,4,24,3,375,224,0.72
44,17,6,19,9,371,220,-1.7
32,17,5,19,7,372,221,-2.03
121,17,5,19,7,372,224,-1.7
32,21,6,22,6,372,223,-2.04
101,20,3,20,2,371,229,-1.05
110,21,3,20,2,377,228,0.0
116,20,3,22,2,376,225,-1.05
114,22,4,23,2,374,224,-0.35
101,22,3,22,2,373,223,-1.04
116,22,5,22,2,375,228,0.0
101,24,3,22,2,375,227,0.36
110,15,5,18,8,376,222,-1.36
105,18,4,19,2,376,233,1.06
100,19,3,21,1,376,234,-0.71
111,14,4,19,2,375,230,1.77
32,14,5,19,2,374,231,0.0
114,22,3,21,1,373,232,0.0
101,21,2,24,3,377,228,-1.06
99,21,4,21,2,381,233,1.78
111,19,4,19,2,375,232,1.76
114,22,3,22,3,374,230,1.42
114,22,3,23,2,376,231,2.46
101,23,4,24,2,378,230,1.76
32,?,?,16,6,374,226,-0.72
108,18,4,19,2,370,234,0.7
97,24,3,24,1,373,235,0.0
32,23,3,23,2,373,230,-0.7
97,20,2,23,1,376,234,1.78
110,19,4,22,1,379,235,1.09
116,21,5,21,2,381,231,2.12
101,20,4,22,3,382,228,0.72
115,22,3,23,2,386,233,1.77
97,21,3,23,2,384,236,0.36
108,15,4,19,2,381,236,1.41
97,18,2,19,1,380,238,1.77
32,14,6,18,8,378,225,-2.43
100,21,3,24,2,380,237,0.0
101,22,4,22,2,381,233,1.4
32,21,3,24,3,380,233,1.06
117,17,3,20,1,380,235,2.48
110,17,3,21,3,380,238,1.81
111,17,3,20,2,376,235,1.42
32,14,5,18,8,377,225,-0.68
97,22,4,24,3,378,238,1.06
32,23,2,24,2,378,230,-0.7
111,16,4,19,4,375,232,0.0
116,21,3,22,2,379,233,0.71
114,20,4,23,3,381,232,-0.36
111,19,3,20,2,385,238,0.71
32,13,5,15,8,381,227,-1.02
116,19,4,21,3,388,236,1.77
101,22,4,22,3,387,238,1.42
115,19,2,22,3,384,237,0.72
116,21,4,23,2,383,237,2.12
101,22,3,22,3,381,231,0.0
114,17,2,23,2,386,241,1.43
111,15,3,20,3,386,241,0.71
46,13,3,20,1,384,241,0.72
32,23,6,23,6,382,231,-0.33
108,16,2,17,2,384,237,1.44
97,24,3,22,2,384,241,1.76
32,24,3,25,3,384,236,1.05
118,21,4,23,3,381,239,2.12
105,17,4,22,3,384,240,1.06
101,22,4,23,1,381,239,2.79
106,21,3,23,2,381,237,2.11
97,20,4,24,1,380,239,2.44
44,18,3,21,1,383,242,1.42
32,16,3,21,3,387,241,2.11
121,18,5,21,3,387,238,2.81
32,20,4,22,3,384,236,0.71
101,20,2,23,2,380,237,1.05
108,15,4,19,2,382,237,2.48
32,15,2,21,3,383,242,1.07
98,20,3,20,2,380,240,1.43
117,19,2,20,3,381,236,1.07
102,16,2,19,2,381,241,0.72
111,17,5,20,3,385,238,3.16
110,18,2,22,2,385,242,1.42
44,18,3,20,2,382,245,0.0
32,20,4,21,2,382,239,1.06
104,18,3,20,2,383,242,1.41
97,24,3,24,3,382,237,1.06
98,16,2,19,2,382,236,1.42
108,15,3,18,3,377,237,0.36
97,15,4,19,1,382,241,2.46
110,23,4,25,1,379,239,3.51
100,18,3,22,2,378,237,0.36
111,18,3,20,2,383,241,1.76
32,22,6,23,8,379,232,-0.67
113,24,3,26,4,378,236,-0.34
117,22,2,22,1,379,237,0.7
101,21,2,22,2,378,236,1.41
100,23,2,22,2,378,237,0.71
111,18,2,20,2,380,236,1.42
32,21,7,22,8,376,233,-0.67
121,21,3,20,3,381,239,1.04
32,21,3,21,2,380,237,1.05
115,23,3,22,2,376,239,0.0
117,19,3,20,3,376,237,0.0
115,23,3,24,2,379,240,1.05
112,14,3,17,3,381,237,1.41
105,20,2,20,2,380,237,0.7
114,22,3,22,2,381,237,1.05
97,21,4,24,2,381,242,2.44
99,19,5,22,2,382,242,2.81
105,18,4,20,2,382,238,2.09
111,18,5,20,2,380,240,3.12
110,20,3,22,2,378,238,1.06
101,22,3,24,2,379,237,1.06
115,23,3,24,3,379,236,1.41
8,20,5,22,6,381,233,-1.02
8,24,6,25,7,379,234,-1.34
8,24,6,28,5,380,234,-1.0
8,23,5,25,7,379,234,-1.01
8,23,6,25,7,380,235,-0.33
8,22,5,25,8,381,235,-1.02
8,24,6,24,8,381,235,-0.33
8,23,6,23,7,381,235,-0.67
114,22,2,22,3,380,238,0.7
97,25,2,25,3,380,242,0.35
110,16,2,20,3,384,241,1.73
116,20,2,21,2,385,244,1.76
101,21,3,25,2,380,240,0.71
115,23,3,25,2,381,240,1.4
44,18,3,20,1,367,233,1.42
32,20,4,21,2,368,231,1.76
98,20,3,20,1,372,231,3.2
97,17,4,23,1,376,232,2.83
106,17,3,23,2,377,233,3.22
97,19,3,20,2,376,229,1.07
110,16,3,22,2,374,229,0.36
32,19,6,20,7,373,226,-0.67
97,23,3,23,3,374,233,0.36
32,22,2,23,2,375,232,-0.35
102,22,3,24,2,371,234,-0.7
114,20,3,23,2,372,232,0.36
97,25,3,24,3,373,233,1.05
110,16,4,21,3,375,236,0.71
113,20,2,24,1,376,235,1.07
117,16,2,23,2,380,236,1.42
101,21,3,24,2,381,240,2.12
97,23,2,25,2,378,236,1.41
114,20,3,22,2,374,236,0.0
32,18,5,20,8,373,232,-1.02
108,17,4,19,2,373,238,0.71
97,24,3,24,2,375,237,1.04
32,25,2,25,1,375,238,0.35
112,14,3,18,3,376,236,1.05
117,16,2,20,2,380,237,1.75
101,24,3,23,3,377,238,0.35
114,21,2,21,3,377,237,0.71
116,20,2,21,2,377,237,1.06
97,22,4,23,2,381,240,1.78
32,17,5,20,7,383,234,1.02
97,25,3,24,2,381,239,1.04
108,20,2,21,2,382,241,2.46
32,17,2,19,2,379,240,1.38
109,15,3,19,2,378,240,1.73
97,24,3,24,2,381,240,1.73
114,22,3,24,2,381,240,1.38
105,15,2,20,3,381,241,1.73
110,14,5,22,2,383,245,2.81
101,21,3,22,2,384,247,2.44
114,16,3,23,2,381,240,2.09
111,19,3,20,2,380,239,2.75
46,14,2,19,2,380,245,2.81
32,22,4,23,1,381,244,3.48
101,23,3,23,2,381,240,1.72
110,21,3,22,2,381,241,2.77
32,14,5,17,7,380,237,0.71
108,15,6,17,7,376,239,-0.34
97,22,4,24,2,376,243,2.44
32,25,3,25,3,375,243,-0.34
97,20,2,21,2,373,242,0.35
110,15,2,21,1,375,241,1.04
116,22,2,22,2,377,240,0.7
101,23,1,23,2,380,241,1.04
115,23,3,23,2,379,240,1.38
97,24,2,24,2,378,240,0.7
108,18,3,20,2,377,241,0.35
97,17,2,19,2,377,241,0.7
32,23,4,22,3,378,242,2.08
101,22,2,23,2,378,242,1.04
108,18,1,20,1,380,242,0.36
32,18,2,20,3,380,242,0.35
118,22,2,22,2,378,243,0.69
105,18,3,19,2,381,243,1.04
